Date,Issue code,Issue name,Securities type,Quantity short-selling volume total,Quantity short-selling volume with uptick rule,Quantity short-selling volume without uptick rule,Quantity trading volume,Quantity proportion,Amount short-selling volume total,Amount short-selling volume with uptick rule,Amount short-selling volume without uptick rule,Amount trading volume,Amount proportion
2018-08-29,060310,3S KOREA,Stock certificates,0,0,0,"167,029",0.00,0,0,0,"501,645,140",0.00
2018-08-29,054620,APS Holdings,Stock certificates,"12,062",0,0,"404,560",2.98,"68,589,070",0,0,"2,274,776,290",3.02
2018-08-29,265520,AP Systems,Stock certificates,"83,305",0,0,"659,815",12.63,"2,089,727,700",0,0,"16,537,823,400",12.64
2018-08-29,211270,APSI,Stock certificates,0,0,0,"10,229",0.00,0,0,0,"84,986,860",0.00
2018-08-29,032040,C&S ASSET MANAGEMENT,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2018-08-29,035760,CJ ENM,Stock certificates,"13,557",0,0,"123,971",10.94,"3,436,062,000",0,0,"31,454,221,800",10.92
2018-08-29,051500,CJ FW,Stock certificates,"1,181",0,0,"20,189",5.85,"37,661,700",0,0,"648,439,800",5.81
2018-08-29,058820,CMG Pharmaceutical,Stock certificates,"31,407",0,0,"1,046,661",3.00,"154,611,145",0,0,"5,158,898,180",3.00
2018-08-29,023460,CNH,Stock certificates,0,0,0,"18,980",0.00,0,0,0,"25,576,985",0.00
2018-08-29,065770,CS,Stock certificates,0,0,0,"17,992",0.00,0,0,0,"41,092,410",0.00
2018-08-29,083660,CSA Cosmic,Stock certificates,"2,193",0,0,"227,491",0.96,"20,362,010",0,0,"2,120,443,140",0.96
2018-08-29,045890,DB Lightec,Stock certificates,0,0,0,"151,615",0.00,0,0,0,"250,592,245",0.00
2018-08-29,068790,DMS,Stock certificates,383,0,0,"329,092",0.12,"2,615,290",0,0,"2,266,538,620",0.12
2018-08-29,241520,DSC Investment,Stock certificates,"6,969",0,0,"608,331",1.15,"35,365,365",0,0,"3,047,933,355",1.16
2018-08-29,245620,EDGC,Stock certificates,"2,808",0,0,"6,209,454",0.05,"19,820,710",0,0,"43,568,603,880",0.05
2018-08-29,037370,EG,Stock certificates,0,0,0,"16,720",0.00,0,0,0,"133,794,720",0.00
2018-08-29,079190,EMW,Stock certificates,0,0,0,"333,382",0.00,0,0,0,"1,032,024,900",0.00
2018-08-29,130500,GH Advanced Materials,Stock certificates,0,0,0,"17,217",0.00,0,0,0,"57,972,775",0.00
2018-08-29,032860,GMR Materials,Stock certificates,"4,726",0,0,"2,136,496",0.22,"4,127,970",0,0,"1,821,121,245",0.23
2018-08-29,900290,GRT,Foreign stock certificates,0,0,0,"197,598",0.00,0,0,0,"498,965,865",0.00
2018-08-29,083450,GST,Stock certificates,0,0,0,"37,381",0.00,0,0,0,"239,386,010",0.00
2018-08-29,028150,GSHS,Stock certificates,833,0,0,"18,137",4.59,"168,460,500",0,0,"3,674,704,400",4.58
2018-08-29,078150,HB Technology,Stock certificates,"35,657",0,0,"3,898,762",0.91,"100,630,810",0,0,"10,972,199,955",0.92
2018-08-29,036640,HRS,Stock certificates,0,0,0,"38,181",0.00,0,0,0,"133,791,765",0.00
2018-08-29,225430,IBKS No.3 SPAC,Stock certificates,0,0,0,"2,179,285",0.00,0,0,0,"14,877,556,040",0.00
2018-08-29,254120,IBKS No.5 SPAC,Stock certificates,0,0,0,"235,351",0.00,0,0,0,"532,320,915",0.00
2018-08-29,264850,IBKS No.6 SPAC,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2018-08-29,276920,IBKS No.7 SPAC,Stock certificates,0,0,0,"139,384",0.00,0,0,0,"343,072,700",0.00
2018-08-29,277410,IBKS No.8 SPAC,Stock certificates,0,0,0,"1,238,175",0.00,0,0,0,"5,176,975,550",0.00
2018-08-29,297570,IBKS No.9 SPAC,Stock certificates,0,0,0,"3,736,225",0.00,0,0,0,"9,744,747,285",0.00
2018-08-29,095340,ISC,Stock certificates,28,0,0,"50,193",0.06,"376,600",0,0,"674,668,950",0.06
2018-08-29,099520,ITX-M2M,Stock certificates,0,0,0,"161,908",0.00,0,0,0,"276,642,410",0.00
2018-08-29,950170,JTC,Depository receipts,"2,857",0,0,"354,272",0.81,"28,931,200",0,0,"3,571,670,150",0.81
2018-08-29,067290,JW SHINYAK,Stock certificates,"6,712",0,0,"374,635",1.79,"58,719,110",0,0,"3,271,980,600",1.79
2018-08-29,035900,JYP Ent.,Stock certificates,"7,532",0,0,"630,705",1.19,"233,076,400",0,0,"19,591,181,250",1.19
2018-08-29,024120,KBA,Stock certificates,0,0,0,"9,964",0.00,0,0,0,"58,410,090",0.00
2018-08-29,021320,KCC,Stock certificates,"1,773",0,0,"296,565",0.60,"19,138,600",0,0,"3,221,869,050",0.59
2018-08-29,036670,KCI,Stock certificates,101,0,0,"147,801",0.07,"1,141,300",0,0,"1,641,739,400",0.07
2018-08-29,044180,KD E&C,Stock certificates,0,0,0,"1,999,981",0.00,0,0,0,"247,959,383",0.00
2018-08-29,151860,KG ETS,Stock certificates,75,0,0,"84,853",0.09,"297,170",0,0,"335,328,105",0.09
2018-08-29,046440,KGMBLS,Stock certificates,68,0,0,"67,980",0.10,"533,000",0,0,"532,884,270",0.10
2018-08-29,035600,KGINICIS,Stock certificates,"12,397",0,0,"130,740",9.48,"231,173,450",0,0,"2,442,714,050",9.46
