Date,Issue code,Issue name,Securities type,Quantity short-selling volume total,Quantity short-selling volume with uptick rule,Quantity short-selling volume without uptick rule,Quantity trading volume,Quantity proportion,Amount short-selling volume total,Amount short-selling volume with uptick rule,Amount short-selling volume without uptick rule,Amount trading volume,Amount proportion
2018-06-28,060310,3S KOREA,Stock certificates,0,0,0,"105,773",0.00,0,0,0,"307,936,695",0.00
2018-06-28,054620,APS Holdings,Stock certificates,659,0,0,"168,222",0.39,"3,164,010",0,0,"808,740,255",0.39
2018-06-28,265520,AP Systems,Stock certificates,"5,148",0,0,"81,093",6.35,"104,784,450",0,0,"1,647,676,250",6.36
2018-06-28,211270,APSI,Stock certificates,0,0,0,"8,045",0.00,0,0,0,"58,408,170",0.00
2018-06-28,032040,C&S ASSET MANAGEMENT,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2018-06-28,130960,CJ E&M,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2018-06-28,035760,CJOS,Stock certificates,"9,813",0,0,"82,506",11.89,"2,471,525,100",0,0,"20,868,405,900",11.84
2018-06-28,051500,CJ FW,Stock certificates,178,0,0,"15,742",1.13,"5,944,900",0,0,"519,615,150",1.14
2018-06-28,058820,CMG Pharmaceutical,Stock certificates,"15,259",0,0,"1,364,327",1.12,"73,262,025",0,0,"6,508,856,675",1.13
2018-06-28,023460,CNH,Stock certificates,0,0,0,"51,160",0.00,0,0,0,"68,220,655",0.00
2018-06-28,065770,CS,Stock certificates,0,0,0,"26,745",0.00,0,0,0,"62,955,460",0.00
2018-06-28,083660,CSA Cosmic,Stock certificates,"12,999",0,0,"414,828",3.13,"138,530,800",0,0,"4,459,821,850",3.11
2018-06-28,045890,DB Lightec,Stock certificates,0,0,0,"189,889",0.00,0,0,0,"363,259,050",0.00
2018-06-28,068790,DMS,Stock certificates,"1,719",0,0,"83,169",2.07,"10,066,960",0,0,"488,441,990",2.06
2018-06-28,241520,DSC Investment,Stock certificates,0,0,0,"78,696",0.00,0,0,0,"334,414,945",0.00
2018-06-28,245620,EDGC,Stock certificates,0,0,0,"6,076,015",0.00,0,0,0,"51,074,538,820",0.00
2018-06-28,037370,EG,Stock certificates,295,0,0,"63,350",0.47,"2,547,120",0,0,"532,078,730",0.48
2018-06-28,079190,EMW,Stock certificates,"40,247",0,0,"2,054,571",1.96,"152,877,755",0,0,"7,864,102,380",1.94
2018-06-28,130500,GH Advanced Materials,Stock certificates,279,0,0,"69,836",0.40,"977,740",0,0,"244,225,135",0.40
2018-06-28,032860,GMR Materials,Stock certificates,"18,911",0,0,"38,421,128",0.05,"18,907,040",0,0,"37,851,022,549",0.05
2018-06-28,900290,GRT,Foreign stock certificates,0,0,0,"166,853",0.00,0,0,0,"393,844,245",0.00
2018-06-28,083450,GST,Stock certificates,"1,321",0,0,"30,209",4.37,"10,499,200",0,0,"239,715,250",4.38
2018-06-28,028150,GSHS,Stock certificates,55,0,0,"7,956",0.69,"9,828,000",0,0,"1,422,133,000",0.69
2018-06-28,078150,HB Technology,Stock certificates,"53,518",0,0,"1,061,075",5.04,"126,648,580",0,0,"2,514,586,095",5.04
2018-06-28,036640,HRS,Stock certificates,0,0,0,"69,431",0.00,0,0,0,"267,450,405",0.00
2018-06-28,225430,IBKS No.3 SPAC,Stock certificates,0,0,0,"663,665",0.00,0,0,0,"2,146,609,125",0.00
2018-06-28,254120,IBKS No.5 SPAC,Stock certificates,0,0,0,"2,027",0.00,0,0,0,"4,509,105",0.00
2018-06-28,264850,IBKS No.6 SPAC,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2018-06-28,276920,IBKS No.7 SPAC,Stock certificates,0,0,0,"3,612",0.00,0,0,0,"7,991,465",0.00
2018-06-28,277410,IBKS No.8 SPAC,Stock certificates,0,0,0,"92,132",0.00,0,0,0,"331,117,860",0.00
2018-06-28,095340,ISC,Stock certificates,"1,024",0,0,"78,104",1.31,"17,268,950",0,0,"1,310,676,100",1.32
2018-06-28,099520,ITX-M2M,Stock certificates,491,0,0,"57,899",0.85,"694,475",0,0,"81,185,840",0.86
