Date,Issue code,Issue name,Securities type,Quantity short-selling volume total,Quantity short-selling volume with uptick rule,Quantity short-selling volume without uptick rule,Quantity trading volume,Quantity proportion,Amount short-selling volume total,Amount short-selling volume with uptick rule,Amount short-selling volume without uptick rule,Amount trading volume,Amount proportion
2017-06-30,060310,3S KOREA,Stock certificates,"1,312",0,0,"78,551",1.67,"3,034,690",0,0,"181,829,685",1.67
2017-06-30,054620,APS Holdings,Stock certificates,"16,396",0,0,"238,987",6.86,"195,388,250",0,0,"2,839,996,850",6.88
2017-06-30,265520,AP Systems,Stock certificates,"67,974",0,0,"246,771",27.55,"3,338,288,100",0,0,"12,116,040,050",27.55
2017-06-30,211270,APSI,Stock certificates,0,0,0,"23,402",0.00,0,0,0,"195,519,050",0.00
2017-06-30,032040,C&S ASSET MANAGEMENT,Stock certificates,"1,133",0,0,"66,233",1.71,"2,418,955",0,0,"141,391,445",1.71
2017-06-30,130960,CJ E&M,Stock certificates,"1,969",0,0,"164,496",1.20,"150,102,400",0,0,"12,525,234,200",1.20
2017-06-30,035760,CJOS,Stock certificates,"1,994",0,0,"10,343",19.28,"381,483,300",0,0,"1,980,726,000",19.26
2017-06-30,051500,CJ FW,Stock certificates,"2,827",0,0,"25,879",10.92,"116,367,050",0,0,"1,066,905,350",10.91
2017-06-30,058820,CMG Pharmaceutical,Stock certificates,"18,525",0,0,"961,587",1.93,"61,077,405",0,0,"3,166,054,540",1.93
2017-06-30,023460,CNH,Stock certificates,0,0,0,"2,255,369",0.00,0,0,0,"3,943,707,040",0.00
2017-06-30,065770,CS,Stock certificates,0,0,0,"37,782",0.00,0,0,0,"60,085,375",0.00
2017-06-30,083660,CSA Cosmic,Stock certificates,313,0,0,"661,644",0.05,"1,615,050",0,0,"3,414,898,980",0.05
2017-06-30,068790,DMS,Stock certificates,622,0,0,"392,051",0.16,"5,882,690",0,0,"3,695,961,450",0.16
2017-06-30,241520,DSC Investment,Stock certificates,0,0,0,"1,461,710",0.00,0,0,0,"8,916,080,930",0.00
2017-06-30,037370,EG,Stock certificates,0,0,0,"7,906",0.00,0,0,0,"62,890,260",0.00
2017-06-30,079190,EMW,Stock certificates,"5,648",0,0,"105,180",5.37,"15,126,195",0,0,"280,947,625",5.38
2017-06-30,130500,GH Advanced Materials,Stock certificates,0,0,0,"27,786",0.00,0,0,0,"105,911,120",0.00
2017-06-30,032860,GMR Materials,Stock certificates,"1,311",0,0,"765,445",0.17,"935,471",0,0,"545,867,853",0.17
2017-06-30,900290,GRT,Foreign stock certificates,"6,421",0,0,"164,045",3.91,"22,800,200",0,0,"583,794,545",3.91
2017-06-30,083450,GST,Stock certificates,"1,446",0,0,"66,999",2.16,"11,828,740",0,0,"548,703,870",2.16
2017-06-30,028150,GSHS,Stock certificates,171,0,0,"11,254",1.52,"39,627,500",0,0,"2,604,028,200",1.52
2017-06-30,078150,HB Technology,Stock certificates,"79,677",0,0,"889,644",8.96,"410,150,180",0,0,"4,572,909,560",8.97
2017-06-30,036640,HRS,Stock certificates,37,0,0,"87,883",0.04,"157,000",0,0,"371,001,240",0.04
2017-06-30,225430,IBKS No.3 SPAC,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2017-06-30,254120,IBKS No.5 SPAC,Stock certificates,0,0,0,"2,077,841",0.00,0,0,0,"4,428,797,040",0.00
2017-06-30,264850,IBKS No.6 SPAC,Stock certificates,0,0,0,"2,245,686",0.00,0,0,0,"4,763,184,480",0.00
2017-06-30,252500,IBKSGMB SPAC,Stock certificates,0,0,0,"16,936,932",0.00,0,0,0,"55,678,580,735",0.00
2017-06-30,095340,ISC,Stock certificates,"1,829",0,0,"47,954",3.81,"43,463,050",0,0,"1,139,076,900",3.82
2017-06-30,099520,ITX-M2M,Stock certificates,0,0,0,"29,183",0.00,0,0,0,"45,191,145",0.00
2017-06-30,067290,JW SHINYAK,Stock certificates,"9,804",0,0,"119,293",8.22,"76,615,740",0,0,"932,499,550",8.22
2017-06-30,035900,JYP Ent.,Stock certificates,"20,339",0,0,"747,369",2.72,"179,357,840",0,0,"6,609,139,630",2.71
2017-06-30,024120,KBA,Stock certificates,0,0,0,"21,216",0.00,0,0,0,"148,502,650",0.00
2017-06-30,021320,KCC,Stock certificates,0,0,0,"24,248",0.00,0,0,0,"230,467,990",0.00
2017-06-30,036670,KCI,Stock certificates,0,0,0,"12,635",0.00,0,0,0,"98,504,210",0.00
2017-06-30,044180,KD E&C,Stock certificates,"114,648",0,0,"9,231,614",1.24,"27,240,120",0,0,"2,201,039,388",1.24
2017-06-30,151860,KG ETS,Stock certificates,339,0,0,"226,240",0.15,"1,454,115",0,0,"969,657,050",0.15
2017-06-30,046440,KGMBLS,Stock certificates,0,0,0,"34,006",0.00,0,0,0,"248,174,060",0.00
2017-06-30,035600,KGINICIS,Stock certificates,"7,296",0,0,"47,831",15.25,"87,936,100",0,0,"575,557,000",15.28
2017-06-30,060720,KH VATEC,Stock certificates,"28,534",0,0,"109,056",26.16,"336,160,050",0,0,"1,281,462,550",26.23
2017-06-30,083470,KJ Pretech,Stock certificates,673,0,0,"719,092",0.09,"1,976,865",0,0,"2,099,158,110",0.09
2017-06-30,122450,KMH,Stock certificates,0,0,0,"19,337",0.00,0,0,0,"177,645,170",0.00
2017-06-30,052900,KMH HITECH,Stock certificates,0,0,0,"63,473",0.00,0,0,0,"83,477,300",0.00
2017-06-30,058400,KNN,Stock certificates,0,0,0,"350,768",0.00,0,0,0,"368,835,640",0.00
2017-06-30,114450,KPXLS,Stock certificates,0,0,0,"16,632",0.00,0,0,0,"79,899,545",0.00
2017-06-30,036030,KTH,Stock certificates,8,0,0,"5,276",0.15,"51,570",0,0,"34,182,860",0.15
2017-06-30,060370,KT Submarine,Stock certificates,"3,610",0,0,"57,892",6.24,"17,675,400",0,0,"283,030,300",6.25
2017-06-30,086960,MDS Tech,Stock certificates,570,0,0,"71,052",0.80,"11,574,200",0,0,"1,426,835,950",0.81
2017-06-30,065150,MP,Stock certificates,0,0,0,"241,812",0.00,0,0,0,"342,109,760",0.00
2017-06-30,160550,NEW,Stock certificates,"2,630",0,0,"61,404",4.28,"21,977,210",0,0,"516,154,650",4.26
2017-06-30,104200,NHN BUGS,Stock certificates,357,0,0,"16,880",2.11,"3,730,650",0,0,"173,397,350",2.15
2017-06-30,060250,NHN KCP,Stock certificates,"6,410",0,0,"116,621",5.50,"90,411,950",0,0,"1,641,528,500",5.51
2017-06-30,030190,NICE INFO,Stock certificates,198,0,0,"121,772",0.16,"1,599,720",0,0,"984,177,420",0.16
2017-06-30,024940,PNPOONGNYUN,Stock certificates,0,0,0,"9,930",0.00,0,0,0,"30,705,430",0.00
2017-06-30,091340,S&K,Stock certificates,0,0,0,"43,187",0.00,0,0,0,"211,662,220",0.00
2017-06-30,950110,SBI AXES,Depository receipts,567,0,0,"4,321,294",0.01,"3,323,470",0,0,"25,452,832,610",0.01
