Date,Issue code,Issue name,Securities type,Quantity short-selling volume total,Quantity short-selling volume with uptick rule,Quantity short-selling volume without uptick rule,Quantity trading volume,Quantity proportion,Amount short-selling volume total,Amount short-selling volume with uptick rule,Amount short-selling volume without uptick rule,Amount trading volume,Amount proportion
2018-11-21,060310,3S KOREA,Stock certificates,0,0,0,"55,574",0.00,0,0,0,"122,120,955",0.00
2018-11-21,054620,APS Holdings,Stock certificates,370,0,0,"69,275",0.53,"1,673,090",0,0,"308,754,075",0.54
2018-11-21,265520,AP Systems,Stock certificates,"3,885",0,0,"436,010",0.89,"97,404,250",0,0,"10,890,262,750",0.89
2018-11-21,211270,APSI,Stock certificates,0,0,0,"6,322",0.00,0,0,0,"43,662,110",0.00
2018-11-21,035760,CJ ENM,Stock certificates,"3,367",0,0,"54,170",6.22,"710,980,800",0,0,"11,466,459,700",6.20
2018-11-21,051500,CJ FW,Stock certificates,455,0,0,"66,122",0.69,"10,536,050",0,0,"1,532,431,100",0.69
2018-11-21,058820,CMG Pharmaceutical,Stock certificates,"41,441",0,0,"1,548,497",2.68,"193,097,505",0,0,"7,285,615,005",2.65
2018-11-21,023460,CNH,Stock certificates,0,0,0,"59,123",0.00,0,0,0,"80,279,975",0.00
2018-11-21,065770,CS,Stock certificates,0,0,0,"30,573",0.00,0,0,0,"59,446,245",0.00
2018-11-21,083660,CSA Cosmic,Stock certificates,"10,003",0,0,"1,019,026",0.98,"52,727,540",0,0,"5,298,148,220",1.00
2018-11-21,306620,DB Finance No.6 SPAC,Stock certificates,0,0,0,"83,851",0.00,0,0,0,"169,450,510",0.00
2018-11-21,045890,DB Lightec,Stock certificates,500,0,0,"511,532",0.10,"1,840,500",0,0,"1,855,638,355",0.10
2018-11-21,068790,DMS,Stock certificates,"1,229",0,0,"159,210",0.77,"5,959,325",0,0,"778,520,095",0.77
2018-11-21,241520,DSC Investment,Stock certificates,0,0,0,"104,217",0.00,0,0,0,"500,897,190",0.00
2018-11-21,245620,EDGC,Stock certificates,0,0,0,"111,124",0.00,0,0,0,"672,759,610",0.00
2018-11-21,037370,EG,Stock certificates,"1,890",0,0,"50,632",3.73,"17,944,380",0,0,"480,238,770",3.74
2018-11-21,079190,EMW,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2018-11-21,130500,GH Advanced Materials,Stock certificates,0,0,0,"5,617",0.00,0,0,0,"14,573,245",0.00
2018-11-21,032860,GMR Materials,Stock certificates,524,0,0,"198,357",0.26,"325,928",0,0,"124,620,463",0.26
2018-11-21,900290,GRT,Foreign stock certificates,0,0,0,"83,930",0.00,0,0,0,"173,191,825",0.00
2018-11-21,083450,GST,Stock certificates,8,0,0,"8,762",0.09,"37,685",0,0,"41,562,210",0.09
