Date,Issue code,Issue name,Securities type,Quantity short-selling volume total,Quantity short-selling volume with uptick rule,Quantity short-selling volume without uptick rule,Quantity trading volume,Quantity proportion,Amount short-selling volume total,Amount short-selling volume with uptick rule,Amount short-selling volume without uptick rule,Amount trading volume,Amount proportion
2017-07-12,060310,3S KOREA,Stock certificates,"23,623",0,0,"254,725",9.27,"52,781,920",0,0,"564,962,680",9.34
2017-07-12,054620,APS Holdings,Stock certificates,"14,448",0,0,"746,340",1.94,"184,400,650",0,0,"9,573,208,150",1.93
2017-07-12,265520,AP Systems,Stock certificates,"1,549",0,0,"116,529",1.33,"75,337,150",0,0,"5,654,441,600",1.33
2017-07-12,211270,APSI,Stock certificates,0,0,0,"12,995",0.00,0,0,0,"106,149,260",0.00
2017-07-12,032040,C&S ASSET MANAGEMENT,Stock certificates,0,0,0,"61,133",0.00,0,0,0,"124,567,130",0.00
2017-07-12,130960,CJ E&M,Stock certificates,"8,312",0,0,"153,748",5.41,"614,378,300",0,0,"11,356,260,200",5.41
2017-07-12,035760,CJOS,Stock certificates,"4,809",0,0,"19,846",24.23,"891,456,400",0,0,"3,680,130,400",24.22
2017-07-12,051500,CJ FW,Stock certificates,939,0,0,"9,354",10.04,"37,500,300",0,0,"373,952,800",10.03
2017-07-12,058820,CMG Pharmaceutical,Stock certificates,"34,772",0,0,"547,311",6.35,"116,461,570",0,0,"1,827,628,985",6.37
2017-07-12,023460,CNH,Stock certificates,0,0,0,"258,865",0.00,0,0,0,"441,755,255",0.00
2017-07-12,065770,CS,Stock certificates,0,0,0,"143,514",0.00,0,0,0,"246,192,825",0.00
2017-07-12,083660,CSA Cosmic,Stock certificates,"2,794",0,0,"326,170",0.86,"13,886,595",0,0,"1,596,639,660",0.87
2017-07-12,068790,DMS,Stock certificates,235,0,0,"326,233",0.07,"2,292,240",0,0,"3,194,341,380",0.07
2017-07-12,241520,DSC Investment,Stock certificates,0,0,0,"378,883",0.00,0,0,0,"2,263,873,820",0.00
2017-07-12,037370,EG,Stock certificates,0,0,0,"15,841",0.00,0,0,0,"118,422,550",0.00
2017-07-12,079190,EMW,Stock certificates,17,0,0,"69,545",0.02,"45,050",0,0,"183,442,980",0.02
2017-07-12,130500,GH Advanced Materials,Stock certificates,0,0,0,"70,470",0.00,0,0,0,"251,564,795",0.00
2017-07-12,032860,GMR Materials,Stock certificates,"3,899",0,0,"474,631",0.82,"2,584,373",0,0,"315,633,747",0.82
2017-07-12,900290,GRT,Foreign stock certificates,0,0,0,"125,295",0.00,0,0,0,"446,394,010",0.00
2017-07-12,083450,GST,Stock certificates,"1,307",0,0,"44,876",2.91,"10,588,380",0,0,"364,192,950",2.91
2017-07-12,028150,GSHS,Stock certificates,"3,571",0,0,"15,926",22.42,"782,502,400",0,0,"3,491,554,484",22.41
2017-07-12,078150,HB Technology,Stock certificates,"103,963",0,0,"1,536,695",6.77,"552,529,350",0,0,"8,204,871,810",6.73
2017-07-12,036640,HRS,Stock certificates,0,0,0,"54,028",0.00,0,0,0,"223,055,460",0.00
2017-07-12,225430,IBKS No.3 SPAC,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2017-07-12,254120,IBKS No.5 SPAC,Stock certificates,0,0,0,"40,154",0.00,0,0,0,"81,801,505",0.00
2017-07-12,264850,IBKS No.6 SPAC,Stock certificates,0,0,0,"80,129",0.00,0,0,0,"162,619,780",0.00
2017-07-12,252500,IBKSGMB SPAC,Stock certificates,0,0,0,"2,034,165",0.00,0,0,0,"4,816,890,155",0.00
2017-07-12,095340,ISC,Stock certificates,355,0,0,"65,028",0.55,"8,091,500",0,0,"1,489,855,100",0.54
2017-07-12,099520,ITX-M2M,Stock certificates,0,0,0,"47,218",0.00,0,0,0,"69,682,360",0.00
2017-07-12,067290,JW SHINYAK,Stock certificates,"1,441",0,0,"160,631",0.90,"10,623,560",0,0,"1,178,096,320",0.90
2017-07-12,035900,JYP Ent.,Stock certificates,"17,889",0,0,"677,397",2.64,"140,158,280",0,0,"5,278,651,970",2.66
2017-07-12,024120,KBA,Stock certificates,0,0,0,"34,340",0.00,0,0,0,"238,709,650",0.00
2017-07-12,021320,KCC,Stock certificates,119,0,0,"31,665",0.38,"1,147,900",0,0,"307,187,260",0.37
2017-07-12,036670,KCI,Stock certificates,0,0,0,"9,278",0.00,0,0,0,"71,595,710",0.00
2017-07-12,044180,KD E&C,Stock certificates,"19,516",0,0,"17,370,315",0.11,"4,209,857",0,0,"3,647,948,153",0.12
2017-07-12,151860,KG ETS,Stock certificates,"5,648",0,0,"591,108",0.96,"26,621,495",0,0,"2,769,715,525",0.96
2017-07-12,046440,KGMBLS,Stock certificates,"9,336",0,0,"117,101",7.97,"66,683,720",0,0,"837,504,240",7.96
2017-07-12,035600,KGINICIS,Stock certificates,"12,623",0,0,"141,423",8.93,"153,750,800",0,0,"1,720,014,400",8.94
2017-07-12,060720,KH VATEC,Stock certificates,"6,758",0,0,"290,056",2.33,"64,557,450",0,0,"2,742,407,620",2.35
2017-07-12,083470,KJ Pretech,Stock certificates,"11,056",0,0,"529,178",2.09,"31,196,005",0,0,"1,474,115,740",2.12
2017-07-12,122450,KMH,Stock certificates,0,0,0,"22,354",0.00,0,0,0,"207,449,930",0.00
2017-07-12,052900,KMH HITECH,Stock certificates,0,0,0,"411,682",0.00,0,0,0,"495,985,905",0.00
2017-07-12,058400,KNN,Stock certificates,0,0,0,"123,749",0.00,0,0,0,"127,163,960",0.00
2017-07-12,114450,KPXLS,Stock certificates,0,0,0,"23,959",0.00,0,0,0,"110,733,435",0.00
2017-07-12,036030,KTH,Stock certificates,0,0,0,"12,025",0.00,0,0,0,"80,533,540",0.00
2017-07-12,060370,KT Submarine,Stock certificates,0,0,0,"55,326",0.00,0,0,0,"262,526,320",0.00
2017-07-12,086960,MDS Tech,Stock certificates,829,0,0,"66,644",1.24,"16,524,450",0,0,"1,340,427,400",1.23
2017-07-12,065150,MP,Stock certificates,"3,131",0,0,"774,074",0.40,"3,913,875",0,0,"968,533,650",0.40
2017-07-12,160550,NEW,Stock certificates,681,0,0,"40,813",1.67,"5,640,590",0,0,"337,246,680",1.67
2017-07-12,104200,NHN BUGS,Stock certificates,"1,383",0,0,"94,870",1.46,"14,270,050",0,0,"974,987,050",1.46
2017-07-12,060250,NHN KCP,Stock certificates,"3,290",0,0,"109,560",3.00,"45,120,050",0,0,"1,492,994,850",3.02
2017-07-12,030190,NICE INFO,Stock certificates,"3,368",0,0,"98,319",3.43,"27,622,540",0,0,"806,722,990",3.42
2017-07-12,024940,PNPOONGNYUN,Stock certificates,0,0,0,"11,886",0.00,0,0,0,"36,122,700",0.00
