Date,Issue code,Issue name,Securities type,Quantity short-selling volume total,Quantity short-selling volume with uptick rule,Quantity short-selling volume without uptick rule,Quantity trading volume,Quantity proportion,Amount short-selling volume total,Amount short-selling volume with uptick rule,Amount short-selling volume without uptick rule,Amount trading volume,Amount proportion
2018-10-12,060310,3S KOREA,Stock certificates,0,0,0,"152,306",0.00,0,0,0,"372,102,470",0.00
2018-10-12,054620,APS Holdings,Stock certificates,"2,734",0,0,"111,897",2.44,"12,014,955",0,0,"489,922,495",2.45
2018-10-12,265520,AP Systems,Stock certificates,"6,072",0,0,"200,812",3.02,"130,768,800",0,0,"4,306,000,550",3.04
2018-10-12,211270,APSI,Stock certificates,0,0,0,"51,362",0.00,0,0,0,"347,742,490",0.00
2018-10-12,035760,CJ ENM,Stock certificates,"2,183",0,0,"70,904",3.08,"523,817,900",0,0,"17,043,406,500",3.07
2018-10-12,051500,CJ FW,Stock certificates,"2,442",0,0,"56,142",4.35,"68,381,700",0,0,"1,574,466,650",4.34
2018-10-12,058820,CMG Pharmaceutical,Stock certificates,"22,531",0,0,"1,715,709",1.31,"113,555,760",0,0,"8,652,776,105",1.31
2018-10-12,023460,CNH,Stock certificates,0,0,0,"57,703",0.00,0,0,0,"75,264,270",0.00
2018-10-12,065770,CS,Stock certificates,0,0,0,"12,452",0.00,0,0,0,"24,168,295",0.00
2018-10-12,083660,CSA Cosmic,Stock certificates,0,0,0,"694,192",0.00,0,0,0,"4,789,018,310",0.00
2018-10-12,045890,DB Lightec,Stock certificates,0,0,0,"63,890",0.00,0,0,0,"86,205,560",0.00
2018-10-12,068790,DMS,Stock certificates,"8,535",0,0,"190,966",4.47,"43,980,800",0,0,"979,873,670",4.49
2018-10-12,241520,DSC Investment,Stock certificates,863,0,0,"141,548",0.61,"3,579,230",0,0,"584,651,340",0.61
2018-10-12,245620,EDGC,Stock certificates,282,0,0,"354,478",0.08,"1,983,130",0,0,"2,542,165,050",0.08
2018-10-12,037370,EG,Stock certificates,0,0,0,"41,715",0.00,0,0,0,"322,004,950",0.00
2018-10-12,079190,EMW,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2018-10-12,130500,GH Advanced Materials,Stock certificates,0,0,0,"44,055",0.00,0,0,0,"122,919,975",0.00
2018-10-12,032860,GMR Materials,Stock certificates,0,0,0,"234,154",0.00,0,0,0,"174,279,965",0.00
2018-10-12,900290,GRT,Foreign stock certificates,26,0,0,"65,976",0.04,"53,430",0,0,"131,029,470",0.04
2018-10-12,083450,GST,Stock certificates,0,0,0,"46,970",0.00,0,0,0,"235,041,965",0.00
2018-10-12,028150,GSHS,Stock certificates,"8,362",0,0,"33,079",25.28,"1,759,116,300",0,0,"7,007,468,300",25.10
2018-10-12,078150,HB Technology,Stock certificates,"19,231",0,0,"1,925,787",1.00,"44,215,710",0,0,"4,345,402,165",1.02
2018-10-12,036640,HRS,Stock certificates,0,0,0,"145,230",0.00,0,0,0,"416,371,845",0.00
2018-10-12,299170,IBKS No.10 SPAC,Stock certificates,0,0,0,"4,795",0.00,0,0,0,"10,021,340",0.00
2018-10-12,254120,IBKS No.5 SPAC,Stock certificates,0,0,0,"5,684",0.00,0,0,0,"12,174,610",0.00
2018-10-12,264850,IBKS No.6 SPAC,Stock certificates,0,0,0,"9,087",0.00,0,0,0,"19,033,450",0.00
2018-10-12,276920,IBKS No.7 SPAC,Stock certificates,0,0,0,"8,998",0.00,0,0,0,"20,497,295",0.00
2018-10-12,297570,IBKS No.9 SPAC,Stock certificates,0,0,0,"11,724",0.00,0,0,0,"28,263,075",0.00
2018-10-12,095340,ISC,Stock certificates,565,0,0,"102,104",0.55,"5,671,790",0,0,"1,016,483,020",0.56
2018-10-12,099520,ITX-M2M,Stock certificates,7,0,0,"60,402",0.01,"9,765",0,0,"80,863,000",0.01
2018-10-12,950170,JTC,Depository receipts,167,0,0,"419,410",0.04,"1,181,050",0,0,"2,962,971,990",0.04
2018-10-12,067290,JW SHINYAK,Stock certificates,"5,280",0,0,"493,275",1.07,"38,828,200",0,0,"3,620,247,100",1.07
2018-10-12,035900,JYP Ent.,Stock certificates,"19,524",0,0,"631,103",3.09,"700,903,950",0,0,"22,722,630,550",3.08
2018-10-12,024120,KBA,Stock certificates,184,0,0,"17,844",1.03,"1,017,520",0,0,"98,868,370",1.03
2018-10-12,021320,KCC,Stock certificates,34,0,0,"143,350",0.02,"266,600",0,0,"1,120,749,560",0.02
2018-10-12,036670,KCI,Stock certificates,792,0,0,"74,557",1.06,"6,502,490",0,0,"607,433,870",1.07
2018-10-12,044180,KD E&C,Stock certificates,0,0,0,"3,190,030",0.00,0,0,0,"322,835,207",0.00
2018-10-12,151860,KG ETS,Stock certificates,"1,549",0,0,"117,392",1.32,"5,248,080",0,0,"394,463,890",1.33
2018-10-12,046440,KGMBLS,Stock certificates,"2,344",0,0,"75,554",3.10,"16,977,180",0,0,"531,215,050",3.20
2018-10-12,035600,KGINICIS,Stock certificates,"4,378",0,0,"160,637",2.73,"70,289,900",0,0,"2,578,844,500",2.73
2018-10-12,060720,KH VATEC,Stock certificates,"1,074",0,0,"52,848",2.03,"9,021,240",0,0,"444,615,890",2.03
2018-10-12,083470,KJ Pretech,Stock certificates,577,0,0,"889,140",0.06,"424,095",0,0,"623,268,626",0.07
2018-10-12,122450,KMH,Stock certificates,0,0,0,"102,612",0.00,0,0,0,"757,086,570",0.00
2018-10-12,052900,KMH HITECH,Stock certificates,0,0,0,"133,911",0.00,0,0,0,"127,495,332",0.00
2018-10-12,058400,KNN,Stock certificates,459,0,0,"204,173",0.22,"370,652",0,0,"163,740,906",0.23
2018-10-12,114450,KPXLS,Stock certificates,505,0,0,"217,125",0.23,"2,626,340",0,0,"1,118,830,685",0.23
2018-10-12,036030,KTH,Stock certificates,0,0,0,"53,526",0.00,0,0,0,"261,356,155",0.00
2018-10-12,060370,KT Submarine,Stock certificates,985,0,0,"82,605",1.19,"3,632,510",0,0,"305,785,050",1.19
2018-10-12,065150,MP,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2018-10-12,219550,MPHK,Stock certificates,"14,718",0,0,"4,197,513",0.35,"42,809,945",0,0,"12,129,961,690",0.35
2018-10-12,160550,NEW,Stock certificates,"1,130",0,0,"114,025",0.99,"7,414,220",0,0,"757,669,990",0.98
2018-10-12,053290,NE Neungyule,Stock certificates,0,0,0,"38,904",0.00,0,0,0,"107,970,110",0.00
2018-10-12,104200,NHN BUGS,Stock certificates,"1,402",0,0,"9,141",15.34,"10,146,350",0,0,"66,136,480",15.34
2018-10-12,060250,NHN KCP,Stock certificates,106,0,0,"193,422",0.05,"1,182,250",0,0,"2,159,077,050",0.05
2018-10-12,030190,NICE INFO,Stock certificates,"1,780",0,0,"516,064",0.34,"20,136,750",0,0,"5,813,427,500",0.35
2018-10-12,024940,PNPOONGNYUN,Stock certificates,6,0,0,"21,333",0.03,"15,220",0,0,"52,807,180",0.03
2018-10-12,218410,RFHIC,Stock certificates,"2,162",0,0,"349,009",0.62,"48,305,250",0,0,"7,695,454,950",0.63
2018-10-12,091340,S&K,Stock certificates,0,0,0,"53,284",0.00,0,0,0,"232,318,510",0.00
2018-10-12,019550,SBI Investment KOREA,Stock certificates,"46,962",0,0,"900,385",5.22,"39,092,933",0,0,"738,732,839",5.29
2018-10-12,950110,SBI FinTech Solutions,Depository receipts,66,0,0,"10,145",0.65,"522,720",0,0,"78,688,360",0.66
2018-10-12,046140,SBS Contents Hub,Stock certificates,0,0,0,"38,120",0.00,0,0,0,"235,749,280",0.00
2018-10-12,036120,SCI,Stock certificates,"4,480",0,0,"288,642",1.55,"12,103,205",0,0,"761,530,565",1.59
2018-10-12,099220,SDN,Stock certificates,0,0,0,"585,086",0.00,0,0,0,"854,000,365",0.00
2018-10-12,036540,SFASemicon,Stock certificates,405,0,0,"155,753",0.26,"696,315",0,0,"267,318,015",0.26
2018-10-12,255220,SG,Stock certificates,14,0,0,"166,134",0.01,"147,700",0,0,"1,687,827,040",0.01
2018-10-12,040610,SG&G,Stock certificates,"2,737",0,0,"720,383",0.38,"5,288,485",0,0,"1,377,398,775",0.38
2018-10-12,049470,SGA,Stock certificates,"2,555",0,0,"308,573",0.83,"1,445,855",0,0,"176,953,874",0.82
2018-10-12,184230,SGA Solutions,Stock certificates,0,0,0,"374,608",0.00,0,0,0,"610,053,230",0.00
2018-10-12,232330,SK NO.3 SPAC,Stock certificates,0,0,0,"2,383",0.00,0,0,0,"4,960,910",0.00
2018-10-12,057500,SKC solmics,Stock certificates,"18,763",0,0,"375,675",4.99,"65,257,285",0,0,"1,292,152,380",5.05
2018-10-12,178920,SKPI,Stock certificates,"3,918",0,0,"240,012",1.63,"161,874,650",0,0,"9,911,353,500",1.63
2018-10-12,036490,SK Materials,Stock certificates,"3,261",0,0,"65,756",4.96,"593,395,900",0,0,"11,867,233,000",5.00
2018-10-12,052260,SKbioland,Stock certificates,"1,896",0,0,"68,950",2.75,"28,524,200",0,0,"1,025,650,900",2.78
2018-10-12,048550,SM C&C,Stock certificates,"5,012",0,0,"124,299",4.03,"11,482,225",0,0,"284,232,135",4.04
2018-10-12,063440,SM Life Design,Stock certificates,"7,790",0,0,"318,731",2.44,"13,165,285",0,0,"535,450,255",2.46
2018-10-12,123260,STC,Stock certificates,"2,380",0,0,"182,402",1.30,"3,543,255",0,0,"271,312,190",1.31
2018-10-12,289080,SV INVESTMENT,Stock certificates,300,0,0,"365,734",0.08,"1,311,080",0,0,"1,595,318,270",0.08
2018-10-12,089230,THE E&M,Stock certificates,611,0,0,"161,726",0.38,"477,455",0,0,"125,549,833",0.38
2018-10-12,032540,TJ MEDIA,Stock certificates,0,0,0,"55,927",0.00,0,0,0,"175,893,765",0.00
2018-10-12,048770,TPC,Stock certificates,0,0,0,"25,767",0.00,0,0,0,"104,736,930",0.00
2018-10-12,038340,UCI,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2018-10-12,052300,W Holding Company,Stock certificates,20,0,0,"885,861",0.00,"11,260",0,0,"501,152,478",0.00
2018-10-12,040300,YTN,Stock certificates,0,0,0,"179,732",0.00,0,0,0,"352,627,165",0.00
2018-10-12,051390,"YW CO.,LTD",Stock certificates,0,0,0,"65,861",0.00,0,0,0,"254,621,730",0.00
2018-10-12,052220,iMBC,Stock certificates,0,0,0,"55,414",0.00,0,0,0,"140,631,655",0.00
2018-10-12,079940,GABIA,Stock certificates,0,0,0,"151,518",0.00,0,0,0,"1,052,537,840",0.00
2018-10-12,078890,KAON Media,Stock certificates,0,0,0,"120,289",0.00,0,0,0,"737,697,820",0.00
2018-10-12,192410,GNI,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2018-10-12,024840,KB METAL,Stock certificates,0,0,0,"240,496",0.00,0,0,0,"482,948,755",0.00
2018-10-12,217730,KANGSTEM BIOTECH,Stock certificates,"37,958",0,0,"916,667",4.14,"702,792,450",0,0,"16,387,886,200",4.29
2018-10-12,094480,GalaxiaComms,Stock certificates,"3,300",0,0,"44,170",7.47,"10,994,750",0,0,"145,631,980",7.55
2018-10-12,063080,GAMEVIL,Stock certificates,"4,959",0,0,"42,365",11.71,"218,414,900",0,0,"1,867,655,700",11.69
2018-10-12,039240,K-Steel,Stock certificates,0,0,0,"103,778",0.00,0,0,0,"198,943,585",0.00
2018-10-12,053950,KYUNG NAM PHARM,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2018-10-12,011040,KDPharm,Stock certificates,111,0,0,"35,871",0.31,"1,340,950",0,0,"431,815,000",0.31
2018-10-12,024910,Kyungchang,Stock certificates,"11,467",0,0,"906,653",1.26,"19,996,270",0,0,"1,559,140,405",1.28
2018-10-12,198440,KOREA CEMENT,Stock certificates,"3,045",0,0,"419,922",0.73,"8,195,725",0,0,"1,085,218,890",0.76
2018-10-12,049720,KORYOINFO,Stock certificates,313,0,0,"47,883",0.65,"1,111,150",0,0,"169,424,655",0.66
2018-10-12,014570,KOREAN DRUG,Stock certificates,626,0,0,"200,690",0.31,"4,882,420",0,0,"1,549,055,980",0.32
2018-10-12,098460,Koh Young,Stock certificates,"1,301",0,0,"124,923",1.04,"123,049,600",0,0,"11,735,789,500",1.05
2018-10-12,038530,Gold Pacific,Stock certificates,"2,100",0,0,"71,738",2.93,"5,223,750",0,0,"185,386,975",2.82
2018-10-12,03853018,Gold Pacific 37R,Subscription right certificates,0,0,0,"79,838",0.00,0,0,0,"40,216,691",0.00
2018-10-12,227950,Goldenbridge SPAC 4,Stock certificates,0,0,0,"103,419",0.00,0,0,0,"163,025,145",0.00
2018-10-12,900280,Golden Century,Foreign stock certificates,"4,245",0,0,"1,742,118",0.24,"4,237,805",0,0,"1,742,804,363",0.24
2018-10-12,215000,GOLFZON,Stock certificates,32,0,0,"4,102",0.78,"1,120,000",0,0,"143,944,600",0.78
2018-10-12,121440,GOLFZON NEWDIN HOLDINGS,Stock certificates,534,0,0,"111,222",0.48,"2,259,020",0,0,"464,303,605",0.49
2018-10-12,014200,KANGLIM,Stock certificates,"29,074",0,0,"208,943",13.91,"84,672,805",0,0,"609,016,675",13.90
2018-10-12,026910,KwangjinInd,Stock certificates,0,0,0,"20,600",0.00,0,0,0,"72,708,600",0.00
2018-10-12,090150,KWANGJIN,Stock certificates,0,0,0,"37,201",0.00,0,0,0,"85,907,225",0.00
2018-10-12,267320,Kyobo 7 SPAC,Stock certificates,0,0,0,"13,798",0.00,0,0,0,"28,140,530",0.00
2018-10-12,242040,Kyobo BNK SPAC,Stock certificates,0,0,0,"198,453",0.00,0,0,0,"389,790,210",0.00
2018-10-12,053270,G.Y.TECH,Stock certificates,119,0,0,"237,132",0.05,"184,450",0,0,"375,134,885",0.05
2018-10-12,066620,KUKBO DESIGN,Stock certificates,22,0,0,"29,167",0.08,"287,300",0,0,"385,612,900",0.07
2018-10-12,043650,KSDB,Stock certificates,"1,772",0,0,"50,192",3.53,"7,816,420",0,0,"216,642,110",3.61
2018-10-12,006050,KUKYOUNGG&M,Stock certificates,0,0,0,"364,103",0.00,0,0,0,"498,598,120",0.00
2018-10-12,060480,KUKIL METAL,Stock certificates,204,0,0,"310,931",0.07,"773,200",0,0,"1,166,201,770",0.07
2018-10-12,078130,KUK-IL PAPER,Stock certificates,"32,780",0,0,"1,860,505",1.76,"29,031,913",0,0,"1,647,700,202",1.76
2018-10-12,019010,GRAND DEPT,Stock certificates,0,0,0,"6,085",0.00,0,0,0,"86,843,600",0.00
2018-10-12,900070,GSMT,Foreign stock certificates,0,0,0,"139,284",0.00,0,0,0,"127,467,146",0.00
2018-10-12,204620,Global Tax Free,Stock certificates,"6,458",0,0,"85,786",7.53,"43,863,410",0,0,"582,269,470",7.53
2018-10-12,019660,GLOBON,Stock certificates,230,0,0,"109,588",0.21,"742,900",0,0,"341,357,340",0.22
2018-10-12,053260,KEUM KANG,Stock certificates,400,0,0,"53,097",0.75,"1,446,000",0,0,"192,030,045",0.75
2018-10-12,036190,GEUMHWA PSC,Stock certificates,0,0,0,"2,187",0.00,0,0,0,"66,044,450",0.00
2018-10-12,049080,GIGALANE,Stock certificates,"13,335",0,0,"583,525",2.29,"31,763,245",0,0,"1,385,219,130",2.29
2018-10-12,035460,KisanTelecom,Stock certificates,0,0,0,"132,055",0.00,0,0,0,"332,101,265",0.00
2018-10-12,187790,NANO,Stock certificates,"1,124",0,0,"169,899",0.66,"2,301,680",0,0,"344,505,130",0.67
2018-10-12,151910,NANOS,Stock certificates,"1,340",0,0,"141,873",0.94,"9,736,940",0,0,"1,022,623,340",0.95
2018-10-12,121600,ANP,Stock certificates,500,0,0,"148,644",0.34,"6,850,000",0,0,"2,070,210,600",0.33
2018-10-12,039860,NanoenTek,Stock certificates,0,0,0,"69,000",0.00,0,0,0,"361,222,780",0.00
2018-10-12,091970,Nano Chem Tech,Stock certificates,"3,520",0,0,"103,918",3.39,"18,172,600",0,0,"541,200,365",3.36
2018-10-12,051490,NARA M&D,Stock certificates,13,0,0,"93,172",0.01,"78,520",0,0,"554,192,380",0.01
2018-10-12,190510,NAMUGA,Stock certificates,0,0,0,"7,016",0.00,0,0,0,"119,548,950",0.00
2018-10-12,089600,Nasmedia,Stock certificates,694,0,0,"22,388",3.10,"26,386,550",0,0,"861,911,750",3.06
2018-10-12,293580,NAU IB Capital,Stock certificates,0,0,0,"387,612",0.00,0,0,0,"2,193,545,960",0.00
2018-10-12,138610,NIBEC,Stock certificates,0,0,0,"50,198",0.00,0,0,0,"528,307,350",0.00
2018-10-12,130580,NICE D&B,Stock certificates,0,0,0,"10,329",0.00,0,0,0,"77,819,130",0.00
2018-10-12,036800,NICEI&T,Stock certificates,"1,046",0,0,"34,164",3.06,"22,387,300",0,0,"721,059,600",3.10
2018-10-12,091590,"Nam Hwa Const Co., Ltd.",Stock certificates,"13,144",0,0,"394,036",3.34,"164,784,600",0,0,"4,984,818,850",3.31
2018-10-12,168330,NaturalendoTech,Stock certificates,"15,318",0,0,"316,354",4.84,"279,825,850",0,0,"5,816,260,450",4.81
2018-10-12,072770,Neodian Technology,Stock certificates,"2,331",0,0,"272,273",0.86,"4,291,750",0,0,"512,566,500",0.84
2018-10-12,212560,NEOOTO,Stock certificates,0,0,0,"15,417",0.00,0,0,0,"65,777,790",0.00
2018-10-12,095660,NEOWIZ,Stock certificates,"3,970",0,0,"231,456",1.72,"48,693,650",0,0,"2,780,354,100",1.75
2018-10-12,042420,NEOWIZ HOLDINDS,Stock certificates,3,0,0,"8,642",0.03,"33,400",0,0,"95,453,050",0.03
2018-10-12,085910,NEOTIS,Stock certificates,0,0,0,"48,319",0.00,0,0,0,"187,458,075",0.00
2018-10-12,092730,Neopharm,Stock certificates,"3,172",0,0,"31,542",10.06,"148,370,300",0,0,"1,477,848,700",10.04
2018-10-12,153460,NABLE,Stock certificates,"2,747",0,0,"108,856",2.52,"10,690,150",0,0,"416,662,450",2.57
2018-10-12,007390,NATURECELL,Stock certificates,"110,978",0,0,"3,114,335",3.56,"1,663,422,300",0,0,"46,929,756,250",3.54
2018-10-12,033640,NEPES,Stock certificates,"7,646",0,0,"1,050,177",0.73,"76,325,170",0,0,"10,402,393,130",0.73
2018-10-12,087730,NEPES AMC,Stock certificates,189,0,0,"111,883",0.17,"11,195,900",0,0,"6,552,805,000",0.17
2018-10-12,089140,NEXTURN,Stock certificates,"2,842",0,0,"109,153",2.60,"34,919,400",0,0,"1,275,763,950",2.74
2018-10-12,065170,NEXT BT,Stock certificates,"6,108",0,0,"321,146",1.90,"12,068,330",0,0,"623,679,410",1.94
2018-10-12,139670,NexStreaming,Stock certificates,0,0,0,"7,188",0.00,0,0,0,"18,030,535",0.00
2018-10-12,137940,NextEye,Stock certificates,500,0,0,"109,767",0.46,"1,315,000",0,0,"289,685,150",0.45
2018-10-12,092600,Nextchip,Stock certificates,32,0,0,"119,956",0.03,"204,800",0,0,"780,014,110",0.03
2018-10-12,041140,Nexon GT,Stock certificates,"7,936",0,0,"192,274",4.13,"54,719,970",0,0,"1,316,683,560",4.16
2018-10-12,217270,Neptune,Stock certificates,844,0,0,"88,491",0.95,"7,812,250",0,0,"813,404,810",0.96
2018-10-12,225570,NAT GAMES,Stock certificates,132,0,0,"68,549",0.19,"974,820",0,0,"506,970,540",0.19
2018-10-12,144510,Green Cross Lab Cell,Stock certificates,"2,655",0,0,"168,242",1.58,"137,614,850",0,0,"8,627,723,150",1.60
2018-10-12,031390,GREEN CROSS CELL,Stock certificates,"2,513",0,0,"801,024",0.31,"148,247,300",0,0,"47,040,006,600",0.32
2018-10-12,142280,GCMS,Stock certificates,95,0,0,"1,467,624",0.01,"1,724,600",0,0,"26,874,378,150",0.01
2018-10-12,065560,Nokwon C & I,Stock certificates,461,0,0,"109,791",0.42,"3,974,420",0,0,"916,909,290",0.43
2018-10-12,054050,N.W BIO,Stock certificates,"7,419",0,0,"131,449",5.64,"85,979,750",0,0,"1,517,056,500",5.67
2018-10-12,040160,NURI Telecom,Stock certificates,"3,249",0,0,"86,936",3.74,"24,223,140",0,0,"646,162,100",3.75
2018-10-12,069140,Nuriplan,Stock certificates,0,0,0,"45,085",0.00,0,0,0,"247,940,360",0.00
2018-10-12,126870,NEUROS,Stock certificates,687,0,0,"467,620",0.15,"3,078,825",0,0,"2,120,393,780",0.15
2018-10-12,060260,NUVOTEC,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2018-10-12,012340,NUINTEK,Stock certificates,0,0,0,"387,911",0.00,0,0,0,"277,548,724",0.00
2018-10-12,222040,NUTRIBIOTECH,Stock certificates,"10,637",0,0,"97,464",10.91,"220,200,200",0,0,"2,016,029,700",10.92
2018-10-12,144960,NPP,Stock certificates,20,0,0,"29,647",0.07,"275,000",0,0,"395,004,300",0.07
2018-10-12,900100,New Pride,Foreign stock certificates,"21,348",0,0,"4,715,337",0.45,"73,349,650",0,0,"16,188,317,840",0.45
2018-10-12,085670,NEWFLEX,Stock certificates,0,0,0,"167,733",0.00,0,0,0,"397,203,940",0.00
2018-10-12,119860,DANAWA,Stock certificates,34,0,0,"66,071",0.05,"671,350",0,0,"1,291,560,600",0.05
2018-10-12,064260,DANAL,Stock certificates,"9,044",0,0,"541,864",1.67,"33,596,630",0,0,"1,975,059,215",1.70
2018-10-12,093640,Tamul,Stock certificates,175,0,0,"20,146",0.87,"1,139,210",0,0,"130,246,190",0.87
2018-10-12,039560,DASANNetwork,Stock certificates,"8,467",0,0,"294,761",2.87,"59,874,310",0,0,"2,069,856,850",2.89
2018-10-12,032190,DAOU DATA,Stock certificates,"2,966",0,0,"121,811",2.43,"27,436,490",0,0,"1,129,738,880",2.43
2018-10-12,068240,DAWONSYS,Stock certificates,"2,351",0,0,"142,819",1.65,"35,033,100",0,0,"2,110,724,950",1.66
2018-10-12,020400,DaedongMetal,Stock certificates,0,0,0,959,0.00,0,0,0,"42,075,500",0.00
2018-10-12,008830,DaedongGear,Stock certificates,0,0,0,266,0.00,0,0,0,"7,215,550",0.00
2018-10-12,048470,DAESCO,Stock certificates,"1,724",0,0,"565,801",0.30,"19,398,000",0,0,"6,447,917,700",0.30
2018-10-12,004780,Daeryuk,Stock certificates,239,0,0,"23,625",1.01,"1,325,350",0,0,"130,599,930",1.01
2018-10-12,017650,DaelimPaper,Stock certificates,0,0,0,"231,866",0.00,0,0,0,"467,719,295",0.00
2018-10-12,007720,DAEMYUNG CORPORATION,Stock certificates,0,0,0,"1,489,823",0.00,0,0,0,"2,906,040,075",0.00
2018-10-12,078140,Daebongls,Stock certificates,0,0,0,"59,997",0.00,0,0,0,"418,798,260",0.00
2018-10-12,036480,DSMBIO,Stock certificates,"1,012",0,0,"168,557",0.60,"19,230,450",0,0,"3,184,263,450",0.60
2018-10-12,025440,DAESUNGELTEC,Stock certificates,0,0,0,"446,744",0.00,0,0,0,"387,195,953",0.00
2018-10-12,027830,Daesung PE,Stock certificates,5,0,0,"697,573",0.00,"8,400",0,0,"1,127,077,730",0.00
2018-10-12,104040,Daesung Fine Tec,Stock certificates,"1,020",0,0,"1,002,441",0.10,"1,873,615",0,0,"1,865,836,520",0.10
2018-10-12,253590,Daishin Balance 3,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2018-10-12,262830,Daishin Balance IV,Stock certificates,0,0,0,"1,610",0.00,0,0,0,"3,339,250",0.00
2018-10-12,303030,DaishinBalance No.5,Stock certificates,0,0,0,"1,574",0.00,0,0,0,"3,297,220",0.00
2018-10-12,020180,DIC,Stock certificates,"1,090",0,0,"218,193",0.50,"979,945",0,0,"198,342,157",0.49
2018-10-12,045390,DAEATI,Stock certificates,"55,617",0,0,"5,699,313",0.98,"397,188,610",0,0,"40,612,328,420",0.98
2018-10-12,108380,DAYANG,Stock certificates,0,0,0,"36,024",0.00,0,0,0,"457,183,150",0.00
2018-10-12,006580,DaeyangPaper,Stock certificates,"1,009",0,0,"136,978",0.74,"3,240,150",0,0,"442,165,070",0.73
2018-10-12,007680,DAEWON,Stock certificates,0,0,0,"22,577",0.00,0,0,0,"270,464,250",0.00
2018-10-12,048910,DAEWON MEDIA,Stock certificates,"1,620",0,0,"175,138",0.92,"14,206,000",0,0,"1,529,537,460",0.93
2018-10-12,005710,Daewonsanup,Stock certificates,140,0,0,"8,344",1.68,"868,000",0,0,"50,622,980",1.71
2018-10-12,290380,Dae Yu,Stock certificates,0,0,0,"651,995",0.00,0,0,0,"13,857,845,650",0.00
2018-10-12,071460,DAYOU WINIA,Stock certificates,642,0,0,"91,794",0.70,"1,574,430",0,0,"221,611,800",0.71
2018-10-12,120240,DAEJUNG C&M,Stock certificates,0,0,0,"36,496",0.00,0,0,0,"470,310,050",0.00
2018-10-12,003310,Daejoo,Stock certificates,0,0,0,"328,167",0.00,0,0,0,"487,715,070",0.00
2018-10-12,078600,DAEJOO,Stock certificates,"2,094",0,0,"185,308",1.13,"45,230,050",0,0,"4,053,679,000",1.12
2018-10-12,065690,DAEJIN DMP,Stock certificates,5,0,0,"20,695",0.02,"17,875",0,0,"72,502,290",0.02
2018-10-12,096350,DSOL,Stock certificates,"23,228",0,0,"1,025,072",2.27,"14,187,919",0,0,"618,109,429",2.30
2018-10-12,140520,DaeChang Steel,Stock certificates,0,0,0,"154,190",0.00,0,0,0,"453,496,080",0.00
2018-10-12,131220,DAIHAN Scientific,Stock certificates,0,0,0,"51,046",0.00,0,0,0,"235,099,290",0.00
2018-10-12,010170,TaihanFiberoptics,Stock certificates,"33,973",0,0,"929,450",3.66,"197,736,370",0,0,"5,404,465,360",3.66
2018-10-12,054670,DHNP,Stock certificates,"1,575",0,0,"96,797",1.63,"16,685,200",0,0,"1,005,075,000",1.66
2018-10-12,023910,DaihanPharm,Stock certificates,"1,008",0,0,"20,012",5.04,"42,755,700",0,0,"847,117,450",5.05
2018-10-12,021040,DAEHO P&C,Stock certificates,"7,996",0,0,"5,212,481",0.15,"10,439,690",0,0,"6,789,871,930",0.15
2018-10-12,021045,DAEHO P&C(1P),Stock certificates,0,0,0,"115,101",0.00,0,0,0,"185,367,790",0.00
2018-10-12,067080,DH PHARM,Stock certificates,"4,783",0,0,"170,892",2.80,"111,720,550",0,0,"3,960,935,550",2.82
2018-10-12,192080,DoubleUGames,Stock certificates,239,0,0,"107,474",0.22,"16,327,200",0,0,"7,306,044,200",0.22
2018-10-12,035290,WFM,Stock certificates,"4,540",0,0,"68,684",6.61,"14,681,345",0,0,"221,548,245",6.63
2018-10-12,213420,DUK SAN NEOLUX,Stock certificates,"26,107",0,0,"161,467",16.17,"348,191,900",0,0,"2,149,117,950",16.20
2018-10-12,077360,DSHM,Stock certificates,"3,208",0,0,"50,245",6.38,"17,518,760",0,0,"272,862,970",6.42
2018-10-12,090410,Duckshin Housing,Stock certificates,0,0,0,"246,047",0.00,0,0,0,"323,298,585",0.00
2018-10-12,263600,DERKWOO ELECTRONICS,Stock certificates,0,0,0,"117,239",0.00,0,0,0,"1,562,633,950",0.00
2018-10-12,194480,Devsisters,Stock certificates,3,0,0,"15,057",0.02,"29,980",0,0,"150,517,570",0.02
2018-10-12,263800,DATASOLUTION,Stock certificates,0,0,0,"48,835",0.00,0,0,0,"156,900,880",0.00
