Date,Issue code,Issue name,Securities type,Quantity short-selling volume total,Quantity short-selling volume with uptick rule,Quantity short-selling volume without uptick rule,Quantity trading volume,Quantity proportion,Amount short-selling volume total,Amount short-selling volume with uptick rule,Amount short-selling volume without uptick rule,Amount trading volume,Amount proportion
2018-03-22,095570,AJ Networks,Stock certificates,697,0,0,"32,250",2.16,"5,013,980",0,0,"231,786,560",2.16
2018-03-22,068400,AJ RENT A CAR,Stock certificates,"6,077",0,0,"219,429",2.77,"69,385,400",0,0,"2,508,979,050",2.77
2018-03-22,006840,AK Holdings,Stock certificates,"7,097",0,0,"98,328",7.22,"521,592,100",0,0,"7,230,252,700",7.21
2018-03-22,027410,BGF,Stock certificates,"64,504",0,0,"1,441,522",4.47,"968,236,350",0,0,"21,635,489,750",4.48
2018-03-22,282330,BGF Retail,Stock certificates,"1,773",0,0,"35,416",5.01,"292,700,000",0,0,"5,845,675,500",5.01
2018-03-22,138930,BNK Financial Group,Stock certificates,"104,461",0,0,"946,325",11.04,"1,169,877,850",0,0,"10,603,248,650",11.03
2018-03-22,001460,BYC,Stock certificates,1,0,0,124,0.81,"297,000",0,0,"36,736,500",0.81
2018-03-22,001465,BYC(1P),Stock certificates,0,0,0,179,0.00,0,0,0,"27,366,500",0.00
2018-03-22,001040,CJ,Stock certificates,"1,302",0,0,"52,365",2.49,"212,014,000",0,0,"8,525,895,000",2.49
2018-03-22,079160,CJ CGV,Stock certificates,"7,839",0,0,"80,688",9.72,"529,715,700",0,0,"5,455,034,500",9.71
2018-03-22,000120,CJ LOGISTICS,Stock certificates,"2,516",0,0,"89,693",2.81,"339,193,000",0,0,"12,143,647,500",2.79
2018-03-22,011150,CJSEAFOOD,Stock certificates,0,0,0,"66,853",0.00,0,0,0,"185,955,865",0.00
2018-03-22,011155,CJSEAFOOD(1P),Stock certificates,0,0,0,"1,225",0.00,0,0,0,"33,491,600",0.00
2018-03-22,001045,CJ(1P),Stock certificates,0,0,0,"3,156",0.00,0,0,0,"221,059,600",0.00
2018-03-22,097950,CJ CheilJedang,Stock certificates,"1,404",0,0,"23,019",6.10,"465,966,000",0,0,"7,641,373,000",6.10
2018-03-22,097955,CJ CheilJedang(1P),Stock certificates,56,0,0,"3,264",1.72,"7,600,000",0,0,"442,697,500",1.72
2018-03-22,037560,CJ Hello,Stock certificates,31,0,0,"125,032",0.02,"257,300",0,0,"1,034,928,180",0.02
2018-03-22,000590,CSHOLDINGS,Stock certificates,0,0,0,70,0.00,0,0,0,"5,266,100",0.00
2018-03-22,012030,DB,Stock certificates,"29,766",0,0,"1,788,485",1.66,"22,999,104",0,0,"1,397,980,320",1.65
2018-03-22,016610,DBFI,Stock certificates,59,0,0,"132,294",0.04,"249,205",0,0,"559,423,660",0.04
2018-03-22,005830,DB INSURANCE,Stock certificates,"1,763",0,0,"143,350",1.23,"119,310,200",0,0,"9,701,141,500",1.23
2018-03-22,000990,DB HiTek,Stock certificates,"14,357",0,0,"324,254",4.43,"236,771,600",0,0,"5,319,264,450",4.45
2018-03-22,000995,DB HiTek(1P),Stock certificates,0,0,0,3,0.00,0,0,0,"108,450",0.00
2018-03-22,139130,DGB Financial Group,Stock certificates,"17,975",0,0,"772,340",2.33,"224,321,450",0,0,"9,618,080,800",2.33
2018-03-22,004840,DRB Holding,Stock certificates,15,0,0,"7,306",0.21,"110,720",0,0,"53,950,630",0.21
2018-03-22,155660,DSR,Stock certificates,"1,532",0,0,"82,368",1.86,"8,628,830",0,0,"462,296,350",1.87
2018-03-22,069730,DSRWIRE,Stock certificates,964,0,0,"115,219",0.84,"5,610,480",0,0,"666,771,790",0.84
2018-03-22,017940,E1,Stock certificates,14,0,0,"2,317",0.60,"819,100",0,0,"135,599,300",0.60
2018-03-22,007700,F&F,Stock certificates,582,0,0,"26,065",2.23,"24,836,100",0,0,"1,116,063,600",2.23
2018-03-22,114090,GKL,Stock certificates,"16,614",0,0,"197,050",8.43,"399,650,800",0,0,"4,761,835,600",8.39
2018-03-22,078930,GS,Stock certificates,"14,806",0,0,"165,713",8.93,"949,988,900",0,0,"10,625,846,800",8.94
2018-03-22,006360,GS E&C,Stock certificates,"33,590",0,0,"274,505",12.24,"975,495,800",0,0,"8,005,964,650",12.18
2018-03-22,001250,GS Global,Stock certificates,"1,532",0,0,"1,231,911",0.12,"5,540,705",0,0,"4,462,794,030",0.12
2018-03-22,007070,GS Retail,Stock certificates,"9,233",0,0,"83,426",11.07,"313,685,200",0,0,"2,836,004,100",11.06
2018-03-22,078935,GS(1P),Stock certificates,0,0,0,"1,771",0.00,0,0,0,"73,474,650",0.00
2018-03-22,003560,IHQ,Stock certificates,"15,526",0,0,"1,478,524",1.05,"44,051,130",0,0,"4,184,897,965",1.05
2018-03-22,175330,JB Financial Group,Stock certificates,"2,249",0,0,"167,021",1.35,"14,356,050",0,0,"1,067,641,010",1.34
2018-03-22,234080,JW LIFESCIENCE,Stock certificates,295,0,0,"57,016",0.52,"15,551,100",0,0,"3,015,428,300",0.52
2018-03-22,001060,JWPHARMA,Stock certificates,979,0,0,"115,017",0.85,"42,842,300",0,0,"5,032,721,000",0.85
2018-03-22,001067,JWPHARMA(2PB),Stock certificates,0,0,0,240,0.00,0,0,0,"9,867,150",0.00
2018-03-22,001065,JWPHARMA(1P),Stock certificates,0,0,0,618,0.00,0,0,0,"14,940,350",0.00
2018-03-22,096760,JW HOLDINGS,Stock certificates,"13,908",0,0,"193,552",7.19,"117,127,860",0,0,"1,628,126,460",7.19
2018-03-22,105560,KBFinancialGroup,Stock certificates,"89,507",0,0,"824,838",10.85,"5,716,069,000",0,0,"52,692,561,912",10.85
2018-03-22,002380,KCC,Stock certificates,284,0,0,"15,004",1.89,"98,932,000",0,0,"5,223,810,000",1.89
2018-03-22,009070,KCTC,Stock certificates,0,0,0,"51,587",0.00,0,0,0,"137,687,090",0.00
2018-03-22,009440,KC Green Holdings,Stock certificates,97,0,0,"59,253",0.16,"517,760",0,0,"314,276,710",0.16
2018-03-22,119650,KC COTTRELL,Stock certificates,0,0,0,"54,553",0.00,0,0,0,"275,177,490",0.00
2018-03-22,092220,KEC,Stock certificates,"17,049",0,0,"3,287,059",0.52,"24,014,770",0,0,"4,578,013,850",0.52
2018-03-22,109070,KGP,Stock certificates,"14,243",0,0,"786,478",1.81,"82,994,320",0,0,"4,518,449,870",1.84
2018-03-22,001390,KGC,Stock certificates,"7,457",0,0,"267,915",2.78,"199,042,250",0,0,"7,186,270,100",2.77
2018-03-22,001940,KISCO Holdings,Stock certificates,3,0,0,"1,016",0.30,"199,200",0,0,"67,525,000",0.30
2018-03-22,083420,KPX GREEN CHEMICAL,Stock certificates,345,0,0,"47,271",0.73,"1,569,760",0,0,"214,077,740",0.73
2018-03-22,025000,KPXCHEMICAL,Stock certificates,18,0,0,"1,227",1.47,"1,171,600",0,0,"79,759,000",1.47
2018-03-22,092230,KPXHOLDINGS,Stock certificates,0,0,0,766,0.00,0,0,0,"48,579,900",0.00
2018-03-22,000040,KR MOTORS,Stock certificates,"26,602",0,0,"782,109",3.40,"15,717,570",0,0,"460,715,730",3.41
2018-03-22,044450,KSS LINE,Stock certificates,78,0,0,"28,437",0.27,"688,770",0,0,"250,746,840",0.27
2018-03-22,030200,KT,Stock certificates,"62,362",0,0,"439,803",14.18,"1,710,220,600",0,0,"12,067,586,450",14.17
2018-03-22,033780,KT&G,Stock certificates,"99,097",0,0,"528,967",18.73,"9,838,383,600",0,0,"52,597,642,916",18.70
2018-03-22,030210,KTBSEC,Stock certificates,"3,907",0,0,"623,671",0.63,"21,760,390",0,0,"3,451,600,550",0.63
2018-03-22,058850,KTcs,Stock certificates,357,0,0,"36,551",0.98,"785,645",0,0,"80,443,400",0.98
2018-03-22,093050,LF,Stock certificates,"1,429",0,0,"83,596",1.71,"38,550,350",0,0,"2,254,556,650",1.71
2018-03-22,003550,LG Corp.,Stock certificates,"11,113",0,0,"215,517",5.16,"986,940,600",0,0,"19,096,602,700",5.17
2018-03-22,034220,LG Display,Stock certificates,"301,195",0,0,"2,704,996",11.13,"8,195,595,150",0,0,"73,549,568,650",11.14
2018-03-22,001120,LGInt,Stock certificates,"1,614",0,0,"195,421",0.83,"43,864,600",0,0,"5,325,387,500",0.82
2018-03-22,051900,LGH&H,Stock certificates,915,0,0,"39,613",2.31,"1,043,719,000",0,0,"45,134,344,000",2.31
2018-03-22,051905,LGH&H(1P),Stock certificates,514,0,0,"2,792",18.41,"367,723,000",0,0,"1,997,566,000",18.41
2018-03-22,003555,LG Corp.(1P),Stock certificates,0,0,0,"1,480",0.00,0,0,0,"70,229,150",0.00
2018-03-22,032640,LG Uplus,Stock certificates,"78,306",0,0,"1,487,710",5.26,"986,828,600",0,0,"18,775,511,350",5.26
2018-03-22,011070,LG Innotek,Stock certificates,"89,724",0,0,"352,323",25.47,"11,382,818,000",0,0,"44,875,187,500",25.37
2018-03-22,066570,LGELECTRONICS,Stock certificates,"20,499",0,0,"608,489",3.37,"2,311,413,500",0,0,"68,564,981,644",3.37
2018-03-22,066575,LGELECTRONICS(1P),Stock certificates,501,0,0,"52,022",0.96,"22,309,500",0,0,"2,324,029,350",0.96
2018-03-22,108670,LG HAUSYS,Stock certificates,"1,536",0,0,"48,250",3.18,"121,223,300",0,0,"3,805,855,500",3.19
2018-03-22,108675,LG HAUSYS(1P),Stock certificates,0,0,0,"1,020",0.00,0,0,0,"46,530,250",0.00
