Date,Issue code,Issue name,Securities type,Quantity short-selling volume total,Quantity short-selling volume with uptick rule,Quantity short-selling volume without uptick rule,Quantity trading volume,Quantity proportion,Amount short-selling volume total,Amount short-selling volume with uptick rule,Amount short-selling volume without uptick rule,Amount trading volume,Amount proportion
2017-09-13,095570,AJ Networks,Stock certificates,24,0,0,"41,777",0.06,"173,760",0,0,"302,606,680",0.06
2017-09-13,068400,AJ RENT A CAR,Stock certificates,"7,345",0,0,"114,704",6.40,"80,871,500",0,0,"1,261,342,800",6.41
2017-09-13,006840,AK Holdings,Stock certificates,"2,689",0,0,"27,204",9.88,"187,513,700",0,0,"1,894,805,800",9.90
2017-09-13,027410,BGF Retail,Stock certificates,"23,643",0,0,"123,021",19.22,"1,993,720,900",0,0,"10,378,688,900",19.21
2017-09-13,138930,BNK Financial Group,Stock certificates,"54,033",0,0,"846,740",6.38,"527,778,540",0,0,"8,265,131,650",6.39
2017-09-13,001460,BYC,Stock certificates,0,0,0,401,0.00,0,0,0,"130,386,000",0.00
2017-09-13,001465,BYC(1P),Stock certificates,0,0,0,74,0.00,0,0,0,"12,884,500",0.00
2017-09-13,001040,CJ,Stock certificates,"5,010",0,0,"65,838",7.61,"863,995,500",0,0,"11,348,503,000",7.61
2017-09-13,079160,CJ CGV,Stock certificates,"9,165",0,0,"126,187",7.26,"555,358,600",0,0,"7,641,731,900",7.27
2017-09-13,000120,CJ LOGISTICS,Stock certificates,"4,554",0,0,"26,990",16.87,"748,858,500",0,0,"4,435,598,750",16.88
2017-09-13,011150,CJSEAFOOD,Stock certificates,0,0,0,"57,796",0.00,0,0,0,"178,197,180",0.00
2017-09-13,011155,CJSEAFOOD(1P),Stock certificates,0,0,0,"6,606",0.00,0,0,0,"181,117,650",0.00
2017-09-13,001045,CJ(1P),Stock certificates,3,0,0,"11,931",0.03,"226,100",0,0,"900,508,300",0.03
2017-09-13,097950,CJ CheilJedang,Stock certificates,"1,855",0,0,"27,612",6.72,"646,366,500",0,0,"9,606,902,500",6.73
2017-09-13,097955,CJ CheilJedang(1P),Stock certificates,1,0,0,"2,422",0.04,"155,000",0,0,"373,681,500",0.04
2017-09-13,037560,CJ HelloVision,Stock certificates,"4,475",0,0,"38,606",11.59,"36,458,040",0,0,"314,107,960",11.61
2017-09-13,000590,CSHOLDINGS,Stock certificates,0,0,0,194,0.00,0,0,0,"15,817,400",0.00
2017-09-13,139130,DGB Financial Group,Stock certificates,"1,998",0,0,"626,829",0.32,"20,409,950",0,0,"6,368,433,400",0.32
2017-09-13,004840,DRB Holding,Stock certificates,11,0,0,"10,462",0.11,"92,400",0,0,"87,515,080",0.11
2017-09-13,155660,DSR,Stock certificates,0,0,0,"60,375",0.00,0,0,0,"340,510,340",0.00
2017-09-13,069730,DSRWIRE,Stock certificates,0,0,0,"169,567",0.00,0,0,0,"868,058,450",0.00
2017-09-13,017940,E1,Stock certificates,2,0,0,"1,508",0.13,"114,400",0,0,"86,466,200",0.13
2017-09-13,007700,F&F,Stock certificates,740,0,0,"46,341",1.60,"27,639,350",0,0,"1,735,016,250",1.59
2017-09-13,114090,GKL,Stock certificates,"24,336",0,0,"79,534",30.60,"542,078,050",0,0,"1,769,352,650",30.64
