Date,Issue code,Issue name,Securities type,Quantity short-selling volume total,Quantity short-selling volume with uptick rule,Quantity short-selling volume without uptick rule,Quantity trading volume,Quantity proportion,Amount short-selling volume total,Amount short-selling volume with uptick rule,Amount short-selling volume without uptick rule,Amount trading volume,Amount proportion
2018-02-21,095570,AJ Networks,Stock certificates,36,0,0,"25,618",0.14,"277,200",0,0,"197,461,270",0.14
2018-02-21,068400,AJ RENT A CAR,Stock certificates,"4,819",0,0,"150,703",3.20,"54,629,000",0,0,"1,704,204,200",3.21
2018-02-21,006840,AK Holdings,Stock certificates,"2,633",0,0,"26,751",9.84,"221,876,500",0,0,"2,252,527,600",9.85
2018-02-21,027410,BGF,Stock certificates,"118,192",0,0,"280,558",42.13,"1,614,253,850",0,0,"3,829,473,300",42.15
2018-02-21,282330,BGF Retail,Stock certificates,"1,265",0,0,"34,023",3.72,"236,620,000",0,0,"6,360,317,500",3.72
2018-02-21,138930,BNK Financial Group,Stock certificates,"121,318",0,0,"1,204,386",10.07,"1,319,269,150",0,0,"13,064,093,700",10.10
2018-02-21,001460,BYC,Stock certificates,1,0,0,688,0.15,"293,000",0,0,"201,497,500",0.15
2018-02-21,001465,BYC(1P),Stock certificates,0,0,0,37,0.00,0,0,0,"5,360,000",0.00
2018-02-21,001040,CJ,Stock certificates,"11,503",0,0,"79,189",14.53,"1,895,394,000",0,0,"13,026,644,500",14.55
2018-02-21,079160,CJ CGV,Stock certificates,"9,031",0,0,"75,657",11.94,"664,392,100",0,0,"5,563,351,600",11.94
2018-02-21,000120,CJ LOGISTICS,Stock certificates,"11,573",0,0,"40,655",28.47,"1,518,546,500",0,0,"5,344,578,000",28.41
2018-02-21,011150,CJSEAFOOD,Stock certificates,0,0,0,"57,135",0.00,0,0,0,"161,417,935",0.00
2018-02-21,011155,CJSEAFOOD(1P),Stock certificates,0,0,0,"3,599",0.00,0,0,0,"104,749,100",0.00
