Date,Issue code,Issue name,Securities type,Quantity short-selling volume total,Quantity short-selling volume with uptick rule,Quantity short-selling volume without uptick rule,Quantity trading volume,Quantity proportion,Amount short-selling volume total,Amount short-selling volume with uptick rule,Amount short-selling volume without uptick rule,Amount trading volume,Amount proportion
2017-06-12,095570,AJ Networks,Stock certificates,849,0,0,"173,011",0.49,"6,195,660",0,0,"1,263,048,260",0.49
2017-06-12,068400,AJ RENT A CAR,Stock certificates,"7,749",0,0,"380,195",2.04,"101,212,050",0,0,"4,983,937,950",2.03
2017-06-12,006840,AK Holdings,Stock certificates,"2,684",0,0,"56,785",4.73,"186,160,800",0,0,"3,936,538,900",4.73
2017-06-12,027410,BGF Retail,Stock certificates,"53,915",0,0,"443,153",12.17,"6,537,676,000",0,0,"53,630,722,500",12.19
2017-06-12,138930,BNK Financial Group,Stock certificates,"43,592",0,0,"1,059,695",4.11,"465,599,000",0,0,"11,314,437,600",4.12
2017-06-12,001460,BYC,Stock certificates,1,0,0,463,0.22,"398,500",0,0,"184,360,000",0.22
2017-06-12,001465,BYC(1P),Stock certificates,0,0,0,55,0.00,0,0,0,"9,982,000",0.00
2017-06-12,001040,CJ,Stock certificates,"1,889",0,0,"106,609",1.77,"386,509,500",0,0,"21,833,621,000",1.77
2017-06-12,079160,CJ CGV,Stock certificates,"35,734",0,0,"258,371",13.83,"2,820,764,700",0,0,"20,459,498,400",13.79
2017-06-12,000120,CJ korea express,Stock certificates,"4,323",0,0,"29,180",14.81,"832,785,500",0,0,"5,613,985,500",14.83
2017-06-12,011150,CJSEAFOOD,Stock certificates,0,0,0,"149,429",0.00,0,0,0,"520,704,250",0.00
2017-06-12,011155,CJSEAFOOD(1P),Stock certificates,0,0,0,"14,471",0.00,0,0,0,"404,258,500",0.00
2017-06-12,001045,CJ(1P),Stock certificates,"1,000",0,0,"8,626",11.59,"93,738,500",0,0,"810,913,700",11.56
2017-06-12,097950,CJ CheilJedang,Stock certificates,"4,137",0,0,"38,348",10.79,"1,548,867,500",0,0,"14,346,948,000",10.80
2017-06-12,097955,CJ CheilJedang(1P),Stock certificates,0,0,0,"9,913",0.00,0,0,0,"1,710,516,500",0.00
2017-06-12,037560,CJ HelloVision,Stock certificates,258,0,0,"131,166",0.20,"2,365,050",0,0,"1,203,713,250",0.20
2017-06-12,000590,CSHOLDINGS,Stock certificates,1,0,0,119,0.84,"84,800",0,0,"10,042,800",0.84
2017-06-12,139130,DGB Financial Group,Stock certificates,"5,693",0,0,"927,323",0.61,"67,325,150",0,0,"11,003,676,300",0.61
2017-06-12,004840,DRB Holding,Stock certificates,0,0,0,"31,522",0.00,0,0,0,"323,931,800",0.00
2017-06-12,155660,DSR,Stock certificates,48,0,0,"82,396",0.06,"325,970",0,0,"560,886,170",0.06
2017-06-12,069730,DSRWIRE,Stock certificates,"1,954",0,0,"135,089",1.45,"12,335,030",0,0,"854,027,000",1.44
2017-06-12,017940,E1,Stock certificates,72,0,0,"8,882",0.81,"4,509,500",0,0,"558,577,100",0.81
2017-06-12,007700,F&F,Stock certificates,200,0,0,"34,522",0.58,"5,995,000",0,0,"1,037,792,050",0.58
2017-06-12,114090,GKL,Stock certificates,"29,025",0,0,"314,085",9.24,"661,544,850",0,0,"7,144,690,800",9.26
2017-06-12,078930,GS,Stock certificates,"18,862",0,0,"189,782",9.94,"1,328,184,600",0,0,"13,368,340,200",9.94
2017-06-12,006360,GS E&C,Stock certificates,"117,566",0,0,"966,754",12.16,"3,560,616,050",0,0,"29,264,749,000",12.17
2017-06-12,001250,GS Global,Stock certificates,"1,299",0,0,"501,077",0.26,"4,217,230",0,0,"1,630,683,625",0.26
2017-06-12,007070,GS Retail,Stock certificates,"38,300",0,0,"337,060",11.36,"2,118,542,600",0,0,"18,587,909,800",11.40
2017-06-12,078935,GS(1P),Stock certificates,0,0,0,"5,041",0.00,0,0,0,"222,220,500",0.00
2017-06-12,001500,HMCIB,Stock certificates,"20,754",0,0,"113,927",18.22,"265,570,300",0,0,"1,472,654,400",18.03
2017-06-12,003560,IHQ,Stock certificates,"1,578",0,0,"995,718",0.16,"2,957,260",0,0,"1,866,242,460",0.16
2017-06-12,175330,JB Financial Group,Stock certificates,"3,505",0,0,"330,716",1.06,"22,327,860",0,0,"2,116,828,950",1.05
2017-06-12,234080,JW LIFESCIENCE,Stock certificates,0,0,0,"46,717",0.00,0,0,0,"1,528,577,200",0.00
2017-06-12,001060,JWPHARMA,Stock certificates,"4,150",0,0,"140,561",2.95,"211,460,800",0,0,"7,162,968,800",2.95
2017-06-12,001067,JWPHARMA(2PB),Stock certificates,0,0,0,691,0.00,0,0,0,"26,913,800",0.00
2017-06-12,001065,JWPHARMA(1P),Stock certificates,0,0,0,"1,123",0.00,0,0,0,"29,539,800",0.00
2017-06-12,096760,JW HOLDINGS,Stock certificates,"23,207",0,0,"450,329",5.15,"229,189,290",0,0,"4,444,202,780",5.16
2017-06-12,105560,KBFinancialGroup,Stock certificates,"122,110",0,0,"870,522",14.03,"6,885,124,600",0,0,"49,073,620,000",14.03
2017-06-12,002550,KB Insurance,Stock certificates,"3,757",0,0,"94,083",3.99,"121,210,050",0,0,"3,041,801,650",3.98
2017-06-12,021960,KB CAPITAL,Stock certificates,0,0,0,"3,549",0.00,0,0,0,"103,543,700",0.00
2017-06-12,002380,KCC,Stock certificates,980,0,0,"19,848",4.94,"390,774,500",0,0,"7,915,120,500",4.94
2017-06-12,009070,KCTC,Stock certificates,0,0,0,"31,924",0.00,0,0,0,"100,046,885",0.00
2017-06-12,009440,KC Green Holdings,Stock certificates,147,0,0,"46,921",0.31,"1,039,220",0,0,"331,619,850",0.31
2017-06-12,119650,KC COTTRELL,Stock certificates,"1,457",0,0,"48,517",3.00,"8,667,390",0,0,"287,919,860",3.01
2017-06-12,092220,KEC,Stock certificates,360,0,0,"1,027,757",0.04,"402,425",0,0,"1,130,836,115",0.04
2017-06-12,109070,KGP,Stock certificates,31,0,0,"1,509,787",0.00,"12,586",0,0,"609,640,066",0.00
2017-06-12,001390,KGC,Stock certificates,0,0,0,"34,782",0.00,0,0,0,"489,678,250",0.00
2017-06-12,001940,KISCO Holdings,Stock certificates,0,0,0,"3,910",0.00,0,0,0,"286,979,200",0.00
2017-06-12,083420,KPX GREEN CHEMICAL,Stock certificates,0,0,0,"5,293",0.00,0,0,0,"23,348,155",0.00
2017-06-12,025000,KPXCHEMICAL,Stock certificates,8,0,0,"1,921",0.42,"494,400",0,0,"118,513,700",0.42
2017-06-12,092230,KPXHOLDINGS,Stock certificates,1,0,0,"1,034",0.10,"65,600",0,0,"67,957,500",0.10
2017-06-12,000040,KR MOTORS,Stock certificates,172,0,0,"430,244",0.04,"154,058",0,0,"378,968,117",0.04
2017-06-12,044450,KSS LINE,Stock certificates,4,0,0,"27,583",0.01,"35,820",0,0,"247,504,610",0.01
2017-06-12,030200,KT,Stock certificates,"1,705",0,0,"536,495",0.32,"54,043,000",0,0,"17,209,245,384",0.31
2017-06-12,033780,KT&G,Stock certificates,"6,506",0,0,"168,595",3.86,"744,280,000",0,0,"19,223,418,500",3.87
2017-06-12,030210,KTBSEC,Stock certificates,"8,057",0,0,"641,510",1.26,"29,378,815",0,0,"2,351,995,500",1.25
2017-06-12,058850,KTcs,Stock certificates,188,0,0,"105,999",0.18,"472,360",0,0,"265,600,360",0.18
2017-06-12,093050,LF,Stock certificates,"2,442",0,0,"142,165",1.72,"74,697,650",0,0,"4,307,089,300",1.73
2017-06-12,003550,LG Corp.,Stock certificates,"14,884",0,0,"383,009",3.89,"1,223,734,700",0,0,"31,599,446,500",3.87
2017-06-12,034220,LG Display,Stock certificates,"913,907",0,0,"5,350,754",17.08,"32,222,594,000",0,0,"188,921,010,900",17.06
2017-06-12,001120,LGInt,Stock certificates,"1,570",0,0,"149,451",1.05,"50,604,950",0,0,"4,809,076,750",1.05
2017-06-12,051900,LGH&H,Stock certificates,"11,317",0,0,"31,034",36.47,"10,875,872,000",0,0,"29,830,654,000",36.46
2017-06-12,051905,LGH&H(1P),Stock certificates,402,0,0,863,46.58,"248,137,000",0,0,"532,553,000",46.59
2017-06-12,003555,LG Corp.(1P),Stock certificates,0,0,0,"17,829",0.00,0,0,0,"868,035,400",0.00
2017-06-12,032640,LG Uplus,Stock certificates,"445,764",0,0,"1,688,017",26.41,"7,236,105,300",0,0,"27,376,338,350",26.43
2017-06-12,011070,LG Innotek,Stock certificates,"36,557",0,0,"400,911",9.12,"5,390,369,000",0,0,"59,186,575,500",9.11
2017-06-12,066570,LGELECTRONICS,Stock certificates,"364,851",0,0,"1,341,050",27.21,"31,333,490,200",0,0,"115,134,156,300",27.21
2017-06-12,066575,LGELECTRONICS(1P),Stock certificates,"2,048",0,0,"112,082",1.83,"83,030,400",0,0,"4,538,738,100",1.83
2017-06-12,108670,LG HAUSYS,Stock certificates,"1,133",0,0,"52,157",2.17,"127,468,500",0,0,"5,874,647,000",2.17
2017-06-12,108675,LG HAUSYS(1P),Stock certificates,0,0,0,"1,344",0.00,0,0,0,"83,048,000",0.00
2017-06-12,051910,LGCHEM,Stock certificates,"7,158",0,0,"191,591",3.74,"2,083,671,000",0,0,"55,776,504,000",3.74
2017-06-12,051915,LGCHEM(1P),Stock certificates,0,0,0,"8,807",0.00,0,0,0,"1,730,413,100",0.00
2017-06-12,079550,LIG Nex1,Stock certificates,"10,164",0,0,"127,828",7.95,"746,605,700",0,0,"9,424,011,500",7.92
2017-06-12,006260,LS,Stock certificates,273,0,0,"50,351",0.54,"20,004,200",0,0,"3,671,305,300",0.54
2017-06-12,000680,LSNetworks,Stock certificates,2,0,0,"9,975",0.02,"6,400",0,0,"31,941,490",0.02
2017-06-12,010120,LSINDUSTRIALSYSTEMS,Stock certificates,"1,282",0,0,"59,871",2.14,"69,252,800",0,0,"3,238,202,700",2.14
2017-06-12,229640,LS C&S ASIA,Stock certificates,0,0,0,"61,486",0.00,0,0,0,"389,302,250",0.00
2017-06-12,023150,MHETHANOL,Stock certificates,12,0,0,"22,694",0.05,"99,240",0,0,"187,326,550",0.05
2017-06-12,035420,NAVER,Stock certificates,"24,547",0,0,"198,383",12.37,"22,262,382,000",0,0,"180,177,434,000",12.36
2017-06-12,181710,NHN Entertainment,Stock certificates,"9,626",0,0,"87,046",11.06,"712,648,900",0,0,"6,426,788,700",11.09
2017-06-12,005940,NHIS,Stock certificates,"126,993",0,0,"1,472,720",8.62,"1,864,437,950",0,0,"21,738,077,500",8.58
2017-06-12,005945,NHIS(1P),Stock certificates,0,0,0,"93,433",0.00,0,0,0,"856,395,790",0.00
2017-06-12,034310,NICE,Stock certificates,116,0,0,"72,821",0.16,"2,039,900",0,0,"1,272,968,500",0.16
2017-06-12,008260,NI STEEL,Stock certificates,322,0,0,"94,707",0.34,"1,394,060",0,0,"407,407,835",0.34
2017-06-12,004250,NPC,Stock certificates,0,0,0,"12,021",0.00,0,0,0,"77,988,760",0.00
2017-06-12,004255,NPC(1P),Stock certificates,0,0,0,"19,694",0.00,0,0,0,"60,136,290",0.00
2017-06-12,010060,OCI,Stock certificates,"28,987",0,0,"490,034",5.92,"2,616,196,700",0,0,"44,484,369,600",5.88
2017-06-12,005490,POSCO,Stock certificates,"4,807",0,0,"227,263",2.12,"1,336,073,000",0,0,"63,203,747,000",2.11
2017-06-12,100840,S&T,Stock certificates,0,0,0,"8,924",0.00,0,0,0,"159,183,350",0.00
2017-06-12,064960,S&T MOTIV,Stock certificates,"1,385",0,0,"45,437",3.05,"65,294,050",0,0,"2,138,205,850",3.05
2017-06-12,003570,S&TDynamics,Stock certificates,"1,152",0,0,"119,878",0.96,"11,227,790",0,0,"1,166,674,010",0.96
2017-06-12,036530,S&T Holdings,Stock certificates,2,0,0,"16,224",0.01,"35,700",0,0,"288,466,350",0.01
2017-06-12,010950,S-Oil,Stock certificates,"45,403",0,0,"295,568",15.36,"4,428,404,600",0,0,"28,850,565,300",15.35
2017-06-12,010955,S-Oil(1P),Stock certificates,0,0,0,"25,051",0.00,0,0,0,"1,991,996,800",0.00
2017-06-12,034120,SBS,Stock certificates,0,0,0,"124,882",0.00,0,0,0,"3,394,324,250",0.00
2017-06-12,101060,SBS Media Holdings,Stock certificates,"1,805",0,0,"154,022",1.17,"5,592,995",0,0,"477,545,560",1.17
2017-06-12,004060,SGCORPORATION,Stock certificates,"70,997",0,0,"1,883,856",3.77,"85,734,115",0,0,"2,273,888,495",3.77
2017-06-12,001380,SG CHOONGBANG,Stock certificates,0,0,0,"28,833",0.00,0,0,0,"111,864,615",0.00
2017-06-12,002360,SH ENERCHEM,Stock certificates,"1,109",0,0,"471,363",0.24,"1,647,580",0,0,"700,387,735",0.24
2017-06-12,009160,SIMPAC,Stock certificates,17,0,0,"76,067",0.02,"80,325",0,0,"360,018,550",0.02
2017-06-12,123700,SJM,Stock certificates,38,0,0,"46,813",0.08,"237,840",0,0,"293,311,840",0.08
