Date,Issue code,Issue name,Securities type,Quantity short-selling volume total,Quantity short-selling volume with uptick rule,Quantity short-selling volume without uptick rule,Quantity trading volume,Quantity proportion,Amount short-selling volume total,Amount short-selling volume with uptick rule,Amount short-selling volume without uptick rule,Amount trading volume,Amount proportion
2018-12-17,095570,AJ Networks,Stock certificates,71,0,0,"123,010",0.06,"311,370",0,0,"540,875,000",0.06
2018-12-17,068400,AJ RENT A CAR,Stock certificates,0,0,0,"184,546",0.00,0,0,0,"2,236,768,300",0.00
2018-12-17,006840,AK Holdings,Stock certificates,972,0,0,"18,395",5.28,"54,628,800",0,0,"1,036,668,900",5.27
2018-12-17,027410,BGF,Stock certificates,"9,328",0,0,"146,124",6.38,"78,501,600",0,0,"1,230,713,480",6.38
2018-12-17,282330,BGF Retail,Stock certificates,"7,525",0,0,"43,730",17.21,"1,573,356,000",0,0,"9,156,259,500",17.18
2018-12-17,138930,BNK Financial Group,Stock certificates,"7,041",0,0,"846,726",0.83,"53,254,390",0,0,"6,428,626,910",0.83
2018-12-17,001460,BYC,Stock certificates,0,0,0,47,0.00,0,0,0,"11,508,500",0.00
2018-12-17,001465,BYC(1P),Stock certificates,0,0,0,62,0.00,0,0,0,"6,782,000",0.00
2018-12-17,001040,CJ,Stock certificates,"1,664",0,0,"39,060",4.26,"216,157,000",0,0,"5,081,459,000",4.25
2018-12-17,079160,CJ CGV,Stock certificates,"15,421",0,0,"88,070",17.51,"644,547,350",0,0,"3,696,608,650",17.44
2018-12-17,000120,CJ LOGISTICS,Stock certificates,"1,171",0,0,"32,714",3.58,"195,902,000",0,0,"5,464,272,000",3.59
2018-12-17,011150,CJSEAFOOD,Stock certificates,2,0,0,"51,057",0.00,"4,790",0,0,"122,884,625",0.00
2018-12-17,011155,CJSEAFOOD(1P),Stock certificates,0,0,0,"1,543",0.00,0,0,0,"42,336,600",0.00
2018-12-17,001045,CJ(1P),Stock certificates,0,0,0,"1,617",0.00,0,0,0,"91,052,400",0.00
2018-12-17,097950,CJ CheilJedang,Stock certificates,"1,054",0,0,"29,854",3.53,"368,908,500",0,0,"10,407,680,500",3.54
2018-12-17,097955,CJ CheilJedang(1P),Stock certificates,10,0,0,"1,358",0.74,"1,281,000",0,0,"173,958,500",0.74
