Date,Issue code,Issue name,Securities type,Quantity short-selling volume total,Quantity short-selling volume with uptick rule,Quantity short-selling volume without uptick rule,Quantity trading volume,Quantity proportion,Amount short-selling volume total,Amount short-selling volume with uptick rule,Amount short-selling volume without uptick rule,Amount trading volume,Amount proportion
2017-10-18,095570,AJ Networks,Stock certificates,0,0,0,"113,789",0.00,0,0,0,"830,542,340",0.00
2017-10-18,068400,AJ RENT A CAR,Stock certificates,"1,296",0,0,"295,655",0.44,"16,297,950",0,0,"3,708,047,250",0.44
2017-10-18,006840,AK Holdings,Stock certificates,"1,239",0,0,"27,055",4.58,"79,157,000",0,0,"1,723,034,800",4.59
2017-10-18,027410,BGF Retail,Stock certificates,"19,210",0,0,"109,550",17.54,"1,671,715,100",0,0,"9,522,998,200",17.55
2017-10-18,138930,BNK Financial Group,Stock certificates,"44,923",0,0,"817,095",5.50,"447,438,390",0,0,"8,105,008,120",5.52
2017-10-18,001460,BYC,Stock certificates,0,0,0,191,0.00,0,0,0,"61,161,500",0.00
2017-10-18,001465,BYC(1P),Stock certificates,0,0,0,3,0.00,0,0,0,"519,000",0.00
2017-10-18,001040,CJ,Stock certificates,"4,404",0,0,"63,490",6.94,"791,821,000",0,0,"11,417,075,500",6.94
2017-10-18,079160,CJ CGV,Stock certificates,"12,331",0,0,"296,665",4.16,"860,254,100",0,0,"20,677,960,400",4.16
2017-10-18,000120,CJ LOGISTICS,Stock certificates,"4,682",0,0,"19,948",23.47,"759,332,000",0,0,"3,234,143,000",23.48
2017-10-18,011150,CJSEAFOOD,Stock certificates,637,0,0,"74,035",0.86,"1,792,355",0,0,"208,081,200",0.86
2017-10-18,011155,CJSEAFOOD(1P),Stock certificates,0,0,0,"3,076",0.00,0,0,0,"78,599,900",0.00
2017-10-18,001045,CJ(1P),Stock certificates,0,0,0,"8,608",0.00,0,0,0,"657,320,300",0.00
2017-10-18,097950,CJ CheilJedang,Stock certificates,"1,790",0,0,"26,782",6.68,"668,118,000",0,0,"9,995,666,500",6.68
2017-10-18,097955,CJ CheilJedang(1P),Stock certificates,0,0,0,"3,093",0.00,0,0,0,"486,488,500",0.00
2017-10-18,037560,CJ HelloVision,Stock certificates,0,0,0,"70,539",0.00,0,0,0,"511,105,470",0.00
2017-10-18,000590,CSHOLDINGS,Stock certificates,0,0,0,892,0.00,0,0,0,"71,570,600",0.00
2017-10-18,139130,DGB Financial Group,Stock certificates,486,0,0,"328,323",0.15,"4,988,200",0,0,"3,352,693,450",0.15
2017-10-18,004840,DRB Holding,Stock certificates,67,0,0,"4,183",1.60,"519,470",0,0,"32,379,940",1.60
2017-10-18,155660,DSR,Stock certificates,"1,756",0,0,"1,927,435",0.09,"9,923,480",0,0,"10,951,547,740",0.09
2017-10-18,069730,DSRWIRE,Stock certificates,"9,994",0,0,"3,397,579",0.29,"53,532,630",0,0,"17,728,454,390",0.30
2017-10-18,017940,E1,Stock certificates,3,0,0,"4,339",0.07,"165,600",0,0,"239,296,200",0.07
2017-10-18,007700,F&F,Stock certificates,344,0,0,"56,770",0.61,"13,883,500",0,0,"2,296,935,500",0.60
2017-10-18,114090,GKL,Stock certificates,"15,917",0,0,"593,893",2.68,"411,540,300",0,0,"15,314,282,200",2.69
2017-10-18,078930,GS,Stock certificates,"12,123",0,0,"135,595",8.94,"803,938,000",0,0,"8,976,460,400",8.96
2017-10-18,006360,GS E&C,Stock certificates,"54,407",0,0,"282,674",19.25,"1,440,581,850",0,0,"7,484,468,350",19.25
2017-10-18,001250,GS Global,Stock certificates,"2,166",0,0,"430,493",0.50,"6,431,975",0,0,"1,278,188,990",0.50
