Date,종목명,종목코드,체결(주수),상환(주수),잔고 주수,잔고 금액
2017-12-21,가비아,079940,-,-,220023,1283
2017-12-21,가온미디어,078890,-,872,1069860,12196
2017-12-21,감마누,192410,15100,28000,459523,3001
2017-12-21,갑을메탈,024840,-,-,706655,1622
2017-12-21,강스템바이오텍,217730,3920,77327,515767,5519
2017-12-21,갤럭시아컴즈,094480,6000,2000,75381,452
2017-12-21,게임빌,063080,67726,62880,624466,49145
2017-12-21,경남스틸,039240,498,498,18765,186
2017-12-21,경남제약,053950,3162,-,314794,3132
2017-12-21,경동제약,011040,-,-,86671,1941
2017-12-21,경창산업,024910,-,-,516220,1773
2017-12-21,고려시멘트,198440,-,-,55980,97
2017-12-21,고려신용정보,049720,-,-,171266,545
2017-12-21,고려제약,014570,-,-,126591,827
2017-12-21,고영,098460,6706,8289,152776,12879
2017-12-21,골드퍼시픽,038530,-,-,41419,162
2017-12-21,골든센츄리,900280,-,-,46160,152
2017-12-21,골프존,215000,4493,154,38871,1788
2017-12-21,골프존뉴딘홀딩스,121440,675,3506,1230664,6399
2017-12-21,광림,014200,13155,52696,1914552,6873
2017-12-21,광진실업,026910,-,-,107830,356
2017-12-21,광진윈텍,090150,-,-,83520,217
2017-12-21,구영테크,053270,-,-,48896,103
2017-12-21,국보디자인,066620,-,3400,76036,1437
2017-12-21,국순당,043650,1400,12508,640111,3572
2017-12-21,국영지앤엠,006050,-,-,757648,894
2017-12-21,국일신동,060480,-,-,25830,73
2017-12-21,국일제지,078130,-,48050,2409736,2357
2017-12-21,국제엘렉트릭,053740,-,-,-,-
2017-12-21,그랜드백화점,019010,-,-,25745,315
2017-12-21,글로벌에스엠,900070,-,-,266548,311
2017-12-21,글로벌텍스프리,204620,-,-,599800,963
2017-12-21,글로본,019660,-,-,281746,771
2017-12-21,글로웍스,034600,-,-,-,-
2017-12-21,금강철강,053260,-,-,73146,274
2017-12-21,금화피에스시,036190,-,-,35668,1498
2017-12-21,기가레인,049080,-,-,1017314,2818
2017-12-21,기산텔레콤,035460,-,-,193978,549
2017-12-21,나노,187790,-,-,1248334,1305
2017-12-21,나노스,151910,28670,16125,250953,610
2017-12-21,나노신소재,121600,-,888,322575,5064
2017-12-21,나노엔텍,039860,-,-,817566,4488
2017-12-21,나노캠텍,091970,-,-,25082,119
2017-12-21,나노트로닉스,010670,-,-,-,-
2017-12-21,나라엠앤디,051490,-,-,48184,216
2017-12-21,나무가,190510,-,-,132805,2424
2017-12-21,나스미디어,089600,120,-,82041,5858
2017-12-21,나이벡,138610,-,-,128200,1247
2017-12-21,나이스디앤비,130580,-,4697,72770,582
2017-12-21,나이스정보통신,036800,-,244,85393,1926
2017-12-21,남화토건,091590,938,938,144867,827
2017-12-21,내츄럴엔도텍,168330,65587,113366,1476837,31457
2017-12-21,네오디안테크놀로지,072770,-,-,307573,401
2017-12-21,네오오토,212560,-,-,3431,19
2017-12-21,네오위즈,095660,25864,36961,380379,4431
2017-12-21,네오위즈홀딩스,042420,-,-,24260,314
2017-12-21,네오티스,085910,-,-,255393,1181
2017-12-21,네오팜,092730,-,1858,111630,4415
2017-12-21,네오퍼플,028090,-,-,-,-
2017-12-21,네이블,153460,-,-,54510,289
2017-12-21,네이처셀,007390,139875,29950,1601285,30184
2017-12-21,네패스,033640,5563,15707,2166559,19499
2017-12-21,네패스신소재,087730,-,-,12249,134
2017-12-21,넥스지,081970,2000,-,32945,412
2017-12-21,넥스콘테크,038990,-,-,-,-
2017-12-21,넥스턴,089140,-,-,366909,4880
2017-12-21,넥스트BT,065170,-,-,884850,1420
2017-12-21,넥스트리밍,139670,-,-,59800,198
2017-12-21,넥스트아이,137940,-,7580,337328,1125
2017-12-21,넥스트칩,092600,-,-,152866,957
2017-12-21,넥슨지티,041140,2424,41969,1436127,18023
2017-12-21,넵튠,217270,-,30,271942,4378
2017-12-21,넷게임즈,225570,-,-,283405,608
2017-12-21,녹십자랩셀,144510,493,-,195436,8834
2017-12-21,녹십자셀,031390,3551,3416,148694,6171
2017-12-21,녹십자엠에스,142280,-,18300,76405,844
2017-12-21,녹원씨엔아이,065560,6,-,165534,1357
2017-12-21,농우바이오,054050,240,1482,394576,6333
2017-12-21,누리텔레콤,040160,-,-,340370,3376
2017-12-21,누리플랜,069140,-,132,48623,221
2017-12-21,뉴로스,126870,-,-,214236,1032
2017-12-21,뉴보텍,060260,-,6000,843487,1514
2017-12-21,뉴인텍,012340,-,-,1057603,1079
2017-12-21,뉴트리바이오텍,222040,40595,24783,1246739,24311
2017-12-21,뉴파워프라즈마,144960,200,-,48389,1282
2017-12-21,뉴프라이드,900100,-,2788,2046214,9095
2017-12-21,뉴프렉스,085670,-,15000,432401,2024
2017-12-21,다나와,119860,2050,-,195695,2632
2017-12-21,다날,064260,13842,51763,2449987,14283
2017-12-21,다믈멀티미디어,093640,2724,2724,89879,377
2017-12-21,다산네트웍스,039560,2000,13000,1169847,7557
2017-12-21,다우데이타,032190,-,-,413011,4192
2017-12-21,다원시스,068240,53542,65061,2267153,36501
2017-12-21,대동스틸,048470,-,-,123540,527
2017-12-21,대륙제관,004780,-,4034,650477,4254
2017-12-21,대림제지,017650,-,-,123162,122
2017-12-21,대명코퍼레이션,007720,-,-,1484651,4380
2017-12-21,대봉엘에스,078140,-,-,185449,1780
2017-12-21,대성엘텍,025440,3000,3192,451666,741
2017-12-21,대성창투,027830,13000,700,385631,1201
2017-12-21,대성파인텍,104040,-,-,853131,1612
2017-12-21,대신정보통신,020180,16000,24642,822915,942
2017-12-21,대아티아이,045390,19000,-,1773832,3007
2017-12-21,대양전기공업,108380,-,-,39583,479
2017-12-21,대양제지,006580,-,-,21752,34
2017-12-21,대원미디어,048910,-,-,516440,4462
2017-12-21,대원산업,005710,-,-,417259,3476
2017-12-21,대유위니아,071460,-,-,148376,405
2017-12-21,대정화금,120240,-,-,113045,1345
2017-12-21,대주산업,003310,13178,-,374355,751
2017-12-21,대주전자재료,078600,-,33700,345756,4426
2017-12-21,대진디엠피,065690,-,-,284194,944
2017-12-21,대창솔루션,096350,-,-,110707,138
2017-12-21,대창스틸,140520,-,-,196902,723
2017-12-21,대한과학,131220,-,-,126694,632
2017-12-21,대한광통신,010170,1000,86002,2053144,11641
2017-12-21,대한뉴팜,054670,4,-,568408,7134
2017-12-21,대한약품,023910,1640,-,96898,3755
2017-12-21,대호피앤씨,021040,-,-,227873,208
2017-12-21,대호피앤씨우,021045,-,-,1500,2
2017-12-21,대화제약,067080,2356,3774,664475,14419
2017-12-21,더블유게임즈,192080,15438,33924,532435,26356
2017-12-21,더블유에프엠,035290,135,1640,293957,1411
2017-12-21,덕산네오룩스,213420,22926,147865,313898,7345
2017-12-21,덕산하이메탈,077360,10159,20454,365671,2988
2017-12-21,덕신하우징,090410,-,-,349159,538
2017-12-21,덕우전자,263600,-,-,10322,177
2017-12-21,데브시스터즈,194480,-,1800,110795,1512
2017-12-21,데이타솔루션,263800,-,-,34192,137
2017-12-21,데일리블록체인,139050,-,-,488402,957
2017-12-21,데코앤이,017680,-,-,1286002,680
2017-12-21,덱스터,206560,3000,40228,492308,4426
2017-12-21,도이치모터스,067990,-,178200,487112,2645
2017-12-21,동국S&C,100130,7522,13071,2390328,13912
2017-12-21,동국산업,005160,-,50568,840104,3415
2017-12-21,동국알앤에스,075970,-,-,89198,211
2017-12-21,동국제약,086450,165,2644,56703,3351
2017-12-21,동방선기,099410,-,-,191938,364
2017-12-21,동성하이켐,013450,-,-,-,-
2017-12-21,동성화인텍,033500,-,31086,953251,4576
2017-12-21,동신건설,025950,-,-,28709,192
2017-12-21,동아엘텍,088130,-,-,562696,6752
2017-12-21,동아화성,041930,-,-,137008,654
2017-12-21,동양에스텍,060380,-,-,50137,155
2017-12-21,동양이엔피,079960,-,-,201063,2453
2017-12-21,동양파일,228340,-,-,169416,854
2017-12-21,동양피엔에프,104460,-,-,69484,253
2017-12-21,동우팜투테이블,088910,1400,-,353864,1408
2017-12-21,동운아나텍,094170,-,-,41273,683
2017-12-21,동원개발,013120,11000,-,394317,1932
2017-12-21,동일금속,109860,-,-,21916,162
2017-12-21,동일기연,032960,-,-,9009,127
2017-12-21,동일철강,023790,-,-,1300,5
2017-12-21,동진쎄미켐,005290,46020,143868,853602,16901
2017-12-21,동화기업,025900,75,13480,116832,3628
2017-12-21,두올산업,078590,-,-,164971,332
2017-12-21,듀오백,073190,-,-,104955,212
2017-12-21,드래곤플라이,030350,-,-,241286,1038
2017-12-21,드림시큐리티,203650,-,-,301728,1150
2017-12-21,디딤,217620,-,-,96500,202
