Date,종목명,종목코드,체결(주수),상환(주수),잔고 주수,잔고 금액
2017-06-28,가비아,079940,-,-,219023,1369
2017-06-28,가온미디어,078890,153368,151368,1092127,12396
2017-06-28,감마누,192410,-,-,22310,630
2017-06-28,갑을메탈,024840,-,-,718143,1971
2017-06-28,강스템바이오텍,217730,2000,-,372994,3991
2017-06-28,갤럭시아컴즈,094480,9344,9344,90182,461
2017-06-28,게임빌,063080,3500,27216,589386,35835
2017-06-28,경남스틸,039240,-,-,17165,179
2017-06-28,경남제약,053950,6000,-,361397,3094
2017-06-28,경동제약,011040,1740,14015,178496,3338
2017-06-28,경창산업,024910,-,-,638023,3273
2017-06-28,고려시멘트,198440,-,-,24000,56
2017-06-28,고려신용정보,049720,2000,-,62900,189
2017-06-28,고려제약,014570,-,-,123714,925
2017-06-28,고영,098460,96,656,329186,19685
2017-06-28,골드퍼시픽,038530,6808,-,73716,369
2017-06-28,골든센츄리,900280,-,700,244700,962
2017-06-28,골프존,215000,-,4000,42849,2528
2017-06-28,골프존뉴딘홀딩스,121440,-,5987,1946668,10609
2017-06-28,광림,014200,10960,2687,1537326,9793
2017-06-28,광진실업,026910,-,-,112522,569
2017-06-28,광진윈텍,090150,-,-,73480,251
2017-06-28,구영테크,053270,-,-,47396,101
2017-06-28,국보디자인,066620,4000,-,273365,4511
2017-06-28,국순당,043650,-,-,948478,6829
2017-06-28,국영지앤엠,006050,-,-,888411,1275
2017-06-28,국일신동,060480,-,-,97072,339
2017-06-28,국일제지,078130,-,-,1136662,449
2017-06-28,국제엘렉트릭,053740,-,-,-,-
2017-06-28,그랜드백화점,019010,-,-,23477,331
2017-06-28,글로벌에스엠,900070,-,-,140024,201
2017-06-28,글로본,019660,-,-,260406,1010
2017-06-28,글로웍스,034600,-,-,-,-
2017-06-28,금강철강,053260,2000,-,73446,281
2017-06-28,금화피에스시,036190,-,6000,76120,2759
2017-06-28,기가레인,049080,-,-,555260,3792
2017-06-28,기산텔레콤,035460,632,-,241944,922
2017-06-28,나노,187790,108,-,990123,1327
2017-06-28,나노스,151910,-,-,86490,147
2017-06-28,나노신소재,121600,-,32998,282350,3741
2017-06-28,나노엔텍,039860,2000,-,429467,2051
2017-06-28,나노캠텍,091970,-,-,76666,422
2017-06-28,나노트로닉스,010670,-,-,-,-
2017-06-28,나라엠앤디,051490,-,-,38184,156
2017-06-28,나무가,190510,4000,2734,87412,3597
2017-06-28,나스미디어,089600,124,140,171614,8495
2017-06-28,나이벡,138610,-,-,70080,650
2017-06-28,나이스디앤비,130580,2000,-,120458,802
2017-06-28,나이스정보통신,036800,-,-,102892,2696
2017-06-28,남화토건,091590,-,-,155030,1015
2017-06-28,내츄럴엔도텍,168330,96758,82577,1835739,23039
2017-06-28,네오디안테크놀로지,072770,2000,-,282581,372
2017-06-28,네오오토,212560,-,-,25907,231
2017-06-28,네오위즈,095660,105,76725,899059,12407
2017-06-28,네오위즈홀딩스,042420,-,-,263478,4202
2017-06-28,네오티스,085910,8000,-,268487,1407
2017-06-28,네오팜,092730,-,9676,163260,5339
2017-06-28,네오퍼플,028090,-,-,-,-
2017-06-28,네이블,153460,-,-,87710,561
2017-06-28,네이처셀,007390,4140,1000,1388777,6937
2017-06-28,네패스,033640,-,-,1521845,17273
2017-06-28,네패스신소재,087730,-,-,783,9
2017-06-28,넥스지,081970,-,-,5982,72
2017-06-28,넥스콘테크,038990,-,-,-,-
2017-06-28,넥스턴,089140,1954,429,372274,7315
2017-06-28,넥스트BT,065170,2240,-,1037567,1826
2017-06-28,넥스트리밍,139670,2000,-,35800,167
2017-06-28,넥스트아이,137940,-,6000,24858,423
2017-06-28,넥스트칩,092600,-,-,62479,634
2017-06-28,넥슨지티,041140,6600,26616,1131847,8353
2017-06-28,넵튠,217270,-,-,104305,861
2017-06-28,녹십자랩셀,144510,-,46,142326,3757
2017-06-28,녹십자셀,031390,-,420,80192,2614
2017-06-28,녹십자엠에스,142280,-,-,52913,606
2017-06-28,녹원씨엔아이,065560,-,-,178381,1536
2017-06-28,농우바이오,054050,-,8350,435742,7081
2017-06-28,누리텔레콤,040160,-,14000,399546,3476
2017-06-28,누리플랜,069140,-,-,41740,288
2017-06-28,뉴로스,126870,-,-,231230,1087
2017-06-28,뉴보텍,060260,103139,74000,889495,2580
2017-06-28,뉴인텍,012340,-,-,922456,1033
2017-06-28,뉴트리바이오텍,222040,8000,8504,1483988,29383
2017-06-28,뉴파워프라즈마,144960,2628,-,57681,1681
2017-06-28,뉴프라이드,900100,7432,-,2245724,4997
2017-06-28,뉴프렉스,085670,-,10000,199171,875
2017-06-28,다나와,119860,8776,-,222266,2154
2017-06-28,다날,064260,70500,70500,2248828,12616
2017-06-28,다믈멀티미디어,093640,-,300,152351,584
2017-06-28,다산네트웍스,039560,-,-,1333637,7788
2017-06-28,다우데이타,032190,2584,63306,472775,5579
2017-06-28,다원시스,068240,-,27769,2470385,41750
2017-06-28,대동스틸,048470,-,-,91786,501
2017-06-28,대륙제관,004780,-,30000,600559,4276
2017-06-28,대림제지,017650,-,-,12228,18
2017-06-28,대명코퍼레이션,007720,21658,12180,1563925,4113
2017-06-28,대봉엘에스,078140,-,-,212639,2552
2017-06-28,대성엘텍,025440,10728,-,265304,367
2017-06-28,대성창투,027830,-,20862,492569,1185
2017-06-28,대성파인텍,104040,15214,-,834341,1777
2017-06-28,대신정보통신,020180,-,-,779881,1037
2017-06-28,대아티아이,045390,50000,122000,3537847,6881
2017-06-28,대양전기공업,108380,-,-,139281,1866
2017-06-28,대양제지,006580,-,-,10000,19
2017-06-28,대원미디어,048910,-,-,539561,3772
2017-06-28,대원산업,005710,-,-,405747,2856
2017-06-28,대유위니아,071460,2000,-,120456,632
2017-06-28,대정화금,120240,300,300,124301,1603
2017-06-28,대주산업,003310,-,-,543726,1052
2017-06-28,대주전자재료,078600,8000,-,66063,446
2017-06-28,대진디엠피,065690,23801,21801,219069,862
2017-06-28,대창솔루션,096350,-,200,303308,692
2017-06-28,대창스틸,140520,-,-,77408,366
2017-06-28,대한과학,131220,-,-,200475,1269
2017-06-28,대한광통신,010170,20000,-,789294,2368
2017-06-28,대한뉴팜,054670,-,3467,518558,7493
2017-06-28,대한약품,023910,-,5000,151297,5121
2017-06-28,대호피앤씨,021040,2000,-,238873,252
2017-06-28,대호피앤씨우,021045,-,-,1500,3
2017-06-28,대화제약,067080,6000,38938,948570,21770
2017-06-28,더블유게임즈,192080,820,1065,266206,16372
2017-06-28,더블유에프엠,035290,14000,-,118954,490
2017-06-28,덕산네오룩스,213420,185,38958,778999,22669
2017-06-28,덕산하이메탈,077360,2016,63000,733354,6725
