Date,종목명,종목코드,체결(주수),상환(주수),잔고 주수,잔고 금액
2017-06-26,가온전선,000500,-,-,105162,2703
2017-06-26,강남제비스코,000860,-,-,70776,2732
2017-06-26,강원랜드,035250,82519,10213,4680640,163822
2017-06-26,갤럭시아에스엠,011420,-,-,179797,499
2017-06-26,경남기업,000800,-,-,-,-
2017-06-26,경남에너지,008020,-,-,-,-
2017-06-26,경남은행,192520,-,-,-,-
2017-06-26,경농,002100,-,494,137352,821
2017-06-26,경동나비엔,009450,162,1354,299869,12535
2017-06-26,경동도시가스,267290,-,-,24199,1212
2017-06-26,경동인베스트,012320,-,200,89451,4982
2017-06-26,경방,000050,941,1310,722625,11273
2017-06-26,경보제약,214390,92,1244,300834,4046
2017-06-26,경인양행,012610,40000,40000,1399660,6235
2017-06-26,경인전자,009140,-,-,63,1
2017-06-26,계룡건설,013580,500,1628,146196,2675
2017-06-26,계양전기,012200,-,-,930571,5025
2017-06-26,고려개발,004200,-,-,233121,1555
2017-06-26,고려산업,002140,-,-,460175,1532
2017-06-26,고려아연,010130,6955,3310,380552,167443
2017-06-26,고려제강,002240,4243,1120,104510,3956
2017-06-26,골든브릿지증권,001290,14000,14000,343205,414
2017-06-26,광동제약,009290,40963,6022,543916,4797
2017-06-26,광명전기,017040,-,1668,2180585,6073
2017-06-26,광전자,017900,-,-,968259,2324
2017-06-26,광주신세계,037710,-,-,17698,4522
2017-06-26,광주은행,192530,987,7752,445538,5636
2017-06-26,교보증권,030610,-,2773,305536,3346
2017-06-26,국도화학,007690,-,832,202904,10632
2017-06-26,국동,005320,-,6378,174874,860
2017-06-26,국보,001140,400,-,3292,40
2017-06-26,국제약품,002720,-,-,128628,556
2017-06-26,그린케미칼,083420,-,-,91898,406
2017-06-26,극동유화,014530,-,-,250553,908
2017-06-26,금강공업,014280,-,80,57798,2289
2017-06-26,금비,008870,-,-,630,55
2017-06-26,금양,001570,-,1140,479408,1098
2017-06-26,금호산업,002990,-,5777,991961,9969
2017-06-26,금호산업우,002995,-,-,60,1
2017-06-26,금호석유,011780,37911,19046,3880841,284078
2017-06-26,금호석유우,011785,-,-,65412,1917
2017-06-26,금호에이치티,214330,-,-,73066,495
2017-06-26,금호전기,001210,-,1712,154213,1689
2017-06-26,금호타이어,073240,238189,13070,20647268,152996
2017-06-26,기신정기,092440,-,-,668788,3220
2017-06-26,기아차,000270,242493,165272,15191052,587134
2017-06-26,기업은행,024110,551473,90462,16612430,227590
2017-06-26,까뮤이앤씨,013700,-,-,-,-
2017-06-26,깨끗한나라,004540,-,2908,491425,2664
2017-06-26,나노메딕스,074610,-,-,199242,975
2017-06-26,남광토건,001260,-,-,66556,494
2017-06-26,남선알미늄,008350,-,17445,3335274,4453
2017-06-26,남성,004270,-,-,16149,32
2017-06-26,남양유업,003920,183,405,17255,13355
2017-06-26,남영비비안,002070,-,-,186,2
2017-06-26,남해화학,025860,1473,5457,882072,9482
2017-06-26,넥센,005720,-,-,319485,2859
2017-06-26,넥센타이어,002350,3705,4685,530434,7081
2017-06-26,넥센타이어1우B,002355,-,-,5600,34
2017-06-26,넥솔론,110570,-,-,-,-
2017-06-26,넥스트사이언스,003580,-,-,1033,49
2017-06-26,넷마블,251270,179343,338789,4678726,713506
2017-06-26,노루페인트,090350,-,404,403734,3408
2017-06-26,노루홀딩스,000320,-,-,80224,1195
2017-06-26,녹십자,006280,3986,1551,344639,60656
2017-06-26,녹십자홀딩스,005250,3117,2633,1044713,33483
2017-06-26,녹십자홀딩스2우,005257,-,-,20000,538
2017-06-26,농심,004370,5360,1838,153568,53749
2017-06-26,농심홀딩스,072710,-,-,55954,6938
2017-06-26,다스코,058730,-,-,95426,710
2017-06-26,다우기술,023590,-,20000,1234208,26906
2017-06-26,대교,019680,1786,903,1716651,14111
2017-06-26,대교우B,019685,-,-,6744,35
2017-06-26,대구백화점,006370,-,-,68026,884
2017-06-26,대덕GDS,004130,6421,7926,913417,18177
2017-06-26,대덕전자,008060,2681,2069,1904612,20760
2017-06-26,대동공업,000490,-,5704,385502,2926
2017-06-26,대동전자,008110,-,-,294,1
2017-06-26,대림B&Co,005750,6000,7558,455216,3892
2017-06-26,대림산업,000210,6965,4528,1439980,123982
2017-06-26,대림산업우,000215,-,-,53998,1966
2017-06-26,대림씨엔에스,004440,-,-,24331,410
2017-06-26,대림통상,006570,-,-,11186,63
2017-06-26,대상,001680,1561,4464,1532229,40221
2017-06-26,대상우,001685,-,-,9458,129
2017-06-26,대상홀딩스,084690,-,-,416994,4691
2017-06-26,대성산업,128820,-,-,66933,266
2017-06-26,대성에너지,117580,-,-,329247,2124
2017-06-26,대성합동지주,005620,-,-,756,46
2017-06-26,대성홀딩스,016710,-,274,192797,1814
2017-06-26,대신증권,003540,10000,1519,907464,12886
2017-06-26,대신증권2우B,003547,-,-,5000,43
2017-06-26,대신증권우,003545,-,2560,141802,1312
2017-06-26,대양금속,009190,-,-,56406,248
2017-06-26,대영포장,014160,-,-,6146787,5993
2017-06-26,대우2791금호석유콜,522791,-,-,-,-
2017-06-26,대우건설,047040,1477963,53353,14364222,99257
2017-06-26,대우부품,009320,-,-,480258,792
2017-06-26,대우송도개발,004550,-,-,-,-
2017-06-26,대우조선해양,042660,-,-,1232433,55213
2017-06-26,대웅,003090,73200,1968,592021,7400
2017-06-26,대웅제약,069620,18164,11648,890988,77516
