Date,종목명,종목코드,체결(주수),상환(주수),잔고 주수,잔고 금액
2018-04-17,가온전선,000500,-,-,79950,1911
2018-04-17,강남제비스코,000860,-,-,43912,1412
2018-04-17,강원랜드,035250,92066,55097,7553870,204710
2018-04-17,갤럭시아에스엠,011420,-,-,207040,414
2018-04-17,경남기업,000800,-,-,-,-
2018-04-17,경남에너지,008020,-,-,-,-
2018-04-17,경남은행,192520,-,-,-,-
2018-04-17,경농,002100,-,-,158002,1090
2018-04-17,경동나비엔,009450,5024,2719,355083,21802
2018-04-17,경동도시가스,267290,-,-,7813,305
2018-04-17,경동인베스트,012320,-,-,13693,587
2018-04-17,경방,000050,254,894,633638,8966
2018-04-17,경보제약,214390,130,540,206424,3323
2018-04-17,경인양행,012610,-,99960,1216069,7394
2018-04-17,경인전자,009140,-,-,313,9
2018-04-17,계룡건설,013580,-,-,56691,981
2018-04-17,계양전기,012200,9586,9586,812211,3395
2018-04-17,고려개발,004200,-,-,229895,1356
2018-04-17,고려산업,002140,235,-,558119,1909
2018-04-17,고려아연,010130,5646,3616,412088,180289
2018-04-17,고려제강,002240,168,5151,144178,4131
2018-04-17,골든브릿지증권,001290,-,-,263604,791
2018-04-17,광동제약,009290,1094,20354,1030340,10190
2018-04-17,광명전기,017040,50200,4000,2429989,8724
2018-04-17,광전자,017900,-,-,963542,2963
2018-04-17,광주신세계,037710,-,-,11610,2746
2018-04-17,광주은행,192530,170,809,364741,4012
2018-04-17,교보증권,030610,-,-,90392,860
2018-04-17,국도화학,007690,1055,14000,141841,8482
2018-04-17,국동,005320,34226,2613,526641,2591
2018-04-17,국보,001140,-,-,19131,210
2018-04-17,국제약품,002720,9000,40,545089,4012
2018-04-17,그린케미칼,083420,-,-,125408,588
2018-04-17,극동유화,014530,-,-,243911,811
2018-04-17,금강공업,014280,-,-,48890,1362
2018-04-17,금강공업우,014285,-,-,600,19
2018-04-17,금비,008870,-,-,233,17
2018-04-17,금양,001570,-,-,496035,1143
2018-04-17,금호산업,002990,425,-,864087,9332
2018-04-17,금호산업우,002995,-,-,60,1
2018-04-17,금호석유,011780,6163,65436,2153628,206748
2018-04-17,금호석유우,011785,-,-,62784,2056
2018-04-17,금호에이치티,214330,-,-,97472,471
2018-04-17,금호전기,001210,-,-,107176,771
2018-04-17,금호타이어,073240,33530,1037128,18292695,114695
2018-04-17,기신정기,092440,-,-,365122,1612
2018-04-17,기아차,000270,15462,157989,11009239,346241
2018-04-17,기업은행,024110,179509,176357,18137204,284754
2018-04-17,까뮤이앤씨,013700,-,-,4250,60
2018-04-17,깨끗한나라,004540,-,-,458750,1879
2018-04-17,나노메딕스,074610,2000,-,711798,18827
2018-04-17,남광토건,001260,3713,-,67748,1250
2018-04-17,남선알미늄,008350,-,-,1581201,1716
2018-04-17,남성,004270,-,-,322185,625
2018-04-17,남양유업,003920,17,178,17114,11466
2018-04-17,남영비비안,002070,-,-,22651,162
2018-04-17,남해화학,025860,620,16039,1194591,16903
2018-04-17,넥센,005720,2494,-,243830,1704
2018-04-17,넥센우,005725,-,-,30000,136
2018-04-17,넥센타이어,002350,26409,33977,989542,12320
2018-04-17,넥센타이어1우B,002355,-,-,25600,129
2018-04-17,넥솔론,110570,-,-,-,-
2018-04-17,넥스트사이언스,003580,400,-,100214,753
2018-04-17,넷마블,251270,78487,49289,8261534,1107046
2018-04-17,노루페인트,090350,-,64,254048,1997
2018-04-17,노루홀딩스,000320,-,-,91895,1351
2018-04-17,녹십자,006280,1707,4064,160457,34338
2018-04-17,녹십자홀딩스,005250,1485,2064,776600,31918
2018-04-17,녹십자홀딩스2우,005257,-,-,20000,418
2018-04-17,농심,004370,1215,628,164511,51492
2018-04-17,농심홀딩스,072710,31,-,49686,5391
2018-04-17,다스코,058730,-,-,79327,534
2018-04-17,다우기술,023590,57851,40820,1200483,28031
2018-04-17,대교,019680,1246,14947,1396759,10839
2018-04-17,대교우B,019685,-,-,87944,437
2018-04-17,대구백화점,006370,-,-,55174,550
2018-04-17,대덕GDS,004130,26182,26545,941020,16468
2018-04-17,대덕전자,008060,3481,24135,1803410,14986
