Date,종목명,종목코드,체결(주수),상환(주수),잔고 주수,잔고 금액
2017-11-22,가온전선,000500,-,-,52288,1203
2017-11-22,강남제비스코,000860,-,-,46256,1661
2017-11-22,강원랜드,035250,476750,3044,5674513,211092
2017-11-22,갤럭시아에스엠,011420,-,-,119835,368
2017-11-22,경남기업,000800,-,-,-,-
2017-11-22,경남에너지,008020,-,-,-,-
2017-11-22,경남은행,192520,-,-,-,-
2017-11-22,경농,002100,-,-,171377,1042
2017-11-22,경동나비엔,009450,19610,4662,415518,20527
2017-11-22,경동도시가스,267290,-,82,19359,680
2017-11-22,경동인베스트,012320,-,-,17146,786
2017-11-22,경방,000050,1533,44,506634,7017
2017-11-22,경보제약,214390,-,130,229657,3077
2017-11-22,경인양행,012610,1000,1000,1368403,7294
2017-11-22,경인전자,009140,-,-,56,1
2017-11-22,계룡건설,013580,-,-,62679,1106
2017-11-22,계양전기,012200,-,-,838836,3867
2017-11-22,고려개발,004200,-,-,225264,1261
2017-11-22,고려산업,002140,-,-,637665,1744
2017-11-22,고려아연,010130,18201,13600,395348,196883
2017-11-22,고려제강,002240,756,20,115106,4011
2017-11-22,골든브릿지증권,001290,-,-,21382,30
2017-11-22,광동제약,009290,1852,114,510243,4465
2017-11-22,광명전기,017040,-,18332,1756095,4373
2017-11-22,광전자,017900,-,-,749333,2270
2017-11-22,광주신세계,037710,24,-,11736,2682
2017-11-22,광주은행,192530,776,71,251124,2976
2017-11-22,교보증권,030610,-,-,92145,895
2017-11-22,국도화학,007690,-,55,123886,7644
2017-11-22,국동,005320,-,-,208230,725
2017-11-22,국보,001140,-,-,18012,172
2017-11-22,국제약품,002720,16630,4872,202229,1027
2017-11-22,그린케미칼,083420,-,-,112526,529
2017-11-22,극동유화,014530,-,-,277427,900
2017-11-22,금강공업,014280,-,-,56336,1693
2017-11-22,금비,008870,-,-,48,4
2017-11-22,금양,001570,-,7588,480684,1139
2017-11-22,금호산업,002990,544,425,1030395,9284
2017-11-22,금호산업우,002995,-,-,60,1
2017-11-22,금호석유,011780,15373,29706,2249320,169149
2017-11-22,금호석유우,011785,-,-,65816,1869
2017-11-22,금호에이치티,214330,-,-,99068,530
2017-11-22,금호전기,001210,-,-,123284,967
2017-11-22,금호타이어,073240,39770,149031,23827609,153450
2017-11-22,기신정기,092440,-,-,410353,2105
2017-11-22,기아차,000270,60458,190703,12133738,402233
2017-11-22,기업은행,024110,11930,70395,18442108,291385
2017-11-22,까뮤이앤씨,013700,-,-,803,9
2017-11-22,깨끗한나라,004540,-,-,479760,2001
2017-11-22,나노메딕스,074610,19000,61826,162211,804
2017-11-22,남광토건,001260,-,-,67758,415
2017-11-22,남선알미늄,008350,-,-,2617595,2722
2017-11-22,남성,004270,-,-,355333,874
2017-11-22,남양유업,003920,116,685,11416,7843
2017-11-22,남영비비안,002070,-,-,188,1
2017-11-22,남해화학,025860,1432,74,683550,5892
2017-11-22,넥센,005720,768,-,283633,2295
2017-11-22,넥센우,005725,-,-,10000,54
2017-11-22,넥센타이어,002350,40499,2332,665377,7918
2017-11-22,넥센타이어1우B,002355,-,-,5600,33
2017-11-22,넥솔론,110570,-,-,-,-
2017-11-22,넥스트사이언스,003580,-,-,20119,77
2017-11-22,넷마블,251270,1398,64359,2614811,483740
2017-11-22,노루페인트,090350,-,-,246843,2177
2017-11-22,노루홀딩스,000320,-,-,96938,1692
2017-11-22,녹십자,006280,584,20,147638,34104
2017-11-22,녹십자홀딩스,005250,1652,92,397206,15650
2017-11-22,녹십자홀딩스2우,005257,-,-,20000,543
2017-11-22,농심,004370,5686,2085,75438,27384
2017-11-22,농심홀딩스,072710,5012,157,68755,8010
2017-11-22,다스코,058730,-,-,96496,688
2017-11-22,다우기술,023590,680,168,701334,14412
