Date,종목명,종목코드,체결(주수),상환(주수),잔고 주수,잔고 금액
2017-10-25,가온전선,000500,-,-,52288,1250
2017-10-25,강남제비스코,000860,-,-,46979,1722
2017-10-25,강원랜드,035250,122821,60770,5749499,194333
2017-10-25,갤럭시아에스엠,011420,-,-,113269,406
2017-10-25,경남기업,000800,-,-,-,-
2017-10-25,경남에너지,008020,-,-,-,-
2017-10-25,경남은행,192520,-,-,-,-
2017-10-25,경농,002100,-,-,171377,1042
2017-10-25,경동나비엔,009450,-,-,396428,15699
2017-10-25,경동도시가스,267290,-,-,12898,446
2017-10-25,경동인베스트,012320,-,-,22694,1043
2017-10-25,경방,000050,4845,800,567889,7979
2017-10-25,경보제약,214390,2250,215,244478,2995
2017-10-25,경인양행,012610,-,-,1268148,5878
2017-10-25,경인전자,009140,-,-,56,1
2017-10-25,계룡건설,013580,-,-,62679,1125
2017-10-25,계양전기,012200,-,-,890578,4008
2017-10-25,고려개발,004200,-,-,225264,1228
2017-10-25,고려산업,002140,2000,4034,658479,1959
2017-10-25,고려아연,010130,4390,3091,364678,190362
2017-10-25,고려제강,002240,2691,-,95630,3390
2017-10-25,골든브릿지증권,001290,-,-,21382,30
2017-10-25,광동제약,009290,13456,-,508539,4129
2017-10-25,광명전기,017040,-,-,1841187,4695
2017-10-25,광전자,017900,-,-,796373,2142
2017-10-25,광주신세계,037710,-,-,12105,2863
2017-10-25,광주은행,192530,-,54,249584,3045
2017-10-25,교보증권,030610,-,-,107737,1009
2017-10-25,국도화학,007690,-,269,113120,6595
2017-10-25,국동,005320,-,-,208230,752
2017-10-25,국보,001140,-,-,18012,178
2017-10-25,국제약품,002720,-,428,194821,816
2017-10-25,그린케미칼,083420,-,-,102526,470
2017-10-25,극동유화,014530,-,-,247427,788
2017-10-25,금강공업,014280,-,-,63396,1877
2017-10-25,금비,008870,-,-,48,4
2017-10-25,금양,001570,-,-,537072,1259
2017-10-25,금호산업,002990,-,13700,1257832,11723
2017-10-25,금호산업우,002995,-,-,60,1
2017-10-25,금호석유,011780,11852,43596,2557120,175163
2017-10-25,금호석유우,011785,-,-,65716,1771
2017-10-25,금호에이치티,214330,-,-,99068,502
2017-10-25,금호전기,001210,400,-,156290,1275
2017-10-25,금호타이어,073240,156673,31394,27756692,178198
2017-10-25,기신정기,092440,-,-,453863,2149
2017-10-25,기아차,000270,121991,134179,12170686,404675
2017-10-25,기업은행,024110,257835,93688,19618538,294278
2017-10-25,까뮤이앤씨,013700,-,-,803,8
2017-10-25,깨끗한나라,004540,-,-,577298,2439
2017-10-25,나노메딕스,074610,-,-,142831,503
2017-10-25,남광토건,001260,-,-,67758,433
2017-10-25,남선알미늄,008350,-,-,2875787,3163
2017-10-25,남성,004270,-,-,335897,744
2017-10-25,남양유업,003920,245,364,14763,9640
2017-10-25,남영비비안,002070,-,-,188,1
2017-10-25,남해화학,025860,8496,-,746104,6655
2017-10-25,넥센,005720,-,28,216347,1729
2017-10-25,넥센우,005725,-,-,10000,53
2017-10-25,넥센타이어,002350,21054,10720,342383,4434
2017-10-25,넥센타이어1우B,002355,-,-,5600,34
2017-10-25,넥솔론,110570,-,-,-,-
2017-10-25,넥스트사이언스,003580,-,-,20127,85
2017-10-25,넷마블,251270,145420,272787,2654801,464590
2017-10-25,노루페인트,090350,-,-,353518,3122
2017-10-25,노루홀딩스,000320,-,-,90601,1549
2017-10-25,녹십자,006280,2425,2039,132513,28026
2017-10-25,녹십자홀딩스,005250,11873,676,574451,22289
2017-10-25,녹십자홀딩스2우,005257,-,-,20000,490
2017-10-25,농심,004370,1383,1313,93942,32175
2017-10-25,농심홀딩스,072710,-,94,50970,5760
2017-10-25,다스코,058730,-,-,96496,630
2017-10-25,다우기술,023590,10000,255,778964,14099
2017-10-25,대교,019680,8661,6372,919478,7448
2017-10-25,대교우B,019685,-,-,77639,395
2017-10-25,대구백화점,006370,-,-,48938,607
2017-10-25,대덕GDS,004130,-,-,892560,15977
2017-10-25,대덕전자,008060,16696,2034,1955537,20240
2017-10-25,대동공업,000490,-,-,264055,2020
2017-10-25,대동전자,008110,-,-,305,1
2017-10-25,대림B&Co,005750,-,-,433713,3014
2017-10-25,대림산업,000210,12379,33898,1198112,101959
2017-10-25,대림산업우,000215,-,-,62408,2041
2017-10-25,대림씨엔에스,004440,-,-,27998,385
2017-10-25,대림통상,006570,-,-,31288,166
2017-10-25,대상,001680,8300,25871,981886,22829
2017-10-25,대상우,001685,-,-,17458,217
2017-10-25,대상홀딩스,084690,-,230,297753,2867
2017-10-25,대성산업,128820,-,-,382079,1291
2017-10-25,대성에너지,117580,-,-,378569,2332
2017-10-25,대성합동지주,005620,-,-,-,-
2017-10-25,대성홀딩스,016710,-,394,184131,1556
2017-10-25,대신증권,003540,-,-,1278790,17455
