Date,종목명,종목코드,체결(주수),상환(주수),잔고 주수,잔고 금액
2017-03-03,가온전선,000500,-,28,106591,2436
2017-03-03,강남제비스코,000860,-,-,60792,2179
2017-03-03,강원랜드,035250,76996,775986,3595315,123499
2017-03-03,갤럭시아에스엠,011420,-,-,225877,485
2017-03-03,경남기업,000800,-,-,-,-
2017-03-03,경남에너지,008020,-,-,-,-
2017-03-03,경남은행,192520,-,-,-,-
2017-03-03,경농,002100,-,-,61448,343
2017-03-03,경동나비엔,009450,341,384,360526,14493
2017-03-03,경동인베스트,012320,-,18,33140,2419
2017-03-03,경방,000050,657,-,890062,12461
2017-03-03,경보제약,214390,2580,11664,311780,3913
2017-03-03,경인양행,012610,-,85386,1294353,5605
2017-03-03,경인전자,009140,-,-,55,1
2017-03-03,계룡건설,013580,1000,1000,148294,2499
2017-03-03,계양전기,012200,20000,-,1029544,5539
2017-03-03,고려개발,004200,-,-,211910,1166
2017-03-03,고려산업,002140,4000,-,405377,2136
2017-03-03,고려아연,010130,8475,7960,486088,204157
2017-03-03,고려제강,002240,213,13,137509,5603
2017-03-03,골든브릿지증권,001290,-,-,277203,271
2017-03-03,광동제약,009290,1745,9157,1010671,9025
2017-03-03,광명전기,017040,-,-,1855448,4935
2017-03-03,광전자,017900,-,-,1067729,2280
2017-03-03,광주신세계,037710,39,39,19186,4701
2017-03-03,광주은행,192530,-,80,733955,7817
2017-03-03,교보증권,030610,-,-,493076,4487
2017-03-03,국도화학,007690,248,2933,279156,14153
2017-03-03,국동,005320,-,-,94285,763
2017-03-03,국보,001140,-,-,728,15
2017-03-03,국제약품,002720,-,-,118090,478
2017-03-03,그린케미칼,083420,-,-,91905,393
2017-03-03,극동유화,014530,-,-,193723,743
2017-03-03,금강공업,014280,-,-,58477,2286
2017-03-03,금비,008870,-,-,676,65
2017-03-03,금양,001570,-,-,399088,986
2017-03-03,금호산업,002990,10516,6516,1065728,9645
2017-03-03,금호산업우,002995,-,-,60,1
2017-03-03,금호석유,011780,50537,33611,4194003,313711
2017-03-03,금호석유우,011785,-,-,69440,1889
2017-03-03,금호에이치티,214330,-,-,65096,403
2017-03-03,금호전기,001210,1660,1660,157514,1607
2017-03-03,금호타이어,073240,69288,108018,17992279,146097
2017-03-03,기신정기,092440,-,209,850236,4013
2017-03-03,기아차,000270,401772,22198,10207567,372576
2017-03-03,기업은행,024110,201538,285448,10551052,130305
2017-03-03,까뮤이앤씨,013700,-,-,1037,11
2017-03-03,깨끗한나라,004540,-,60,481081,2675
2017-03-03,나노메딕스,074610,-,2000,241797,647
2017-03-03,남광토건,001260,-,-,50585,373
2017-03-03,남선알미늄,008350,-,-,2969868,3683
2017-03-03,남성,004270,-,-,7045,14
2017-03-03,남양유업,003920,2572,1238,18271,13630
2017-03-03,남영비비안,002070,-,-,176,1
2017-03-03,남해화학,025860,1120,600,1240756,11241
2017-03-03,넥센,005720,-,-,419451,3326
2017-03-03,넥센타이어,002350,8256,205712,2170518,29628
2017-03-03,넥센타이어1우B,002355,-,-,5600,31
2017-03-03,넥솔론,110570,-,-,947428,387
2017-03-03,넥스트사이언스,003580,-,-,1060,36
2017-03-03,노루페인트,090350,-,1335,700134,5923
2017-03-03,노루홀딩스,000320,-,-,84102,1253
2017-03-03,녹십자,006280,767,1417,521325,77938
2017-03-03,녹십자홀딩스,005250,-,14038,826700,21288
2017-03-03,녹십자홀딩스2우,005257,-,-,20000,435
2017-03-03,농심,004370,6273,15031,195348,59581
2017-03-03,농심홀딩스,072710,-,6,44206,4597
2017-03-03,다스코,058730,-,-,123423,774
2017-03-03,다우기술,023590,8200,858,1015508,18025
2017-03-03,대교,019680,598,80,1289071,10390
2017-03-03,대교우B,019685,-,-,6744,34
2017-03-03,대구백화점,006370,552,552,72315,994
2017-03-03,대덕GDS,004130,432,13405,857766,11151
2017-03-03,대덕전자,008060,1213,110,1364724,11587
2017-03-03,대동공업,000490,-,9591,495633,3375
2017-03-03,대동전자,008110,-,-,274,1
2017-03-03,대림B&Co,005750,-,-,500734,4331
2017-03-03,대림산업,000210,86354,30838,1430459,118585
2017-03-03,대림산업우,000215,-,6,53722,1547
2017-03-03,대림씨엔에스,004440,-,-,12637,233
2017-03-03,대림통상,006570,-,-,11146,66
2017-03-03,대상,001680,22077,9280,1830278,43195
2017-03-03,대상우,001685,-,-,9458,116
2017-03-03,대상홀딩스,084690,-,12902,373749,3637
2017-03-03,대성산업,128820,-,10,502441,1804
2017-03-03,대성에너지,117580,-,-,369573,2310
2017-03-03,대성합동지주,005620,-,1685,2155,96
2017-03-03,대성홀딩스,016710,-,-,177042,1609
2017-03-03,대신증권,003540,-,3126,865925,9828
2017-03-03,대신증권2우B,003547,-,-,5000,35
2017-03-03,대신증권우,003545,-,-,139400,1026
2017-03-03,대양금속,009190,-,-,56185,219
2017-03-03,대영포장,014160,-,-,5953160,5608
2017-03-03,대우2791금호석유콜,522791,-,-,-,-
2017-03-03,대우건설,047040,192837,274653,16093166,97042
2017-03-03,대우부품,009320,-,-,384603,571
2017-03-03,대우송도개발,004550,-,-,-,-
2017-03-03,대우조선해양,042660,-,-,1164549,52172
2017-03-03,대웅,003090,-,138,117869,5776
2017-03-03,대웅제약,069620,4386,17748,917728,74428
2017-03-03,대원강업,000430,-,-,473487,2287
2017-03-03,대원전선,006340,-,-,1898215,2117
2017-03-03,대원전선우,006345,-,-,2810,7
2017-03-03,대원제약,003220,-,93,299937,6194
2017-03-03,대원화성,024890,-,-,1065455,2648
2017-03-03,대유에이텍,002880,-,97200,3665073,5681
2017-03-03,대유플러스,000300,-,-,1465475,1480
2017-03-03,대창,012800,-,-,3322794,3472
2017-03-03,대창단조,015230,-,-,37777,1764
2017-03-03,대한방직,001070,-,-,3182,289
2017-03-03,대한유화,006650,247,11638,351147,91825
2017-03-03,대한전선,001440,32500,74098,11624096,20807
2017-03-03,대한제강,084010,-,-,661168,6393
2017-03-03,대한제당,001790,-,126,80040,1929
2017-03-03,대한제분,001130,-,-,3172,580
2017-03-03,대한항공,003490,111905,165626,9174370,247249
2017-03-03,대한항공우,003495,-,-,4000,50
2017-03-03,대한해운,005880,78240,28773,1103841,26327
2017-03-03,대한화섬,003830,-,-,32,3
2017-03-03,대현,016090,8000,-,970610,2999
2017-03-03,대호에이엘,069460,-,-,482335,731
2017-03-03,더존비즈온,012510,99320,230842,874180,20674
2017-03-03,덕성,004830,6000,-,255188,1301
2017-03-03,덕양산업,024900,-,-,75476,125
2017-03-03,도레이케미칼,008000,-,-,529011,10183
2017-03-03,도화엔지니어링,002150,-,-,109166,483
2017-03-03,동국실업,001620,26273,-,1323347,3983
2017-03-03,동국제강,001230,98407,6194,4297510,51140
2017-03-03,동남합성,023450,-,-,45,3
2017-03-03,동방,004140,12000,12000,1543024,3163
2017-03-03,동방아그로,007590,-,-,7750,53
2017-03-03,동부건설,005960,-,-,111602,1042
2017-03-03,동부건설우,005965,-,-,500,10
2017-03-03,동부제철,016380,-,5449,604712,7861
2017-03-03,동부제철우,016385,-,-,10550,307
2017-03-03,동서,026960,84445,13169,1251321,31971
2017-03-03,동성제약,002210,-,8720,723422,2713
2017-03-03,동성코퍼레이션,102260,38600,55316,636909,3860
2017-03-03,동성화학,005190,-,-,137061,2378
2017-03-03,동아쏘시오홀딩스,000640,380,22201,672824,84103
2017-03-03,동아에스티,170900,7150,19113,936319,85860
2017-03-03,동아지질,028100,-,-,265201,2771
2017-03-03,동양,001520,14857,3860,14094778,38620
2017-03-03,동양건설,005900,-,-,-,-
2017-03-03,동양고속,084670,-,-,12664,457
2017-03-03,동양네트웍스,030790,-,-,409483,404
2017-03-03,동양물산,002900,-,-,3115391,7975
2017-03-03,동양생명,082640,3784,240,1194207,13077
2017-03-03,동양철관,008970,-,-,4521670,5245
2017-03-03,동원F&B,049770,4422,6501,129730,27438
2017-03-03,동원금속,018500,-,-,37504,142
2017-03-03,동원산업,006040,-,683,28122,10265
2017-03-03,동원수산,030720,-,2830,54987,473
2017-03-03,동원시스템즈,014820,141,399,423477,25705
2017-03-03,동일고무벨트,163560,-,-,131459,1341
2017-03-03,동일방직,001530,-,1441,20253,1205
2017-03-03,동일산업,004890,-,-,28427,2291
2017-03-03,동일제강,002690,-,-,1129,4
2017-03-03,동화약품,000020,-,-,561334,4889
2017-03-03,두산,000150,10709,52632,782954,76181
2017-03-03,두산건설,011160,-,-,896229,3280
2017-03-03,두산밥캣,241560,191545,10168,1046590,37625
2017-03-03,두산우,000155,-,6,45899,3061
2017-03-03,두산인프라코어,042670,283480,769614,187907155,1734383
2017-03-03,두산중공업,034020,4150708,901617,20169544,485078
2017-03-03,두올,016740,-,-,84760,392
2017-03-03,디씨엠,024090,-,-,281087,3471
2017-03-03,디아이,003160,35000,9717,1109965,5028
2017-03-03,디아이씨,092200,-,-,1434242,12937
2017-03-03,디와이,013570,-,-,373177,2657
2017-03-03,디와이파워,210540,32,32,414691,4031
2017-03-03,디티알오토모티브,007340,319,-,221634,5541
2017-03-03,디피씨,026890,-,-,1532658,5717
2017-03-03,락앤락,115390,1200,32896,1157472,17420
2017-03-03,로케트전기,000420,-,-,-,-
2017-03-03,롯데관광개발,032350,-,2000,134154,979
2017-03-03,롯데미도파,004010,-,-,-,-
2017-03-03,롯데손해보험,000400,-,425774,2902702,7010
2017-03-03,롯데쇼핑,023530,24092,10686,880029,186566
2017-03-03,롯데정밀화학,004000,4452,13259,1506874,50330
2017-03-03,롯데지주,004990,11123,2456,503500,98938
2017-03-03,롯데칠성,005300,58,71,113022,163430
2017-03-03,롯데칠성우,005305,-,-,60,39
2017-03-03,롯데케미칼,011170,28595,37245,816954,298597
2017-03-03,롯데푸드,002270,57,686,48059,28595
2017-03-03,롯데하이마트,071840,-,1836,593852,28149
2017-03-03,마니커,027740,-,-,1282360,993
2017-03-03,만도,204320,105459,12973,1048685,256403
2017-03-03,만호제강,001080,-,-,111,2
2017-03-03,맥쿼리인프라,088980,-,386,2062155,17054
2017-03-03,맵스리얼티1,094800,-,-,160582,625
2017-03-03,메디플란트,015540,1088,1544,77666,854
2017-03-03,메리츠금융지주,138040,-,120,381475,4578
2017-03-03,메리츠종금증권,008560,16583,776624,8409171,30820
2017-03-03,메리츠화재,000060,-,1560,803596,12737
2017-03-03,메타랩스,090370,-,-,1076632,723
2017-03-03,명문제약,017180,2798,4698,1111907,5715
2017-03-03,모나리자,012690,-,8000,800844,5117
2017-03-03,모나미,005360,-,11868,667702,2831
2017-03-03,모두투어리츠,204210,-,-,13979,62
2017-03-03,모토닉,009680,-,-,278972,2539
2017-03-03,무림P&P,009580,-,-,1412737,5602
2017-03-03,무림페이퍼,009200,-,-,678747,1846
2017-03-03,무학,033920,858,73,589530,13530
2017-03-03,문배철강,008420,-,-,86670,265
2017-03-03,미래산업,025560,553000,513000,27820578,7873
2017-03-03,미래아이앤지,007120,6800,6800,1054356,1075
2017-03-03,미래에셋 인버스 전기전자 Core5 ETN,520005,-,-,2520,19
2017-03-03,미래에셋 전기전자 Core5 ETN,520004,-,-,1070,14
2017-03-03,미래에셋대우,006800,166917,161688,16023176,142766
2017-03-03,미래에셋대우우,006805,-,-,2012,12
2017-03-03,미래에셋생명,085620,-,230,861062,5459
2017-03-03,미래에셋증권,037620,-,-,-,-
2017-03-03,미원상사,002840,-,-,16,4
2017-03-03,미원홀딩스,107590,-,17,2169,1063
2017-03-03,미원화학,134380,-,-,2066,140
2017-03-03,미창석유,003650,-,-,5733,517
2017-03-03,방림,003610,-,-,42869,967
2017-03-03,배명금속,011800,-,-,-,-
2017-03-03,백광산업,001340,-,406,620900,1707
2017-03-03,백광소재,014580,-,-,183783,520
2017-03-03,백산,035150,-,8080,835910,6771
2017-03-03,범양건영,002410,-,-,16796,202
2017-03-03,벽산,007210,2062,200550,2102631,8947
2017-03-03,벽산건설,002530,-,-,-,-
2017-03-03,보락,002760,-,-,35320,213
2017-03-03,보령제약,003850,364,155,154029,7963
2017-03-03,보루네오,004740,-,-,706873,1142
2017-03-03,보해양조,000890,500,115,5348069,6551
