Date,종목명,종목코드,체결(주수),상환(주수),잔고 주수,잔고 금액
2018-04-13,가온전선,000500,-,17,79959,1859
2018-04-13,강남제비스코,000860,-,23,44151,1428
2018-04-13,강원랜드,035250,872994,75400,7579939,197836
2018-04-13,갤럭시아에스엠,011420,-,120,207103,401
2018-04-13,경남기업,000800,-,-,-,-
2018-04-13,경남에너지,008020,-,-,-,-
2018-04-13,경남은행,192520,-,-,-,-
2018-04-13,경농,002100,-,66,158053,1080
2018-04-13,경동나비엔,009450,-,890,352903,21880
2018-04-13,경동도시가스,267290,-,26,7825,307
2018-04-13,경동인베스트,012320,-,76,13901,589
2018-04-13,경방,000050,7701,547,633705,9157
2018-04-13,경보제약,214390,-,83,206891,3362
2018-04-13,경인양행,012610,-,173,1322122,8091
2018-04-13,경인전자,009140,-,13,316,8
2018-04-13,계룡건설,013580,-,51,56712,981
2018-04-13,계양전기,012200,3970,4077,812286,3355
2018-04-13,고려개발,004200,-,95,232750,1362
2018-04-13,고려산업,002140,-,105,557941,1852
2018-04-13,고려아연,010130,8873,1334,397272,179170
2018-04-13,고려제강,002240,5124,2826,151204,4385
2018-04-13,골든브릿지증권,001290,35173,137,263604,745
2018-04-13,광동제약,009290,19504,7300,1062045,10302
2018-04-13,광명전기,017040,35000,4197,2383891,8534
2018-04-13,광전자,017900,-,283,963677,2920
2018-04-13,광주신세계,037710,-,8,11648,2708
2018-04-13,광주은행,192530,428,515,365777,4042
2018-04-13,교보증권,030610,-,4155,90476,868
2018-04-13,국도화학,007690,-,1898,114001,6886
2018-04-13,국동,005320,6568,757,495028,2302
2018-04-13,국보,001140,-,-,19131,204
2018-04-13,국제약품,002720,8509,4252,540171,3916
2018-04-13,그린케미칼,083420,-,51,125456,584
2018-04-13,극동유화,014530,-,123,246302,820
2018-04-13,금강공업,014280,-,23,49398,1391
2018-04-13,금강공업우,014285,-,-,600,19
2018-04-13,금비,008870,-,5,236,18
2018-04-13,금양,001570,4000,2139,496134,1163
2018-04-13,금호산업,002990,400,130,863576,9370
2018-04-13,금호산업우,002995,-,-,60,1
2018-04-13,금호석유,011780,8944,8743,2216951,211497
2018-04-13,금호석유우,011785,-,-,62784,2056
2018-04-13,금호에이치티,214330,-,20,97472,459
2018-04-13,금호전기,001210,10000,26,107176,764
2018-04-13,금호타이어,073240,194067,580226,19388101,123502
