Date,종목명,종목코드,체결(주수),상환(주수),잔고 주수,잔고 금액
2018-12-06,가온전선,000500,-,-,64605,1156
2018-12-06,강남제비스코,000860,-,-,76686,1929
2018-12-06,강원랜드,035250,81169,98483,4536704,149484
2018-12-06,갤럭시아에스엠,011420,-,-,263023,463
2018-12-06,경남기업,000800,-,-,-,-
2018-12-06,경남에너지,008020,-,-,-,-
2018-12-06,경남은행,192520,-,-,-,-
2018-12-06,경농,002100,-,-,320539,3414
2018-12-06,경동나비엔,009450,2559,196,818449,34702
2018-12-06,경동도시가스,267290,-,-,14250,482
2018-12-06,경동인베스트,012320,-,-,20904,802
2018-12-06,경방,000050,-,384,384215,4188
2018-12-06,경보제약,214390,-,6100,235451,2531
2018-12-06,경인양행,012610,-,-,1068038,5928
2018-12-06,경인전자,009140,-,-,266,6
2018-12-06,계룡건설,013580,-,-,104851,2197
2018-12-06,계양전기,012200,-,-,707242,2306
2018-12-06,계양전기우,012205,-,-,4020,34
2018-12-06,고려개발,004200,-,-,264035,1281
2018-12-06,고려산업,002140,4000,-,451297,1072
2018-12-06,고려아연,010130,40761,98260,349771,152850
2018-12-06,고려제강,002240,249,1549,150236,3275
2018-12-06,골든브릿지증권,001290,-,-,310038,732
2018-12-06,광동제약,009290,-,732,1581569,10739
2018-12-06,광명전기,017040,-,16000,2042447,5637
2018-12-06,광전자,017900,-,-,1145560,2291
2018-12-06,광주신세계,037710,-,-,10114,1815
2018-12-06,광주은행,192530,-,-,-,-
2018-12-06,교보증권,030610,-,-,219939,2164
2018-12-06,국도화학,007690,-,8190,114914,5263
2018-12-06,국동,005320,-,-,392556,915
2018-12-06,국보,001140,-,-,32062,433
2018-12-06,국제약품,002720,-,-,361169,1607
2018-12-06,그린케미칼,083420,-,-,82883,310
2018-12-06,극동유화,014530,-,-,447413,1519
2018-12-06,금강공업,014280,-,329,69235,1485
2018-12-06,금비,008870,-,-,289,19
2018-12-06,금양,001570,-,-,427462,1131
2018-12-06,금호산업,002990,-,-,1022832,12018
2018-12-06,금호산업우,002995,-,-,460,12
2018-12-06,금호석유,011780,16417,4227,1226184,108395
2018-12-06,금호석유우,011785,-,-,70526,2356
2018-12-06,금호에이치티,214330,4000,-,226735,1712
2018-12-06,금호전기,001210,-,82,193794,1432
2018-12-06,금호타이어,073240,62515,206208,13404507,69703
2018-12-06,기신정기,092440,-,-,265378,913
2018-12-06,기아차,000270,134020,259594,17664116,546704
2018-12-06,기업은행,024110,171571,299499,11472132,169788
2018-12-06,까뮤이앤씨,013700,-,-,252525,342
2018-12-06,깨끗한나라,004540,-,12100,885977,2933
2018-12-06,나노메딕스,074610,18000,36000,1056272,7098
2018-12-06,남광토건,001260,-,-,132810,2052
2018-12-06,남선알미늄,008350,27476,42416,3749223,9279
2018-12-06,남선알미우,008355,-,-,1479,59
2018-12-06,남성,004270,5478,15290,312598,588
2018-12-06,남양유업,003920,18,112,17352,11400
2018-12-06,남양유업우,003925,-,-,2,-
2018-12-06,남영비비안,002070,-,-,23335,145
2018-12-06,남해화학,025860,1922,9144,2994670,35786
2018-12-06,넥센,005720,-,748,293528,1658
2018-12-06,넥센우,005725,-,-,30085,109
2018-12-06,넥센타이어,002350,3293,14656,1105266,10058
2018-12-06,넥센타이어1우B,002355,-,-,25600,102
2018-12-06,넥솔론,110570,-,-,-,-
2018-12-06,넥스트사이언스,003580,48000,-,466672,3327
2018-12-06,넷마블,251270,472781,62647,8304689,917668
2018-12-06,노루페인트,090350,-,-,652911,5504
2018-12-06,노루페인트우,090355,-,-,1920,17
2018-12-06,노루홀딩스,000320,-,-,74446,942
2018-12-06,녹십자,006280,374,47480,343984,48330
2018-12-06,녹십자홀딩스,005250,9790,5718,802136,19251
2018-12-06,녹십자홀딩스2우,005257,-,-,23327,400
2018-12-06,농심,004370,146,4413,148559,38180
2018-12-06,농심홀딩스,072710,-,64,44280,3144
2018-12-06,다스코,058730,-,14239,258698,2248
2018-12-06,다우기술,023590,-,4782,773677,15048
2018-12-06,대교,019680,1275,18597,546858,3730
2018-12-06,대교우B,019685,-,-,46870,222
2018-12-06,대구백화점,006370,-,-,39571,349
2018-12-06,대덕GDS,004130,-,-,280914,3989
2018-12-06,대덕전자,008060,74988,6876,7918580,72613
2018-12-06,대동공업,000490,-,-,624755,3411
2018-12-06,대동전자,008110,-,-,10895,37
2018-12-06,대림B&Co,005750,-,-,351996,1471
2018-12-06,대림산업,000210,202163,154781,2024158,194724
2018-12-06,대림산업우,000215,-,-,49135,1892
2018-12-06,대림씨엔에스,004440,-,-,100616,1102
2018-12-06,대림통상,006570,-,-,33966,136
2018-12-06,대상,001680,817,4415,1081366,26926
2018-12-06,대상우,001685,-,-,17527,224
2018-12-06,대상홀딩스,084690,-,-,334870,2669
2018-12-06,대상홀딩스우,084695,-,-,3069,18
2018-12-06,대성산업,128820,160,-,387664,1779
2018-12-06,대성에너지,117580,-,-,165957,911
2018-12-06,대성합동지주,005620,-,-,-,-
2018-12-06,대성홀딩스,016710,-,-,153307,967
2018-12-06,대신증권,003540,-,46332,797052,9644
2018-12-06,대신증권2우B,003547,-,-,50451,437
2018-12-06,대신증권우,003545,-,34392,661840,6188
2018-12-06,대양금속,009190,-,-,84661,334
2018-12-06,대영포장,014160,-,-,2431642,2249
2018-12-06,대우2791금호석유콜,522791,-,-,-,-
2018-12-06,대우건설,047040,28473,187094,12954745,63996
2018-12-06,대우부품,009320,-,-,1559696,2379
2018-12-06,대우송도개발,004550,-,-,-,-
2018-12-06,대우조선해양,042660,84154,781591,10845878,356829
2018-12-06,대웅,003090,-,882,268969,4774
2018-12-06,대웅제약,069620,3174,1621,666250,126254
2018-12-06,대원강업,000430,-,-,382939,1398
2018-12-06,대원전선,006340,-,-,1292954,2159
2018-12-06,대원전선우,006345,-,-,9690,38
2018-12-06,대원제약,003220,422,1112,304886,4985
2018-12-06,대원화성,024890,-,-,621408,957
2018-12-06,대유에이텍,002880,24000,10000,3696220,4546
2018-12-06,대유플러스,000300,20000,-,2637883,2556
2018-12-06,대창,012800,-,-,1629631,1574
2018-12-06,대창단조,015230,-,-,35497,1505
2018-12-06,대한방직,001070,-,-,29881,418
2018-12-06,대한유화,006650,507,24755,367050,58728
2018-12-06,대한전선,001440,-,71379,10311523,10879
2018-12-06,대한제강,084010,-,-,445576,2379
2018-12-06,대한제당,001790,-,-,32259,645
2018-12-06,대한제당3우B,001799,-,-,1834,46
2018-12-06,대한제당우,001795,-,-,12,-
2018-12-06,대한제분,001130,-,-,3421,636
2018-12-06,대한항공,003490,286100,292734,2988461,92642
2018-12-06,대한항공우,003495,-,-,3723,52
2018-12-06,대한해운,005880,4000,195427,842155,18191
2018-12-06,대한화섬,003830,-,-,974,108
2018-12-06,대현,016090,-,-,359670,770
2018-12-06,대호에이엘,069460,-,-,717722,3890
2018-12-06,더존비즈온,012510,496,59414,806521,40003
2018-12-06,덕성,004830,-,-,456858,1585
2018-12-06,덕성우,004835,-,-,8172,39
2018-12-06,덕양산업,024900,10000,-,213723,283
2018-12-06,덴티움,145720,2166,7048,301222,19700
2018-12-06,도레이케미칼,008000,-,-,-,-
2018-12-06,도화엔지니어링,002150,13682,28787,519424,4441
2018-12-06,동국실업,001620,-,-,1101519,860
2018-12-06,동국제강,001230,2154,100245,5046871,37700
2018-12-06,동남합성,023450,-,-,287,17
2018-12-06,동방,004140,-,21862,1157929,1720
2018-12-06,동방아그로,007590,-,-,48543,321
2018-12-06,동부건설,005960,-,-,174294,1288
2018-12-06,동부건설우,005965,-,-,1500,25
2018-12-06,동부제철,016380,-,-,430582,2855
2018-12-06,동부제철우,016385,-,-,15308,635
2018-12-06,동서,026960,106052,1042414,3456146,60828
2018-12-06,동성제약,002210,1332,19265,1057489,22789
2018-12-06,동성코퍼레이션,102260,-,-,726657,3800
2018-12-06,동성화학,005190,-,-,41226,583
2018-12-06,동아쏘시오홀딩스,000640,2462,3396,218148,22906
2018-12-06,동아에스티,170900,17860,1795,454856,47532
2018-12-06,동아지질,028100,4000,-,241026,3977
2018-12-06,동아타이어,282690,-,-,56107,735
2018-12-06,동양,001520,33575,35919,5770173,11252
2018-12-06,동양2우B,001527,-,-,26,-
2018-12-06,동양건설,005900,-,-,-,-
2018-12-06,동양고속,084670,-,-,26833,786
2018-12-06,동양네트웍스,030790,-,45136,1703097,3304
2018-12-06,동양물산,002900,-,-,2285441,4251
2018-12-06,동양생명,082640,175077,35106,1074023,5939
2018-12-06,동양철관,008970,85820,8000,5065080,7927
2018-12-06,동양피스톤,092780,-,-,5809,23
2018-12-06,동원F&B,049770,72,787,125881,33925
2018-12-06,동원금속,018500,-,-,1145969,924
2018-12-06,동원산업,006040,-,53,20377,4075
2018-12-06,동원수산,030720,-,-,108321,942
2018-12-06,동원시스템즈,014820,169,17854,472320,13579
2018-12-06,동일고무벨트,163560,-,-,165006,1026
2018-12-06,동일방직,001530,-,-,14373,881
2018-12-06,동일산업,004890,-,-,28403,1676
2018-12-06,동일제강,002690,-,-,69052,242
2018-12-06,동화약품,000020,-,-,265070,2500
2018-12-06,두산,000150,360,33751,538504,65159
2018-12-06,두산2우B,000157,-,-,207,16
2018-12-06,두산건설,011160,-,-,1380500,2160
2018-12-06,두산밥캣,241560,39708,19670,2491546,80726
2018-12-06,두산우,000155,-,-,47340,3759
2018-12-06,두산인프라코어,042670,145577,224819,77603701,637126
2018-12-06,두산중공업,034020,87747,1969125,13243248,153622
2018-12-06,두올,016740,-,-,156660,459
2018-12-06,디씨엠,024090,-,-,109845,1230
2018-12-06,디아이,003160,-,2348,690108,2464
2018-12-06,디아이씨,092200,9764,4000,1665155,9192
2018-12-06,디와이,013570,-,-,569297,3342
2018-12-06,디와이파워,210540,-,-,379196,5309
2018-12-06,디티알오토모티브,007340,-,-,70584,2178
2018-12-06,디피씨,026890,-,210,1551192,9462
2018-12-06,락앤락,115390,9624,70637,3385935,68057
2018-12-06,로케트전기,000420,-,-,-,-
2018-12-06,롯데관광개발,032350,4000,12876,469098,6028
2018-12-06,롯데미도파,004010,-,-,-,-
2018-12-06,롯데손해보험,000400,-,2232,2201837,6022
2018-12-06,롯데쇼핑,023530,35358,36077,501193,107005
2018-12-06,롯데정밀화학,004000,1005,3788,927308,39086
2018-12-06,롯데정보통신,286940,8000,-,33850,1019
2018-12-06,롯데제과,280360,-,65,40970,6924
2018-12-06,롯데지주,004990,2560,33851,3414521,185408
2018-12-06,롯데지주우,00499K,-,-,2,-
2018-12-06,롯데칠성,005300,129,381,74845,110022
2018-12-06,롯데칠성우,005305,-,-,300,204
2018-12-06,롯데케미칼,011170,47394,143573,373814,104481
2018-12-06,롯데푸드,002270,51,366,50859,34686
2018-12-06,롯데하이마트,071840,90790,16580,1168500,58776
2018-12-06,마니커,027740,-,72542,2751192,2160
2018-12-06,만도,204320,79166,53740,5062311,148832
2018-12-06,만호제강,001080,-,-,9305,167
2018-12-06,맥쿼리인프라,088980,-,45174,2451197,23090
2018-12-06,맵스리얼티1,094800,-,-,16749,64
2018-12-06,메디파트너생명공학,015540,6000,-,75120,567
2018-12-06,메리츠금융지주,138040,-,2121,233690,2769
