Date,Issue code,Issue name,Quantity Net short position,Quantity No.of listed shares,Amount Net short position,Amount Market cap,Proportion
2023-08-02,047310,POWER LOGICS,0,"34,420,982",0,"346,275,078,920",0.00
2023-08-02,037030,POWERNET,0,"19,522,052",0,"68,034,351,220",0.00
2023-08-02,062970,PPI,0,"9,308,185",0,"22,479,266,775",0.00
2023-08-02,321260,PRO2000,0,"28,192,084",0,"109,244,325,500",0.00
2023-08-02,053610,PROTEC,"7,058","11,000,000","352,900,000","550,000,000,000",0.06
2023-08-02,303360,PROTEOMETECH,0,"12,874,715",0,"42,229,065,200",0.00
2023-08-02,319660,PSK,"613,299","28,966,714","13,001,938,800","614,094,336,800",2.12
2023-08-02,031980,PSK HOLDINGS,0,"21,562,395",0,"598,356,461,250",0.00
2023-08-02,002230,PSTEC,"41,213","19,370,673","161,554,960","75,933,038,160",0.21
2023-08-02,094940,PULOON TECH,0,"8,361,386",0,"63,630,147,460",0.00
2023-08-02,251970,PUM-TECH KOREA,0,"12,400,000",0,"300,700,000,000",0.00
2023-08-02,093380,PUNGKANG,0,"9,879,313",0,"39,270,269,175",0.00
2023-08-02,007330,PUREUN S.BK.,0,"15,082,800",0,"131,069,532,000",0.00
2023-08-02,222110,PanGen,0,"10,677,630",0,"48,209,499,450",0.00
2023-08-02,054300,Panstar Enterprise,0,"66,436,042",0,"47,368,897,946",0.00
2023-08-02,034230,Paradise,"2,288,228","91,672,789","32,584,366,720","1,305,420,515,360",2.50
2023-08-02,033540,Paratech,0,"73,175,379",0,"54,881,534,250",0.00
2023-08-02,140860,Park Systems,"76,291","6,963,299","14,609,726,500","1,333,471,758,500",1.10
2023-08-02,263750,PearlAbyss,"1,016,096","64,247,855","56,088,499,200","3,546,481,596,000",1.58
2023-08-02,304840,PeopleBio,0,"12,502,887",0,"115,651,704,750",0.00
2023-08-02,208340,PharmAbcine,0,"25,678,786",0,"65,224,116,440",0.00
2023-08-02,214450,PharmaResearch,"92,929","10,296,563","12,378,142,800","1,371,502,191,600",0.90
2023-08-02,318010,Pharmsville,0,"7,929,338",0,"71,919,095,660",0.00
2023-08-02,388870,Pharos,0,"12,918,962",0,"188,100,086,720",0.00
2023-08-02,378340,Philenergy,0,"10,604,441",0,"678,684,224,000",0.00
2023-08-02,376180,Picogram,0,"18,416,858",0,"122,472,105,700",0.00
2023-08-02,291810,Pintel,0,"11,343,912",0,"74,529,501,840",0.00
2023-08-02,170790,Piolink,0,"6,856,330",0,"106,478,804,900",0.00
2023-08-02,087600,Pixelplus,0,"8,166,558",0,"53,327,623,740",0.00
2023-08-02,405000,Plasmapp,0,"19,274,044",0,"112,174,936,080",0.00
2023-08-02,367000,Plateer,0,"8,347,707",0,"84,311,840,700",0.00
2023-08-02,237820,PlayD,0,"12,827,140",0,"72,088,526,800",0.00
2023-08-02,041020,Polaris Office,"79,044","49,725,498","433,951,560","272,992,984,020",0.16
2023-08-02,335810,Precision Biosensor,0,"11,614,526",0,"77,701,178,940",0.00
2023-08-02,334970,Prestige Biologics,0,"61,107,969",0,"295,151,490,270",0.00
2023-08-02,147760,Protec Mems Technology,"25,800","10,819,866","139,836,000","58,643,673,720",0.24
2023-08-02,950200,Psomagen,0,"19,226,053",0,"112,087,888,990",0.00
2023-08-02,023900,Pungguk Ethanol,"7,581","12,600,000","103,404,840","171,864,000,000",0.06
2023-08-02,016600,QCP,0,"178,247,112",0,"69,159,879,456",0.00
2023-08-02,405100,QRT,0,"11,988,108",0,"146,135,036,520",0.00
2023-08-02,066310,QSI,"10,716","9,271,621","109,624,680","94,848,682,830",0.12
2023-08-02,317690,QuantaMatrix,0,"16,537,411",0,"72,103,111,960",0.00
2023-08-02,348080,Quratis,0,"38,591,180",0,"120,597,437,500",0.00
2023-08-02,115180,Qurient,"13,251","12,406,056","108,128,160","101,233,416,960",0.11
2023-08-02,171010,RAM TECH,0,"14,108,436",0,"83,380,856,760",0.00
2023-08-02,317120,RANIX,0,"9,660,000",0,"45,981,600,000",0.00
2023-08-02,232680,RAONTEC,0,"12,504,234",0,"116,664,503,220",0.00
2023-08-02,418420,RAONTECH,0,"29,496,558",0,"269,893,505,700",0.00
2023-08-02,214260,RAPHAS,0,"8,656,916",0,"234,602,423,600",0.00
2023-08-02,228850,RAYENCE,0,"16,591,014",0,"169,726,073,220",0.00
2023-08-02,361570,RBW,0,"28,635,291",0,"132,581,397,330",0.00
2023-08-02,377450,REFINE,0,"17,330,000",0,"135,693,900,000",0.00
2023-08-02,302550,REMED,0,"6,127,616",0,"110,971,125,760",0.00
2023-08-02,327260,RF Materials,0,"8,433,231",0,"98,162,808,840",0.00
2023-08-02,218410,RFHIC,"522,812","26,786,434","9,682,478,240","496,084,757,680",1.95
2023-08-02,061040,RFTECH,"50,438","32,089,259","205,787,040","130,924,176,720",0.16
2023-08-02,096610,RFsemi,0,"15,816,151",0,"191,217,265,590",0.00
2023-08-02,200350,RMRI,0,"6,473,104",0,"93,989,470,080",0.00
2023-08-02,148250,RN2 Technologies,0,"7,391,186",0,"47,303,590,400",0.00
2023-08-02,108490,ROBOTIS,0,"12,579,385",0,"325,806,071,500",0.00
2023-08-02,071280,RORZE,0,"15,296,603",0,"93,768,176,390",0.00
2023-08-02,314140,RPBO,0,"8,666,361",0,"86,490,282,780",0.00
2023-08-02,140670,RS Automation,"26,803","9,303,140","343,346,430","119,173,223,400",0.29
2023-08-02,131370,RSUPPORT,"112,898","53,267,083","370,869,930","174,982,367,655",0.21
2023-08-02,217500,RUSSELL,0,"31,812,000",0,"118,022,520,000",0.00
2023-08-02,191410,RYUK-IL C&S,0,"10,339,750",0,"36,706,112,500",0.00
2023-08-02,277810,Rainbow Robotics,"153,967","19,250,946","17,752,395,100","2,219,634,073,800",0.80
2023-08-02,042510,RaonSecure,0,"38,666,746",0,"92,800,190,400",0.00
2023-08-02,228670,Ray,0,"15,227,774",0,"562,666,249,300",0.00
2023-08-02,038390,RedcapTour,0,"8,589,480",0,"129,872,937,600",0.00
2023-08-02,042500,RingNet,0,"15,356,878",0,"66,802,419,300",0.00
2023-08-02,215100,RoboRobo,0,"20,348,454",0,"94,518,568,830",0.00
2023-08-02,090360,Robostar,"48,391","9,750,000","1,417,856,300","285,675,000,000",0.50
2023-08-02,900260,Rothwell,0,"36,031,288",0,"29,725,812,600",0.00
2023-08-02,096630,S Connect,"163,573","68,110,617","291,159,940","121,236,898,260",0.24
2023-08-02,050760,S polytech,0,"16,334,678",0,"35,364,577,870",0.00
2023-08-02,260970,S&D,0,"4,059,420",0,"58,739,807,400",0.00
2023-08-02,091340,S&K,0,"11,703,721",0,"37,393,388,595",0.00
2023-08-02,101490,S&S TECH,"413,894","21,451,447","21,315,541,000","1,104,749,520,500",1.93
2023-08-02,103230,S&W Corp.,0,"7,200,000",0,"39,384,000,000",0.00
2023-08-02,095910,S-ENERGY,"46,692","19,504,503","102,488,940","42,812,384,085",0.24
2023-08-02,097780,S-MAC,"204,527","62,730,338","246,659,562","75,652,787,628",0.33
2023-08-02,304360,S.Biomedics,0,"11,295,076",0,"96,459,949,040",0.00
2023-08-02,122690,SAC,0,"21,228,131",0,"85,867,789,895",0.00
2023-08-02,053060,SAE DONG,0,"17,657,419",0,"41,494,934,650",0.00
2023-08-02,304100,SALTLUX,0,"11,210,619",0,"483,177,678,900",0.00
2023-08-02,023600,SAMBO CORR,0,"16,170,000",0,"154,908,600,000",0.00
2023-08-02,009620,SAMBO IND,0,"45,255,561",0,"45,074,538,756",0.00
2023-08-02,053700,SAMBO MOTORS,0,"22,742,196",0,"140,546,771,280",0.00
2023-08-02,024950,SAMCHULY,0,"13,273,577",0,"80,703,348,160",0.00
2023-08-02,419530,SAMG ENTERTAINMENT,0,"8,590,930",0,"201,027,762,000",0.00
2023-08-02,046390,SAMHWA NWS,"63,082","43,172,933","135,310,890","92,605,941,285",0.15
2023-08-02,002290,SAMIL ENTERPRISE,0,"12,400,000",0,"42,098,000,000",0.00
2023-08-02,037460,SAMJI ELECT,"43,150","16,318,522","324,919,500","122,878,470,660",0.26
2023-08-02,054090,SAMJIN LND,"50,456","24,959,232","118,823,880","58,778,991,360",0.20
2023-08-02,122350,SAMKEE,0,"38,339,428",0,"96,040,267,140",0.00
2023-08-02,419050,SAMKEE EV,0,"14,299,060",0,"221,349,448,800",0.00
2023-08-02,018310,SAMMOK S-FORM,0,"14,700,000",0,"224,616,000,000",0.00
2023-08-02,038500,SAMPYO Cement,"840,383","107,916,306","2,798,475,390","359,361,298,980",0.78
2023-08-02,017480,SAMSCO,0,"15,702,890",0,"80,869,883,500",0.00
2023-08-02,380320,SAMSUNG MUST SPAC V,0,"4,810,000",0,"12,000,950,000",0.00
2023-08-02,377630,SAMSUNG SPAC IV,0,"4,020,000",0,"14,391,600,000",0.00
2023-08-02,425290,SAMSUNG SPAC VI,0,"5,520,000",0,"14,821,200,000",0.00
2023-08-02,439250,SAMSUNG SPAC VII,0,"3,502,000",0,"34,354,620,000",0.00
2023-08-02,448740,SAMSUNG SPAC VIII,0,"4,664,000",0,"45,240,800,000",0.00
2023-08-02,031330,SAMT,"101,560","99,995,067","286,399,200","281,986,088,940",0.10
2023-08-02,225190,SAMYANG OPTICS,0,"10,149,688",0,"97,741,495,440",0.00
2023-08-02,361670,SAMYOUNG S&C,0,"5,667,658",0,"36,386,364,360",0.00
2023-08-02,411080,SANDS LAB,0,"15,095,238",0,"143,404,761,000",0.00
2023-08-02,091580,SANGSIN EDP,"44,286","13,628,219","845,419,740","260,162,700,710",0.32
2023-08-02,060540,SAT,0,"26,133,306",0,"59,714,604,210",0.00
2023-08-02,351320,SAT,0,"22,015,886",0,"67,478,690,590",0.00
2023-08-02,389500,SBB TECH,0,"6,174,904",0,"264,903,381,600",0.00
2023-08-02,950110,SBI FinTech Solutions,0,"24,052,540",0,"103,906,972,800",0.00
2023-08-02,019550,SBI Investment KOREA,"493,515","162,066,575","436,267,260","143,266,852,300",0.30
2023-08-02,027580,SBK,0,"59,181,279",0,"123,984,779,505",0.00
2023-08-02,086710,SBS,0,"12,203,280",0,"106,412,601,600",0.00
2023-08-02,046140,SBS Contents Hub,0,"21,463,555",0,"122,342,263,500",0.00
2023-08-02,151910,SBW Life Sciences,0,"177,134,118",0,"83,430,169,578",0.00
2023-08-02,080470,SCAutotech,0,"7,300,000",0,"44,092,000,000",0.00
2023-08-02,000250,SCD,"617,423","23,066,794","39,700,298,900","1,483,194,854,200",2.68
2023-08-02,042110,SCD,0,"48,329,564",0,"72,011,050,360",0.00
2023-08-02,036120,SCI,0,"35,500,000",0,"136,142,500,000",0.00
2023-08-02,298060,SCM,0,"12,256,040",0,"62,505,804,000",0.00
2023-08-02,217480,SDBIO,0,"42,608,662",0,"14,870,423,038",0.00
2023-08-02,099220,SDN,"129,917","56,171,811","209,166,370","90,436,615,710",0.23
2023-08-02,121890,SDSYSTEM,0,"12,686,120",0,"9,375,042,680",0.00
2023-08-02,011560,SEBO MEC,"25,766","10,530,000","232,151,660","94,875,300,000",0.24
2023-08-02,232830,SECUCEN,0,"11,515,472",0,"40,822,348,240",0.00
2023-08-02,131090,SECUVE,"143,443","44,000,000","152,479,909","46,772,000,000",0.33
2023-08-02,096530,SEEGENE,"1,205,015","52,225,994","26,751,333,000","1,159,417,066,800",2.31
2023-08-02,067770,SEJINTS,0,"8,396,593",0,"25,693,574,580",0.00
2023-08-02,258830,SEJONG MEDICAL,0,"55,365,742",0,"77,733,501,768",0.00
2023-08-02,036630,SEJONG TELECOM,0,"270,000,000",0,"148,230,000,000",0.00
2023-08-02,039310,SEJOONG,0,"18,121,667",0,"41,679,834,100",0.00
2023-08-02,053450,SEKONIX,"14,260","14,792,803","110,087,200","114,200,439,160",0.10
2023-08-02,108860,SELVAS AI,"111,358","26,510,260","2,978,826,500","709,149,455,000",0.42
2023-08-02,208370,SELVAS Healthcare,"10,563","25,680,564","110,488,980","268,618,699,440",0.04
2023-08-02,252990,SEMCNS,0,"50,153,846",0,"300,421,537,540",0.00
2023-08-02,347000,SENKO,0,"33,004,976",0,"96,704,579,680",0.00
2023-08-02,035890,SEOHEE CONSTRUCTION,"1,262,625","229,808,457","1,672,978,125","304,496,205,525",0.55
2023-08-02,178320,SEOJIN SYSTEM,"252,434","37,580,642","4,139,917,600","616,322,528,800",0.67
2023-08-02,018680,SEOUL PHARMA,0,"11,659,319",0,"46,112,606,645",0.00
2023-08-02,092190,SEOUL VIOSYS,0,"38,223,653",0,"179,077,814,305",0.00
2023-08-02,043710,SEOULEAGUER,0,"50,198,880",0,"45,580,583,040",0.00
2023-08-02,019770,SEOYON TOPMETAL,0,"11,650,000",0,"49,337,750,000",0.00
2023-08-02,340440,SERIM B&G,0,"28,378,364",0,"62,148,617,160",0.00
2023-08-02,042600,SERONICS,"5,712","12,423,574","221,625,600","482,034,671,200",0.05
2023-08-02,027040,SET,0,"69,588,847",0,"35,420,723,123",0.00
2023-08-02,049830,SEUNG IL,0,"6,132,112",0,"63,467,359,200",0.00
2023-08-02,252500,SEWHA P&C,0,"41,486,390",0,"40,283,284,690",0.00
2023-08-02,100700,SEWOONMEDICAL,"40,549","43,800,000","105,427,400","113,880,000,000",0.09
2023-08-02,056190,SFA,"808,638","35,908,760","30,202,629,300","1,341,192,186,000",2.25
2023-08-02,036540,SFASemicon,"5,340,602","164,460,303","30,120,995,280","927,556,108,920",3.25
2023-08-02,288620,SFC,0,"6,979,316",0,"123,184,927,400",0.00
2023-08-02,089980,SFTC,"237,273","15,989,037","6,050,461,500","407,720,443,500",1.48
2023-08-02,255220,SG,0,"47,093,858",0,"60,798,170,678",0.00
2023-08-02,040610,SG&G,"122,162","34,087,196","210,607,288","58,766,325,904",0.36
2023-08-02,049470,SGA,0,"58,862,249",0,"40,850,400,806",0.00
2023-08-02,184230,SGA Solutions,0,"54,187,224",0,"42,645,345,288",0.00
2023-08-02,016250,SGC eTEC E&C,0,"3,346,613",0,"72,119,510,150",0.00
2023-08-02,162300,SHIN STEEL,0,"41,471,382",0,"158,213,322,330",0.00
2023-08-02,290520,SHINDO,0,"15,929,362",0,"80,283,984,480",0.00
2023-08-02,243840,SHINHEUNG SEC,"2,195","7,763,229","108,872,000","385,056,158,400",0.03
2023-08-02,056700,SHINWHA,0,"29,135,091",0,"69,195,841,125",0.00
2023-08-02,086980,SHOWBOX,"66,779","62,638,000","223,709,650","209,837,300,000",0.11
2023-08-02,419270,SHT-7 SPAC,0,"4,305,000",0,"9,535,575,000",0.00
2023-08-02,430220,SHT-8 SPAC,0,"6,760,000",0,"14,432,600,000",0.00
2023-08-02,445970,SHT-9 SPAC,0,"5,360,000",0,"11,256,000,000",0.00
2023-08-02,065420,SI,0,"71,577,299",0,"23,119,467,577",0.00
2023-08-02,099320,SI,"3,949","9,085,607","113,731,200","261,665,481,600",0.04
2023-08-02,010280,SICC,0,"65,123,786",0,"52,229,276,372",0.00
2023-08-02,020710,SIGONG TECH,0,"20,047,970",0,"93,323,300,350",0.00
2023-08-02,025870,SILLA SG,0,"4,000,000",0,"31,320,000,000",0.00
2023-08-02,222800,SIMMTECH,"1,498,982","31,854,143","51,190,235,300","1,087,818,983,450",4.71
2023-08-02,036710,SIMMTECH HOLDINGS,0,"48,350,145",0,"144,566,933,550",0.00
2023-08-02,138070,SINJIN SM,0,"17,503,204",0,"47,433,682,840",0.00
2023-08-02,002800,SINSIN PHARM,"34,173","15,170,500","170,352,405","75,624,942,500",0.23
2023-08-02,189860,SJEM,"25,672","9,698,780","133,751,120","50,530,643,800",0.26
2023-08-02,306040,SJG,0,"9,865,828",0,"105,071,068,200",0.00
2023-08-02,435870,SK Securities No.8 SPAC,0,"3,720,000",0,"8,332,800,000",0.00
2023-08-02,455910,SK Securities No.9 SPAC,0,"5,020,000",0,"10,491,800,000",0.00
2023-08-02,014620,SKB,0,"28,600,000",0,"431,002,000,000",0.00
2023-08-02,276040,SKONEC,0,"12,460,824",0,"115,761,054,960",0.00
2023-08-02,214310,SL Energy,0,"73,582,603",0,"22,516,276,518",0.00
2023-08-02,048550,SM C&C,"42,538","96,693,620","100,602,370","228,680,411,300",0.04
2023-08-02,063440,SM Life Design,"87,080","46,029,154","175,030,800","92,518,599,540",0.19
2023-08-02,007820,SMC,"19,073","20,033,946","113,865,810","119,602,657,620",0.10
2023-08-02,041510,SME,"162,261","23,830,901","22,083,722,100","3,243,385,626,100",0.68
2023-08-02,099440,SMEC,0,"39,167,600",0,"81,468,608,000",0.00
2023-08-02,100660,SMI,0,"12,600,000",0,"64,764,000,000",0.00
2023-08-02,038680,SNET,0,"18,432,874",0,"88,938,617,050",0.00
2023-08-02,080000,SNU,0,"34,322,870",0,"108,803,497,900",0.00
2023-08-02,258790,SOFTCAMP,0,"24,991,284",0,"40,860,749,340",0.00
2023-08-02,032680,SOFTCEN,"146,103","105,590,764","112,937,619","81,621,660,572",0.14
2023-08-02,032685,SOFTCEN(1P),0,"357,142",0,"3,299,992,080",0.00
2023-08-02,035610,SOLBORN,"45,205","27,345,997","188,504,850","114,032,807,490",0.17
2023-08-02,043100,SOLCO,0,"66,379,208",0,"31,065,469,344",0.00
2023-08-02,290690,SOLUX,0,"9,766,050",0,"184,090,042,500",0.00
2023-08-02,066910,SONOKONG,"113,365","27,921,931","226,389,905","55,760,096,207",0.41
2023-08-02,050960,SOOSAN INT,0,"6,751,000",0,"65,147,150,000",0.00
2023-08-02,058610,SPG,"48,518","22,177,360","1,513,761,600","691,933,632,000",0.22
2023-08-02,317830,SPSystems,0,"9,533,135",0,"147,572,929,800",0.00
2023-08-02,046890,SSC,"632,713","58,305,400","7,339,470,800","676,342,640,000",1.09
2023-08-02,065350,SSDELTATECH,"35,818","27,483,948","916,940,800","703,589,068,800",0.13
2023-08-02,101000,SSII,0,"18,779,448",0,"35,361,700,584",0.00
2023-08-02,275630,SSR,0,"6,017,989",0,"31,835,161,810",0.00
2023-08-02,237690,ST Pharm,"105,557","18,808,775","7,958,997,800","1,418,181,635,000",0.56
2023-08-02,115570,STARFLEX,0,"7,984,508",0,"30,979,891,040",0.00
2023-08-02,052020,STCUBE,"2,649,834","46,278,501","34,818,818,760","608,099,503,140",5.73
2023-08-02,039440,STI,"28,733","15,830,000","728,381,550","401,290,500,000",0.18
2023-08-02,098660,STO,0,"12,500,976",0,"31,127,430,240",0.00
2023-08-02,204630,STUDIO SANTA CLAUS,0,"98,477,186",0,"42,148,235,608",0.00
2023-08-02,234300,STraffic,0,"27,532,242",0,"128,850,892,560",0.00
2023-08-02,031860,SU-Holdings,0,"87,923,965",0,"92,759,783,075",0.00
2023-08-02,003100,SUN KWANG,"9,530","6,600,000","194,888,500","134,970,000,000",0.14
2023-08-02,037350,SUNGDO ENG,0,"15,470,000",0,"67,371,850,000",0.00
2023-08-02,043260,SUNGHO,0,"53,405,384",0,"82,778,345,200",0.00
2023-08-02,081580,SUNGWOO ELEC,0,"15,508,143",0,"41,484,282,525",0.00
2023-08-02,045300,SUNGWOOTECH,0,"9,959,584",0,"46,660,651,040",0.00
2023-08-02,171090,SUNIC SYSTEM,0,"9,376,766",0,"233,012,635,100",0.00
2023-08-02,321370,SV,0,"25,937,910",0,"113,867,424,900",0.00
2023-08-02,289080,SV INVESTMENT,0,"53,234,000",0,"106,308,298,000",0.00
2023-08-02,015750,SW HITECH,"1,014,589","80,000,000","12,073,609,100","952,000,000,000",1.27
2023-08-02,093920,SWIT,0,"18,600,000",0,"110,670,000,000",0.00
2023-08-02,109610,SY,"42,666","48,907,400","175,783,920","201,498,488,000",0.09
2023-08-02,054540,SYMTEK,"33,201","13,000,000","144,756,360","56,680,000,000",0.26
2023-08-02,269620,SYSWORK,0,"108,582,562",0,"96,529,897,618",0.00
2023-08-02,328380,Saltware,0,"34,262,778",0,"52,661,889,786",0.00
2023-08-02,009300,Sam-A Pharm.,0,"6,370,000",0,"110,710,600,000",0.00
2023-08-02,032280,SamIl,0,"16,213,590",0,"31,940,772,300",0.00
2023-08-02,032750,Samjin,0,"8,063,866",0,"48,625,111,980",0.00
2023-08-02,014970,Samryoong,0,"15,125,000",0,"58,987,500,000",0.00
2023-08-02,065570,Samyung ENC,0,"11,783,822",0,"68,817,520,480",0.00
2023-08-02,419120,Sandoll,0,"7,751,826",0,"72,479,573,100",0.00
2023-08-02,042940,Sangji Caelum,0,"105,454,439",0,"52,516,310,622",0.00
2023-08-02,038540,Sangsangin,"1,330,663","55,328,313","5,542,211,395","230,442,423,645",2.41
2023-08-02,415580,Sangsangin SPAC III,0,"5,310,000",0,"11,522,700,000",0.00
2023-08-02,263810,Sangshin Electronics,0,"14,244,718",0,"66,166,715,110",0.00
2023-08-02,143240,Saramin,"7,988","11,674,263","152,331,160","222,628,195,410",0.07
2023-08-02,148150,Se Gyung Hi Tech,0,"11,784,281",0,"206,342,760,310",0.00
2023-08-02,396300,SeA Mechanics,0,"26,489,500",0,"128,474,075,000",0.00
2023-08-02,107600,Sebitchem,0,"4,861,545",0,"436,080,586,500",0.00
2023-08-02,017510,SemyungElec,"51,127","15,246,000","161,816,955","48,253,590,000",0.34
2023-08-02,006730,Seobu T&D,"1,003,145","61,563,241","8,285,977,700","508,512,370,660",1.63
2023-08-02,011370,Seohan,0,"100,894,865",0,"99,785,021,485",0.00
2023-08-02,065710,Seoho,"6,967","5,150,000","126,660,060","93,627,000,000",0.14
2023-08-02,079650,Seosan,0,"20,000,000",0,"34,700,000,000",0.00
2023-08-02,038070,SeouLin,"32,835","8,700,676","332,290,200","88,050,841,120",0.38
2023-08-02,063170,Seoul Auction,"16,928","17,774,267","203,136,000","213,291,204,000",0.10
2023-08-02,222810,Setopia,0,"72,097,025",0,"216,291,075,000",0.00
2023-08-02,234100,Sewon,0,"54,344,248",0,"107,601,611,040",0.00
2023-08-02,024830,SewonCorp,0,"8,350,000",0,"63,042,500,000",0.00
2023-08-02,378800,Shaperon,0,"23,071,031",0,"101,281,826,090",0.00
2023-08-02,187270,Shin Hwa Contech,0,"10,143,845",0,"43,364,937,375",0.00
2023-08-02,418210,Shinhan 10th SPAC,0,"3,660,000",0,"7,905,600,000",0.00
2023-08-02,366330,Shinhan 7th SPAC,0,"4,550,000",0,"26,117,000,000",0.00
2023-08-02,393360,Shinhan 8th SPAC,0,"7,350,000",0,"17,088,750,000",0.00
2023-08-02,405640,Shinhan 9th SPAC,0,"4,535,000",0,"10,022,350,000",0.00
2023-08-02,012790,Shinil Pharm,0,"11,986,415",0,"87,141,237,050",0.00
2023-08-02,017000,ShinwonConst,"27,544","11,668,027","134,552,440","56,998,311,895",0.24
2023-08-02,033170,Signetics,0,"85,728,319",0,"117,104,883,754",0.00
2023-08-02,257720,Silicon2,0,"60,331,084",0,"479,028,806,960",0.00
2023-08-02,215600,SillaJen,"1,467,349","102,867,125","6,742,468,655","472,674,439,375",1.43
2023-08-02,001000,SillaTextile,0,"24,277,540",0,"49,526,181,600",0.00
2023-08-02,159910,Skin&Skin,0,"354,150,749",0,"42,143,939,131",0.00
2023-08-02,033790,Skymoons Technology,0,"17,117,100",0,"27,712,584,900",0.00
2023-08-02,136510,Smart Solutions,"12,449","47,492,857","144,408,400","550,917,141,200",0.03
2023-08-02,050890,Solid,"119,776","61,221,640","597,682,240","305,495,983,600",0.20
2023-08-02,060230,Sonid,0,"34,005,850",0,"139,764,043,500",0.00
2023-08-02,084180,Soosung Salvacion,0,"80,913,759",0,"80,185,535,169",0.00
2023-08-02,357780,Soulbrain,"235,005","7,778,566","64,156,365,000","2,123,548,518,000",3.02
2023-08-02,036830,Soulbrain Holdings,"112,893","20,964,056","3,014,243,100","559,740,295,200",0.54
2023-08-02,013810,Speco,0,"14,655,470",0,"59,134,821,450",0.00
2023-08-02,203690,Sphere Power,0,"9,373,215",0,"68,143,273,050",0.00
2023-08-02,192440,Spigen Korea,"8,738","6,216,363","294,033,700","209,180,614,950",0.14
2023-08-02,330730,Stonebridge Ventures,0,"18,135,830",0,"70,548,378,700",0.00
2023-08-02,253450,Studio Dragon,"754,843","30,058,498","38,572,477,300","1,535,989,247,800",2.51
2023-08-02,294630,SuNAM,0,"22,308,892",0,"188,510,137,400",0.00
2023-08-02,253840,Sugentech,0,"16,370,755",0,"122,453,247,400",0.00
2023-08-02,357550,Sukgyung,0,"5,455,000",0,"297,843,000,000",0.00
2023-08-02,067370,SunBio,0,"12,313,555",0,"118,333,263,550",0.00
2023-08-02,365340,SungEel HiTech,"271,095","12,003,172","36,760,482,000","1,627,630,123,200",2.26
2023-08-02,236200,Suprema,"11,221","7,193,273","240,690,450","154,295,705,850",0.16
2023-08-02,094840,Suprema HQ,0,"10,471,840",0,"72,255,696,000",0.00
2023-08-02,298830,Suresoft,0,"51,659,901",0,"438,075,960,480",0.00
2023-08-02,140070,SurplusGLOBAL,"28,237","36,988,000","105,747,565","138,520,060,000",0.08
2023-08-02,048870,Synergy Innovation,0,"82,708,344",0,"168,311,480,040",0.00
2023-08-02,025320,Synopex,"200,976","77,230,761","627,045,120","240,959,974,320",0.26
2023-08-02,226330,SyntekaBio,0,"14,514,071",0,"180,990,465,370",0.00
2023-08-02,057680,T Scientific,0,"65,306,631",0,"242,940,667,320",0.00
2023-08-02,340570,T&L,0,"8,128,000",0,"395,833,600,000",0.00
2023-08-02,246710,T&R Biofab,0,"21,199,418",0,"255,028,998,540",0.00
2023-08-02,117730,T-ROBOTICS,"9,510","16,495,856","249,637,500","433,016,220,000",0.06
2023-08-02,204610,T3,0,"66,981,720",0,"91,630,992,960",0.00
2023-08-02,323280,TAESUNG,0,"25,237,230",0,"79,497,274,500",0.00
2023-08-02,044490,TAEWOONG,0,"20,007,381",0,"340,325,550,810",0.00
2023-08-02,053620,TAEYANG,0,"8,600,000",0,"65,876,000,000",0.00
2023-08-02,033830,TBC,0,"100,000,000",0,"93,400,000,000",0.00
2023-08-02,064760,TCK,"323,569","11,675,000","31,580,334,400","1,139,480,000,000",2.77
2023-08-02,200230,TELCON RF PHARM,"822,030","111,881,453","730,784,670","99,462,611,717",0.73
2023-08-02,425040,TEMC,0,"10,626,114",0,"464,361,181,800",0.00
2023-08-02,073640,TERA SCIENCE,0,"91,613,800",0,"329,351,611,000",0.00
2023-08-02,095610,TES,"306,299","19,768,226","6,646,688,300","428,970,504,200",1.55
2023-08-02,425420,TFE,0,"11,381,000",0,"265,746,350,000",0.00
2023-08-02,224060,THE CODI,0,"3,430,593",0,"22,127,324,850",0.00
2023-08-02,089230,THE E&M,0,"185,660,126",0,"45,301,070,744",0.00
2023-08-02,161570,THE MIDONG,0,"17,550,305",0,"51,334,642,125",0.00
2023-08-02,066700,THERAGEN ETEX,"130,217","32,474,435","544,307,060","135,743,138,300",0.40
2023-08-02,322180,THiRA-UTECH,0,"5,491,250",0,"96,041,962,500",0.00
2023-08-02,032540,TJ MEDIA,0,"13,931,609",0,"89,162,297,600",0.00
2023-08-02,104480,TK CHEMICAL,"1,397,649","90,895,434","3,095,792,535","201,333,386,310",1.54
2023-08-02,023160,TKCORP.,0,"26,500,000",0,"533,975,000,000",0.00
2023-08-02,022220,TKG AIKANG,"136,676","51,794,579","178,635,532","67,695,514,753",0.26
2023-08-02,356860,TLB,0,"9,832,630",0,"226,150,490,000",0.00
2023-08-02,062860,TLi,0,"9,872,720",0,"57,261,776,000",0.00
2023-08-02,298540,"TNH CO., LTD","423,844","14,710,576","8,731,186,400","303,037,865,600",2.88
2023-08-02,079970,TOBESOFT,0,"77,770,609",0,"66,649,411,913",0.00
2023-08-02,215480,TOEBOX KOREA,0,"9,614,957",0,"38,075,229,720",0.00
2023-08-02,393210,TOMATOSYSTEM,0,"15,356,544",0,"58,047,736,320",0.00
2023-08-02,228340,TONGYANG PILE,0,"20,000,000",0,"59,400,000,000",0.00
